"Action","Handling"
"Add to Cart","Legg i handlekurv"
"Add to Compare","Legg til sammenligning"
"Add to Wishlist","Legg i ønskelisten"
"Any","Hvilket som helst"
"Are you sure?","Er du sikker?"
"Bestsellers","Bestselgere"
"Compared Products Grid Template","Sammenlignede produkter rutenett mal"
"Compared Products List Template","Sammenlignede produkter liste mal"
"Created At","Opprettet"
"Customer","Kunde"
"Customer Name","Kundenavn"
"Customers","Kunder"
"Customers by Orders Total","Kunder etter ordretotal"
"Customers by number of orders","Kunder etter antall ordrer"
"Dashboard","Kontrollpanel"
"Day","Dag"
"Description","Beskrivelse"
"Detail","Detaljer"
"Email","E-post"
"Empty Rows","Tomme rader"
"First Name","Fornavn"
"From","Fra"
"General","Generelt"
"Guest","Gjest"
"Hits","Treff"
"ID","Id"
"IP Address","IP-adresse"
"Invoiced","Fakturert"
"Items in Cart","Varer i handlevognen"
"Last Name","Etternavn"
"List of Products Recently Viewed by Visitor","Liste over produkter nylig sett av besøkende"
"Month","Måned"
"Name","Navn"
"New Accounts","Nye kontoer"
"No","Nei"
"Number of Products to display","Antall produkter å vise"
"Order Status","Bestillingsstatus"
"Orders","Ordrer"
"Out of stock","Ikke på lager"
"Period","Periode"
"Price","Pris"
"Product Name","Produktnavn"
"Product Reviews","Produktomtaler"
"Products","Produkter"
"Products Reviews","Produktomtaler"
"Products in carts","Produkter i handlekurven"
"Recently Compared","Nylig sammenlignet"
"Recently Compared Products","Nylig sammenlignede produkter"
"Recently Viewed","Nylig vist"
"Recently Viewed Products","Nylig viste produkter"
"Recently Viewed/Compared Products","Nylig sett/sammenlignede produkter"
"Report","Rapport"
"Reports","Rapporter"
"Results","Resultater"
"Revenue","Inntekter"
"Review","Omtale"
"Reviews","Produktomtaler"
"Sales","Salg"
"Sales Report","Salgsrapport"
"Search Query","Søkeord"
"Search Terms","Søkeord"
"Shipping","Frakt"
"Shopping Cart","Handlekurv"
"Show Actual Values","Vise faktiske verdier"
"Show Report","Vis rapport"
"Show for Current","Viser for gjeldende"
"Specified","Spesifisert"
"Subtotal","Delsum"
"Tax","Avgift"
"Title","Tittel"
"To","Til"
"Total","Totalt"
"Total Ordered Report","Totalt bestilt rapport"
"Viewed Products Grid Template","Sett produkter rutenettet mal"
"Viewed Products List Template","Sett produkter listemal"
"Year","År"
"Yes","Ja"
