"Alert Email Sender","Предупреждение имейл подател"
"Alert subscription has been saved.","Абонамент за известяване е записан."
"Allow Alert When Product Comes Back in Stock","Позволи предупреждение, когато продуктът се връща на склад"
"Allow Alert When Product Price Changes","Позволи сигнал, когато има промени в цена на продукта"
"Click here not to receive alerts for this product","Кликнете тук за да не получавате повече уведомяване за този продукт"
"Error Email Recipient","Грешка в имейла на получателя"
"Error Email Sender","Грешка в имейл подателя"
"Error Email Template","Грешка в шаблона на имейла"
"Frequency","Честота"
"Price Alert Email Template","Сигнал за цена в имейл шаблона"
"Price:","Цена:"
"Product Alerts","Известия за продукт"
"Product Alerts Run Settings","Сигнал за настройки за пускане на продукт"
"Product alerts Cron error","Продукт предупреждения Cron грешка"
"Product price alert","Уведомяване за цена на продукт"
"Product stock alert","Уведомяване за наличност на продукт"
"Regular Price:","Нормална цена:"
"Sign up for price alert","Запишете се за уведомяване за цена"
"Sign up to get notified when this product is back in stock","Запишете се за уведомяване, когато този продукт е отново в наличност"
"Special price:","Специална цена:"
"Start Time","Начален час"
"Stock Alert Email Template","Имейл шаблон за сигнал от склада"
"You will no longer receive price alerts for this product.","Вие няма да получавате предупреждения за цена за този продукт."
"The product was not found.","Продуктът не е намерен."
"Unable to update the alert subscription.","Не може да актуализира предупреждение абонамент."
"Unsubscribe from all price alerts","Отписване от всички ценови сигнали"
"Unsubscribe from all stock alerts","Отписване от всички сигнали от склада"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Получавате това съобщение, понеже сте се абонирали за получаване на увеодмление, когато следните продукти са отново в наличност:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Получавате това съобщение, понеже сте се абонирали за получаване на увеодмление, когато цените на следните продукти се променят:"
"You will no longer receive stock alerts for this product.","Вие няма да получавате сигнали за наличност за този продукт."
"You will no longer receive stock alerts.","Вие няма да получавате сигнали от склада."
