"-- Please Select --","-- Моля изберете --"
"Actions","Действия"
"Add Layout Update","Добави актуализацията на оформлението"
"All","Всички"
"All Pages","Всички страници"
"All Product Types","Всички видове продукти"
"Anchor Categories","Котва категории"
"Apply","Приложи"
"Assign to Store Views","Присвояване на магазина на изгледи"
"Big Image","Голяма снимка"
"Categories","Категории"
"Choose...","Избери..."
"Close","Затвори"
"Continue","Продължи"
"Default Template","Шаблон по подразбиране"
"Delete","Изтрий"
"Design Package/Theme","Пакет/тема дизайн"
"Export to:","Експортирай в:"
"Frontend Properties","Настройки за публичен сайт"
"Generic Pages","Общи страници"
"Images","Изображения"
"Insert Widget","Вмъкване на притурка"
"Layout Updates","Оформление на актуализации"
"Manage Widget Instances","Управление на джаджа случаи"
"New Widget Instance","Нова джаджа"
"Next page","Следваща страница"
"Non-Anchor Categories","Незакотвени Categories"
"Not Selected","Не избрани"
"Open Chooser","Отворен избор"
"Page","Страница"
"Previous page","Предишна страница"
"Products","Продукти"
"Remove Layout Update","Премахнете актуализацията на оформлението"
"Save and Continue Edit","Запази и продължи редактиране"
"Select All","Маркиране на всичко"
"Select Visible","Избери видими"
"Settings","Настройки"
"Sort Order","Ред на сортиране"
"Specified Page","Определена страница"
"Template","Шаблон"
"The information in this tab has been changed.","Информацията в този таб ще бъде променена."
"The widget instance has been deleted.","Изтрит е екземпляр на джаджа."
"The widget instance has been saved.","Джаджата е записана."
"This tab contains invalid data. Please solve the problem before saving.","Този изглед съдържа невалидни данни. Моля отстранете проблема преди записване."
"Thumbnail","Миниатюра"
"Total %d records found","Намерени са общо %d записа"
"Type","Тип"
"Unselect All","Размаркирай всички"
"Unselect Visible","Премахни избора на видими"
"View","Преглед"
"Widget","Джаджа"
"Widget ID","ИД на джаджа"
"Widget Insertion","Вмъкване на притурка"
"Widget Options","Настройки на уиджета"
"Widget Type","Тип на джаджа"
"Widgets","Уиджети"
"items selected","избрани обекта"
"of %s pages","от %s страници"
"per page","на страница"
