"* Required Fields","* Задължителни полета"
"Comment","Коментар"
"Contact Form","Форма за контакт"
"Contact Information","Информация за контакт"
"Contact Us","За контакт"
"Contacts","Контакти"
"Contacts Section","Раздел ""Контакти"""
"Email","Имейл"
"Email Options","Опции за имейл"
"Email Sender","Имейл подател"
"Email Template","Шаблон на имейл"
"Enable Contact Us","Разреши свържете се с нас"
"Name","Име"
"Send Emails To","Изпращане на имейли до"
"Submit","Изпрати"
"Telephone","Телефон"
"Unable to submit your request. Please, try again later","В момента е невъзможно изпълнението на вашата заявка. Моля, опитайте отново по-късно."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Вашето запитване е изпратено успешно. Отговор ще ви бъде изпратен възможно най-скоро. Благодарим Ви, че се свързахте с нас."
