"%s Item(s)","%s Продукт(а)"
"(Shift-)Click or drag to change value","(Shift-)Клик или издърпай с мишката за смяна на стойността"
"(ver. %s)","(версия %s)"
"- Click on any of the time parts to increase it","- Кликнете върху която и да е част от датата за увеличаване на стойността"
"- Hold mouse button on any of the above buttons for faster selection.","- Задръжте бутона на мишката върху който и да е от бутоните по-горе за по-бърза селекция."
"- Use the %s buttons to select month","- Използвайте бутони %s за избор на месец"
"- Use the %s, %s buttons to select year","- Използвайте бутони %s, %s за избор на година"
"- or Shift-click to decrease it","- или Shift-клик за да я намалите"
"- or click and drag for faster selection.","- или кликнете и издърпайте за по-бърза селекция."
"-- Please Select --","-- Моля изберете --"
"1 column","1 колона"
"2 columns with left bar","2 колони с ляв бар"
"2 columns with right bar","2 колони с десен бар"
"3 columns","3 колони"
"About the calendar","Относно календара"
"Account","Профил"
"All Pages","Всички страници"
"Allow","Разреши"
"Click <a href=""%s"">here</a> if nothing has happened","Кликни <a href=""%s"">тук</a> ако нищо не се случва"
"Close","Затвори"
"Close Window","Затвори прозореца"
"DHTML Date/Time Selector","DHTML инструмент за избор на Дата/Време"
"Date selection:","Избор на дата:"
"Default Description","Описание по подразбиране"
"Default welcome msg!","Съобщение за Добре дошли!"
"Display %s first","Покажи първо %s"
"Distributed under GNU LGPL. See %s for details.","Разпространява се под GNU LGPL. Виж %s за повече информация."
"Drag to move","Издърпай за преместване"
"Empty","Празен"
"For latest version visit: %s","За последна версия посетете: %s"
"Go Today","За днес"
"Help Us to Keep Magento Healthy","Помогнете ни да поддържаме Magento системата стабилна"
"Interface Language","Език за интерфейс"
"Items %s to %s of %s total","Артикули %s до %s от общо %s"
"JavaScript seems to be disabled in your browser.","JavaScript изглежда да бъде прекратен във вашия браузър."
"Left Column","Лява колона"
"Menu","Меню"
"Next","Напред"
"Next month (hold for menu)","Следващ месец (задръжте за меню)"
"Next year (hold for menu)","Следваща година (задръжте за меню)"
"Page:","Страница:"
"Prev. month (hold for menu)","Пред. месец (задръжте за меню)"
"Prev. year (hold for menu)","Пред. година (задръжте за меню)"
"Previous","Назад"
"Redirecting...","Пренасочване..."
"Report All Bugs","Докладвай всички бъгове"
"Right Column","Дясна колона"
"Search","Търсене"
"Select Store","Изберете Магазин"
"Select date","Избери дата"
"Show","Покажи"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Това е демонстрационен магазин. Всички поръчки направени през този магазин няма да бъдат разгледани или изпълнени."
"Time selection:","Избор на време:"
"Time:","Време:"
"View All","Виж всички"
"Welcome, %s!","Здравейте, %s!"
"Your Language","Вашия език"
"Your Language:","Вашия език:"
"per page","на страница"
