"10 minutes","10 минути"
"15 minutes","15 минути"
"20 minutes","20 минути"
"30 minutes","30 минути"
"5 minutes","5 минути"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Планирани задачи) - всички времена са в минути"
"Daily","Дневно"
"Failure History Lifetime","История на провалите"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","За коректно генериране на уеб адреси по време на изпълнението на задачите, се убедете, че Уеб > Подсигурено и Неподсигурено базово URL за изрично зададени."
"Generate Schedules Every","Генериране на графици за всеки"
"History Cleanup Every","Изчисти цялата история"
"Hourly","Почасово"
"Invalid callback: %s::%s does not exist","Невалидно обратно извикване: %s::%s не съществува"
"Invalid model/method definition, expecting ""model/class::method"".","Невалидна дефиниция на модел/метод, очаквано е ""модел/класс::метод""."
"Minute Intervals","Минута интервали"
"Missed if Not Run Within","Пропуснати, ако не се изпълняват в рамките"
"Monthly","Месечно"
"No callbacks found","Не са намерени обратни извиквания"
"Schedule Ahead for","Планирай напред за"
"Success History Lifetime","История на успеха"
"Unable to delete the cron task.","Не може да изтрие задача за cron."
"Weekly","Седмично"
