"Actions","Действия"
"Active","Активно"
"Add New Rule","Добави ново правило"
"Alphabetical","Азбучен"
"Alphanumeric","Буквено-цифров"
"Apply","Приложи"
"Apply To","Приложи към"
"Apply the rule only if the following conditions are met (leave blank for all products)","Приложи правилото само за съвпадения на следните условия (оставете празно за всички продукти)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Приложи правилото само за съвпадения на следните условия за артикули от количката (оставете празно за всички продукти)"
"Apply the rule to cart items matching the following conditions","Приложи правилото за съвпадения на следните условия за артикули от количката"
"Apply to Shipping Amount","Приложи към сумата за доставка"
"Are you sure you want to delete the selected coupon(s)?","Наистина ли искате да изтриете избраните ваучери?"
"Auto","Автоматично"
"Auto Generated Specific Coupon Codes","Автоматично генерирани специални кодове на ваучери"
"Buy X get Y free (discount amount is Y)","Купи X и вземи Y безплатно (сумата за намаление е Y)"
"By Fixed value","по фиксирана стойност"
"By Percentage","С процент"
"Can't acquire coupon.","Не може да придобие купон."
"Cart Attribute","Количка атрибут"
"Catalog","Каталог"
"Code Format","Формат на кода"
"Code Length","Код дължина"
"Code Prefix","Код префикс"
"Code Suffix","Код суфикс"
"Conditions","Условия"
"Conditions combination","Комбинация от условия"
"Coupon","Ваучер"
"Coupon Code","Ваучер код"
"Coupon Qty","Ваучери количество"
"Coupon with the same code","Купон със същия код"
"Created On","Създаден на"
"Customer Groups","Клиентски групи"
"Dash Every X Characters","Задраскай всички X знаци"
"Date Expire","Дата на изтичане"
"Date Start","Начална дата"
"Default Label","Етикет по подразбиране"
"Default Rule Label for All Store Views","Етикет за правила по подразбиране за всички изгледи на магазина"
"Description","Описание"
"Discount Amount","Размер на отстъпката"
"Discount Qty Step (Buy X)","Стъпка на количествено намаление (купи X)"
"Edit Rule","Промени правило"
"Edit Rule '%s'","Редакция на Правило '%s'"
"Excluding prefix, suffix and separators.","Без префикс, суфикс и сепаратори."
"FOUND","НАМЕРЕН"
"Fixed amount discount","Фиксиран размер на намалението"
"Fixed amount discount for whole cart","Фиксиран размер на намалението за цялата количка"
"For matching items only","За съвпадащи елементи само"
"For shipment with matching items","За пратка със съвпадащи елементи"
"Free Shipping","Безплатна доставка"
"From Date","От дата"
"General Information","Обща информация"
"Generate","Генерирай"
"ID","ИД"
"If empty no separation.","ако е празно няма разстояние"
"Inactive","Неактивен"
"Labels","Етикети"
"Maximum Qty Discount is Applied To","Максимално количество отстъпка се прилага към"
"NOT FOUND","НЕ Е НАМЕРЕН"
"NOT LOGGED IN","НЕ Е ВПИСАН"
"New Rule","Ново правило"
"No","Не"
"No Coupon","Няма ваучер"
"Number of Uses","Брой употреби"
"Numeric","Цифров"
"Payment Method","Метод на плащане"
"Percent of product price discount","Процент от намалената цена на продукта"
"Period","Период"
"Price in cart","Цена в количката"
"Priority","Приоритет"
"Product attribute combination","Комбинация от продукти атрибут"
"Products subselection","Продуктова подселекция"
"Promotions","Промоции"
"Public In RSS Feed","Публикувай в RSS новини"
"Quantity in cart","Количество в кошницата"
"Row total in cart","Ред общо в количката"
"Rule Information","Информация за правилото"
"Rule Name","Име на правило"
"Rule is not defined","Не е дефиниран код на формуляр"
"Save and Continue Edit","Запази и продължи редактиране"
"Shipping Country","Държава"
"Shipping Method","Метод на доставка"
"Shipping Postcode","Пощенски код на доставката"
"Shipping Region","Регион на доставката"
"Shipping State/Province","Област"
"Shopping Cart Price Rule","Правило за цена в количка"
"Shopping Cart Price Rules","Правила за цена в количка"
"Special Price","Промо цена"
"Specific Coupon","Специален ваучер"
"Status","Статус"
"Store View Specific Labels","Магазин изглед конкретни етикети"
"Subtotal","Сума"
"Subtotal Amount","Обща сума"
"This rule no longer exists.","Това правило вече не съществува."
"Times Used","Пъти използвани"
"To Date","До дата"
"To Fixed Value","Фиксирана стойност"
"To Percentage","Процент"
"Total","Общо"
"Total Amount","Обща сума"
"Total Items Quantity","Общ брой записи"
"Total Weight","Общо тегло"
"Update prices using the following information","Актуализрай цени, използвайки следната информация"
"Update product's %s %s: %s","Обновяване %s %s на продукта: %s"
"Update the Product","Актуализирай продукта"
"Use Auto Generation","Използване на автоматично генериране"
"Used","Използван"
"Uses per Coupon","Използвания на ваучер"
"Uses per Customer","Ползвания на клиент"
"Website","Уебсайт"
"Websites","Уеб сайтове"
"Yes","Да"
"total amount","обща сума"
"total quantity","общо количество"
