"%d Review(s)","%d Мнение/мнения"
"%s Review(s)","%s Мнение/мнения"
"(Posted on %s)","(Публикувано на %s)"
"1 star","1 звезда"
"2 stars","2 звезди"
"3 stars","3 звезди"
"4 stars","4 звезди"
"5 stars","5 звезди"
"Add New Review","Добави ново мнение"
"Add Your Review","Напишете отзив"
"Administrator","Администратор"
"All Reviews","Всички отзиви"
"Allow Guests to Write Reviews","Позволи на гостите да пишат коментари"
"Approved","Одобрен"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Are you sure?","Сигурни ли сте?"
"Average Customer Rating","Средностойностен клиентски рейтинг"
"Average Customer Rating:","Средна стойност на клиентски рейтинг:"
"Back","Обратно"
"Back to Main Product Info","Обратно към информацията за основния продукт"
"Back to My Reviews","Обратно към моите отзиви"
"Back to Product Reviews","Обратно към отзиви за продукта"
"Be the first to review this product","Бъдете първият  оценил този продукт"
"Created On","Създаден на"
"Customer","Клиент"
"Customer Reviews","Клиентски отзиви"
"Customers Reviews","Отзиви от клиенти"
"Delete","Изтрий"
"Delete Review","Изтриване на отзив"
"Detailed Rating","Подробна оценка"
"Edit Review '%s'","Редакция на мнение '%s'"
"Guest","Гост"
"How do you rate this product?","Как ще гласувате за този продукт?"
"ID","ИД"
"My Product Reviews","Моите отзиви за продукти"
"My Recent Reviews","Моите последни отзиви"
"Name","Име"
"New Review","Нов преглед"
"Nickname","Псевдоним"
"Not Approved","Не е одобрен"
"Pending","Чакащ"
"Pending Reviews","Чакащи отзиви"
"Please select a product","Моля изберете продукт"
"Please select one of each of the ratings above","Моля изберете едно от всички гласувания по-горе"
"Posted By","Публикувано от"
"Price","Цена"
"Product","Продукт"
"Product Name","Име на продукт"
"Product Rating","Оценка на продукт"
"Product Rating:","Продукт рейтинг: "
"Product Review (submitted on %s):","Мнение за продукт (публикувано на %s):"
"Product Reviews","Отзиви за продукти"
"Product SKU","Кат. №"
"Products Reviews","Продукти отзиви"
"Qty","Кол-во"
"Rating:","Оценка:"
"Review","Преглед"
"Review Details","Прегледайте подробните данни"
"Review by %s","Мнение от %s"
"Reviews","Прегледи"
"Reviews and Ratings","Мнения и оценки"
"SKU","Кат. номер"
"Save Review","Запиши отзив"
"Status","Статус"
"Submit Review","Редактиране на отзив"
"Summary Rating","Резюме рейтинг"
"Summary of Review","Резюме на отзив"
"Summary of Your Review","Обобщение на Вашето мнение"
"Title","Заглавиe"
"Type","Тип"
"Update Status","Актуализация на състоянието"
"View All Reviews","Виж всички мнения"
"View Details","Виж детайли"
"Visible In","Видимо в"
"Websites","Уеб сайтове"
"Write Your Own Review","Напишете вашето мнение"
"You have submitted no reviews.","Нямате подадени отзиви."
"You're reviewing:","Вие оценявате:"
"Your Rating:","Вашата оценка:"
"Your Review (submitted on %s):","Ваше мнение (публикувано на %s):"
