"Action","Действие"
"Are you sure you want to delete the selected backup(s)?","Сигурни ли сте, че искате да изтриете избраните архиви?"
"Backups","Архиви"
"Create Backup","Създаване на резервно копие"
"Database","База данни"
"Database Backup","Архив на база данни"
"Database and Media","Архивиране на Базата и Медия"
"Database and Media Backup","Архивиране на Базата данни и Медия"
"Database was successfuly backed up.","Архивен файл на БД успешно създаден."
"Download","Смъкни"
"Enable Scheduled Backup","Разреши планирано архивиране"
"Frequency","Честота"
"Maintenance Mode","Режим на профилактика"
"Name","Име"
"Rollback","Връщане към предишна версия"
"Start Time","Начален час"
"System","Системи"
"System (excluding Media)","Системи (excluding Media)"
"System Backup","Системен архив"
"Time","Време"
"Type","Тип"
"Unable to create backup. Please, try again later.","Невъзможно създаването на архив. Моля, опитайте отново по-късно."
