"1 star","1 звезда"
"2 stars","2 звезди"
"3 stars","3 звезди"
"4 stars","4 звезди"
"5 stars","5 звезди"
"Add New Rating","Добави нова оценка"
"Assigned Options","Присвоените опции"
"Be the first to review this product","Бъдете първият  оценил този продукт"
"Default Value","Стойност по подразбиране"
"Delete Rating","Изтриване на рейтинг"
"Edit Rating","Редакция на рейтинг"
"ID","ИД"
"If you do not specify a rating title for a store, the default value will be used.","Ще се използва стйността по подразбиране, ако не е посочено заглавие на рейтинг за магазина."
"Manage Ratings","Управление на рейтинги"
"New Rating","Нов рейтинг"
"Option Label","Опция етикет"
"Option Title","Заглавие на опцията"
"Option Title:","Опция за заглавие:"
"Please select one of each ratings above","Моля, изберете един от посочените по-горе рейтинзи"
"Rating Information","Информация за оценката"
"Rating Name","Име на рейтинг"
"Rating Options","Опции на рейтинг"
"Rating Title","Рейтинг заглавие"
"Rating Visibility","Рейтинг видимост"
"Rating isn't Available","Рейтинг не е наличен"
"Rating with the same title","Рейтинг със същото заглавие"
"Save Rating","Запиши рейтинг"
"Sort Order","Ред на сортиране"
"Visible In","Видимо в"
