"* Required Fields","* Задължителни полета"
"--Please Select--","--Моля, изберете--"
"<label>Make Check payable to:</label> %s","<label>Направи Чек платим на:</label> %s"
"Automatically Invoice All Items","Автоматично фактуриране всички продукти"
"Bank Transfer Payment","Плащане с банков превод"
"Card Verification Number","Номер за проверка на картата"
"Cash On Delivery Payment","В брой, при доставка"
"Check / Money Order","Чек / пощенски запис"
"Credit Card Number","Номер на кредитната карта"
"Credit Card Number: xxxx-%s","Номер на кредитна карта: xxxx-%s"""
"Credit Card Type","Тип кредитна карта"
"Credit Card Type: %s","Вид кредитна карта: %s"
"Credit Card Types","Типове кредитни карти"
"Credit card type is not allowed for this payment method.","Тип кредитна карта не е позволен за този метод на плащане."
"Currency","Валута"
"Day","Ден"
"Debug Mode","Режим за отстраняване на грешки"
"Enabled","Активиран"
"Expiration Date","Срок на валидност"
"Expiration Date: %s/%s","Дата на изтичане: %s/%s"
"Incorrect credit card expiration date.","Невалидна дата на изтичане на кредитната карта."
"Instructions","Инструкции"
"Invalid Credit Card Number","Грешен номер на картата"
"Issue Number","Номер на издаване"
"Make Check Payable to","Направи проверка в платими на"
"Make Check payable to:","Направи чековете платими за:"
"Make Check payable to: %s","Направи чек платим на: %s"
"Maximum Order Total","Максимална стойност на поръчка"
"Merchant ID","Идентификационен номер на търговеца"
"Minimum Order Total","Минимална стойност на поръчка"
"Month","Месец"
"N/A","Не е достъпно"
"Name on Card","Име на картата"
"Name on the Card: %s","Име на картата: %s"
"New Order Status","Статус нова поръчка"
"Password","Парола"
"Payment Method","Метод на плащане"
"Payment Methods","Методи на плащане"
"Payment Services","Платежни услуги"
"Payment from Applicable Countries","Плащане от приложимите страни"
"Payment from Specific Countries","Плащане от определени страни"
"Please enter a valid credit card verification number.","Моля, въведете валиден номер за проверка на кредитна карта."
"Purchase Order","Поръчка за покупка"
"Purchase Order Number","Номер на поръчка"
"Purchase Order Number: %s","Номер на поръчка: %s"
"Saved CC","Записана CC"
"Selected payment type is not allowed for billing country.","Тип плащане не е позволен за фактуриране в тази страна."
"Send Check to","Изпрати проверка за"
"Send Check to:","Изпрати проверка за:"
"Shipping Amount","Доставка сума"
"Sort Order","Ред на сортиране"
"Start Date","Начална дата"
"Switch/Solo/Maestro Issue Number","Номер на издаване на Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro само"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro начална дата"
"Tax Amount","Сума ДДС"
"Test Mode","Тестов режим"
"The payment review action is unavailable.","Преглед на плащане не е достъпен."
"The requested Payment Method is not available.","Исканият метод на плащане не е наличен."
"Title","Заглавиe"
"Unable to save Billing Agreement:","Споразумението за таксуване не може да се запази:"
"What is this?","Какво е това?"
"Year","Година"
"Zero Subtotal Checkout","Разплащане при нулева междинна сума"
