"--Please Select--","--Моля, изберете--"
"API Login ID","ID на регистрация на API"
"Accepted Currency","Приемани валути"
"Authorize.net Direct Post","Authorize.net директен пост"
"Card Verification Number","Номер за проверка на картата"
"Card Verification Number Visual Reference","Карта проверка номер визуална препратка"
"Close","Затвори"
"Credit Card Information","Информация за кредитна карта"
"Credit Card Number","Номер на кредитната карта"
"Credit Card Type","Тип кредитна карта"
"Credit Card Types","Типове кредитни карти"
"Credit Card Verification","Проверка на кредитна карта"
"Debug","Дебъг"
"Email Customer","Имейл на клиент"
"Enabled","Активиран"
"Expiration Date","Срок на валидност"
"Gateway URL","URL терминал"
"Maximum Order Total","Максимална стойност на поръчка"
"Merchant MD5","Търговец MD5"
"Merchant's Email","Имейл на търговец"
"Minimum Order Total","Минимална стойност на поръчка"
"New Order Status","Статус нова поръчка"
"Order saving error: %s","Грешка при записване на поръчката: %s"
"Payment Action","Платежно действие"
"Payment authorization error.","Грешка при оторизация за плащане."
"Payment from Applicable Countries","Плащане от приложимите страни"
"Payment from Specific Countries","Плащане от определени страни"
"Sort Order","Ред на сортиране"
"Test Mode","Тестов режим"
"There was an error processing your order. Please contact us or try again later.","Възникна грешка при изпълнение на поръчката. Моля, свържете се с нас или опитайте отново по-късно."
"Title","Заглавиe"
"Transaction Key","Транзакция ключ"
"What is this?","Какво е това?"
