" [deleted]","[заличава]"
" and "," и "
"(For US 2-letter state names)","(За САЩ дву-буквени имена на щати)"
"(If left empty will be auto-generated)","(Ще бъде автоматично генерирано ако е оставено празно)"
"(Leave empty for first spreadsheet)","(Остави празно за първа електронна таблица)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Продуктите ще бъдат добавени/обновени към този магазин, ако колоната 'store' е празна или липсва във файла за импорт.)"
"(Shift-)Click or drag to change value","(Shift-)Клик или издърпай с мишката за смяна на стойността"
"(Starting with)","(Започващо с)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(При 'Не', ще бъдат вмъкнати само присъединени полета. Когато използвате присъединяване, използвайте 'column1', 'column2' и т.н.)"
"(You have to increase php memory_limit before changing this value)","(Необходимо е да увеличите стойноста на php настройка memory_limit преди промяна на тази стойност)"
"(\t for tab)","(t за табулация)"
"* Required Fields","* Задължителни полета"
"- Click on any of the time parts to increase it","- Кликнете върху която и да е част от датата за увеличаване на стойността"
"- Hold mouse button on any of the above buttons for faster selection.","- Задръжте бутона на мишката върху който и да е от бутоните по-горе за по-бърза селекция."
"- Use the %s buttons to select month","- Използвайте бутони %s за избор на месец"
"- Use the %s, %s buttons to select year","- Използвайте бутони %s, %s за избор на година"
"- or Shift-click to decrease it","- или Shift-клик за да я намалите"
"- or click and drag for faster selection.","- или кликнете и издърпайте за по-бърза селекция."
"-- Not Selected --","--Не е избрана--"
"-- Please Select --","-- Моля изберете --"
"-- Please Select Billing Agreement--","-- Моля, изберете Споразумение за таксуване--"
"-- Please Select a Category --","--Изберете категория--"
"-- Please select --","-- Моля изберете --"
"--Please Select--","--Моля, изберете--"
"1 Hour","1 час"
"12 Hours","12 часа"
"12h AM/PM","12 часово време"
"2 Hours","2 часа"
"24 Hours","24 часа"
"24h","24 часово време"
"6 Hours","6 часа"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Грешка 404</h1><p>Страницата не е намерена.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Внимание</strong>: Captcha различава малки иглавни букви."
"A user with the same user name or email already exists.","Вече съществува потребител със същото потребителско име или електронна поща."
"API Key","API ключ"
"Abandoned Carts","Изоставени колички"
"About the calendar","Относно календара"
"Account Created in:","Регистриран на:"
"Account Created on (%s):","Профилът е създаден на (%s):"
"Account Created on:","Профилът е създаден на:"
"Account Information","Информация за профила"
"Account Status","Състояние на профил"
"Account status","Статус на профила"
"Action","Действие"
"Actions","Действия"
"Actions XML","XML Действия"
"Active","Активно"
"Add","Добави"
"Add Exception","Добави изключение"
"Add Field Mapping","Добави присъединяване на поле"
"Add Field with URL:","Добави поле с URL:"
"Add New","Добави нов"
"Add New Block","Добави нов блок"
"Add New Image","Добави ново изображение"
"Add New Profile","Добави нов профил"
"Add New Role","Добавяне на нова роля"
"Add New Template","Добавяне на нов шаблон"
"Add New URL Rewrite","Добавяне на ново URL пренаписване"
"Add New User","Добавяне на нов потребител"
"Add New Variable","Добавяне на нова променлива"
"Add Products","Добавяне на продукти"
"Add URL Rewrite","Добавяне на URL пренаписване"
"Add URL Rewrite for a Category","Добавяне на URL пренаписване на категория"
"Add URL Rewrite for a Product","Добавяне на URL пренаписване за продукт"
"Add after","Добави след"
"Additional Cache Management","Допълнително управление на кеширането"
"Address Type:","Тип адрес:"
"Admin","Админ"
"Advanced Profiles","Разширени профили"
"All","Всички"
"All Allowed Countries","Всички позволени страни"
"All Cache","Всичкия кеш"
"All Files","Всички файлове"
"All Reviews","Всички отзиви"
"All Store Views","Изгледи на всички магазини"
"All Tags","Всички ключови думи"
"All Websites","Всички уеб сайтове"
"All countries","Всички държави"
"All fields","Всички полета"
"All valid rates have been saved.","Всички валидни цени са записани."
"Always (during development)","Винаги (по време на развитието)"
"Amounts","Суми"
"An error occurred while clearing the JavaScript/CSS cache.","Възникна грешка при изчистването на кеша на JavaScript и CSS."
"An error occurred while clearing the image cache.","Възникна грешка при изчистването на кеша на изображението."
"An error occurred while deleting this role.","Възникна грешка при изтриването на тази роля."
"An error occurred while saving account.","Възникна грешка при записването на потребителския профил."
"An error occurred while saving this role.","Възникна грешка при записване на тази роля."
"Any","Всеки"
"Any Attribute Set","Всяка група атрибути"
"Any Group","Всяка група"
"Any Status","Всеки статус"
"Any Store","Всеки магазин"
"Any Type","всеки тип"
"Any Visibility","Всяка видимост"
"Archive file name:","Файл име на архив:"
"Are you sure that you want to delete this template?","Сигурен ли сте, че искате да изтриете този шаблон?"
"Are you sure that you want to strip tags?","Сигурен ли сте, че искате да премахнете ключовите думи?"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Area","Област"
"As low as:","Най-ниска цена:"
"Assigned","Възложен"
"Attribute Set Name:","Име на атрибут група:"
"Attributes","Атрибути"
"Authorize","Разреши"
"Automatic (equalize price ranges)","Автоматично (изравни ценовите диапазони)"
"Automatic (equalize product counts)","Автоматично (изравняване на броя продукти)"
"Average Order Amount","Средна сума на доставките"
"Average Orders","Средно доставки"
"Back","Обратно"
"Back to Login","Обратно към Вход"
"Backup","Архив"
"Backup Name","Име на Архив"
"Backup options","Опции за архивиране"
"Backups","Архиви"
"Base currency","Основна валута"
"Bestsellers","Най-продавани"
"Billing Address","Адрес за фактуриране"
"Billing Agreement","Споразумения за плащане"
"Billing Agreements","Споразумения за плащане"
"Block Information","Блок информация"
"Blocks","Блокове"
"Both (without and with tax)","И двете (без и с данъчни)"
"Browse Files...","Прегледай файловете ..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Пакетен Продукт с динамична цена не може да включва потребителски дефинирани опции. Опциите няма да бъдат записани."
"By Email","по имейл"
"By IP","От IP"
