"Access Key","Ключ за достъп"
"Authorize Only","Само Authorize"
"Authorize and Capture","Оторизирай и запиши"
"Continue Shopping","Продължи с пазаруването"
"Debug","Дебъг"
"Email Sender","Имейл подател"
"Enable","Разреши"
"Merchant ID","Идентификационен номер на търговеца"
"Merchant Login","Вход за търговец"
"New Order Status","Статус нова поръчка"
"Payment Action","Платежно действие"
"Sandbox","Таксуване"
"Secret Key","Секретен ключ"
"Thank you for your purchase!","Благодарим Ви за вашата покупка!"
"Title","Заглавиe"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ще получите имейл за потвърждение на поръчката, съдържащ подробна информация и линк за проследяване на нейния статус."
