"%s - Discounts and Coupons","%s - Отстъпки и талони"
"%s RSS Feed","%s RSS бюлетин"
"%s has reached a quantity of %s.","%s достигна количество %s."
"%s's Wishlist","Списък желания на %s"
"Cannot retrieve the wishlist","Невъзможно извличането на списък желания"
"Catalog","Каталог"
"Category Feeds","Категории от бюлетина"
"Click for price","Кликнете за цена"
"Comment: %s<br/>","Коментар: %s<br/>"
"Coupons/Discounts","Купони/отстъпки"
"Current Status: %s<br/>","Текущ статус: %s<br/>"
"Customer Name: %s","Име на клиент: %s"
"Customer Order Status Notification","Уведомление за състоянието на поръчка на клиент"
"Details for %s #%s","Информация за %s #%s"
"Discount","Отстъпка"
"Discount (%s)","Намаление (%s)"
"Enable RSS","Разрешаване на RSS"
"Error in processing xml. %s","Грешка в обработка на xml. %s"
"From:","От:"
"Get Feed","Вземи емисия"
"Gift Message","Съобщение за подарък"
"Grand Total","Обща сума"
"Low Stock Products","Продукти с малки количества на склад"
"Message:","Съобщение:"
"Miscellaneous Feeds","Разни емисии"
"New Orders","New Поръчки"
"New Products","Нови продукти"
"New Products from %s","Нови продукти от %s"
"Notified Date: %s<br/>","Дата на уведомяване: %s<br/>"
"Order","Поръчка"
"Order # %s Notification(s)","Уведомявания за поръчка # %s"
"Order #%s created at %s","Поръчка #%s създадена в %s"
"Pending product review(s)","Чакащ отзиви за продукт/и"
"Product: ""%s"" review By: %s","Продукт: ""%s"" мнение от: %s"
"Product: <a href=""%s"">%s</a> <br/>","Продукт: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Продукти маркирани с %s"
"Purchased From: %s","Закупено от: %s"
"RSS Feeds","RSS емисии"
"Review: %s <br/>","Мнение: %s <br/>"
"Rss Config","Rss конфигурация"
"Shipping &amp; Handling","Доставка &amp; работа"
"Special Products","Специални продукти"
"Store: %s <br/>","Магазин: %s <br/>"
"Subtotal","Сума"
"Summary of review: %s <br/>","Обобщение на мнението: %s <br/>"
"Tags Products","Кл. думи за продукти"
"Tax","Данък"
"There are no Rss Feeds","Няма RSS бюлетини"
"To:","До:"
"Top Level Category","Топ ниво категория"
"Total: %s<br/>","Сума: %s<br/>"
"Wishlist","Списък с желани"
"click <a href=""%s"">here</a> to view the review","натиснете <a href=""%s"">тук</a> за преглед на мнението"
