"Actions","Действия"
"Are you sure?","Сигурни ли сте?"
"Date Added","Дата на добавяне"
"Last Update","Последна актуализация"
"Mark as Read","Маркирай като прочетено"
"Mark as read","Маркирай като прочетено"
"Message","Съобщение"
"Messages Inbox","Входящи съобщения"
"Notifications","Известия"
"Please select messages.","Моля, изберете съобщения."
"Read Details","Прочети повече"
"Remove","Премахване"
"Severity","Тежест"
"Show List","Покажи списък"
"Show Toolbar","Покажи лента с инструменти"
"The message has been removed.","Съобщението беше премахнато."
"Update Frequency","Честота на обновяване"
"Use HTTPS to Get Feed","Използвайте HTTPS, за да получите емисия"
"Wrong message type","Грешен тип съобщение"
"critical","критично"
"major","важно"
"minor","незначителни"
"notice","известие"
