"%s's Wishlist","Списък желания на %s"
"* Required Fields","* Задължителни полета"
"Add All to Cart","Добави всички към количката"
"Add to Cart","Добави в количка"
"Add to Compare","Добави за сравнение"
"Add to Wishlist","Добави в Желани"
"Added From","Добавена форма"
"Are you sure you want to remove this product from your wishlist?","Сигурен ли сте, че искате да премахнете този продукт от Вашия списъка с желания?"
"Are you sure you would like to remove this item from the wishlist?","Сигурен ли сте, че искате да премахнете този продукт от списъка с желания?"
"Back","Обратно"
"Can't save description %s","Невъзможно е записване на описание %s"
"Cannot specify product.","Не може да определи продукт."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Отметнете тук ако искате да добавите линк към rss бюлетин към Вашия списък желания."
"Click for price","Кликнете за цена"
"Comment","Коментар"
"Comment:","Коментар:"
"Date Added","Дата на добавяне"
"Days in Wishlist","Дни в списък с желания"
"Edit","Редактирай"
"Email Sender","Имейл подател"
"Email Template","Шаблон на имейл"
"Email address can't be empty.","Имейл адресът не може да е празен."
"Email addresses, separated by commas","Имейл адресите, разделени със запетайка"
"Enabled","Активиран"
"General Options","Основни параметри"
"Go to Wishlist","Към списък желания"
"In stock","На склад"
"Last Added Items","Последно добавени неща"
"Message","Съобщение"
"My Wishlist","Моят списък с желания"
"My Wishlist (%d item)","Моят списък с желания (%d продукт)"
"My Wishlist (%d items)","Моят списък с желания (%d продукта)"
"Options Details","Детайли на опциите"
"Out of stock","Изчерпано количество"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Моля въведете валидни имейл адреси, разделени със запетайки. Например johndoe@domain.com, johnsmith@domain.com"
"Please, enter your comments...","Моля въведете Вашите коментари..."
"Price","Цена"
"Product","Продукт"
"Product Details and Comment","Информация за продукта и коментар"
"Qty","Кол-во"
"RSS Feed","RSS новини"
"RSS link to %s's wishlist","RSS линк към списък с желания на %s"
"Remove Item","Премахване на продукт"
"Remove This Item","Премахнете този елемент"
"Remove item","Премахни"
"SKU","Кат. номер"
"Share Options","Опции за споделяне"
"Share Wishlist","Споделяне на списък с желания"
"Share Your Wishlist","Споделете Вашия списък с желания"
"Sharing Information","информация за споделянето"
"Update Wishlist","Обнови списък с желания"
"User Description","Потребителско описание"
"View Details","Виж детайли"
"View Product","Преглед на продукт"
"What's this?","Какво е това?"
"Wishlist","Списък с желани"
"Wishlist Sharing","Споделяне на списък с желания"
"Wishlist is empty now.","Списъкът с желания е празен сега."
"You have no items in your wishlist.","Нямате продукти във Вашия списък с желания."
