"Action","Действие"
"Add Sitemap","Добавяне на сайта"
"Always","Винаги"
"CMS Pages Options","CMS страници опции"
"Categories Options","Категории опции"
"Daily","Дневно"
"Edit Sitemap","Редактиране на карта на сайта"
"Enabled","Активиран"
"Error Email Recipient","Грешка в имейла на получателя"
"Error Email Sender","Грешка в имейл подателя"
"Error Email Template","Грешка в шаблона на имейла"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Файл ""%s"" не може да бъде записан. Моля уверете се, че директория ""%s"" има права за писане."
"Filename","Име на файл"
"Frequency","Честота"
"Generate","Генерирай"
"Generation Settings","Производителни настройки"
"Google Sitemap","Google карта на сайта"
"Hourly","Почасово"
"ID","ИД"
"Last Time Generated","Последно генериран"
"Link for Google","Връзка за Google"
"Monthly","Месечно"
"Never","Никога"
"New Sitemap","Нова карта на сайта"
"Path","Път"
"Please create the specified folder ""%s"" before saving the sitemap.","Моля създайте директория ""%s"" преди да запазите картата на сайта."
"Please define correct path","Моля посочете правилен път"
"Please make sure that ""%s"" is writable by web-server.","Моля уверете се, че уеб сървъра има права за писане върху ""%s""."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Използвайте само букви (a-z or A-Z), числа (0-9) или долна черта (_) за име на файл. Не са разрешени други символи или празни места."
"Priority","Приоритет"
"Products Options","Опции за продукти"
"Sitemap","Карта на сайта"
"Sitemap generate Warnings","Картата на сайта генерира предупреждения"
"Start Time","Начален час"
"Store View","Изглед на магазина"
"The priority must be between 0 and 1.","Приоритет трябва да бъде между 0 и 1."
"This sitemap no longer exists.","Тази карта вече не съществува."
"Weekly","Седмично"
"Yearly","Годишно"
