"# of Use","# в употреба"
"%1$s incl tax.","%1$s вкл. данък"
"%s Item(s)","%s Продукт(а)"
"(Copy data from: %s)","(Копиране на данни от: %s)"
"* Required Fields","* Задължителни полета"
"-- Please Select --","-- Моля изберете --"
"A group with the same name already exists.","Вече съществува група със същото име."
"A name is required","Името е задължително"
"A product type is not defined for the indexer.","Продуктовия тип не е определен за индексатора."
"ALL GROUPS","ВСИЧКИ ГРУПИ"
"AM","Преди обяд"
"Action","Действие"
"Actual Price","Актуална цена"
"Add","Добави"
"Add Attribute","Добави атрибут"
"Add Design Change","Добави промяна на дизайна"
"Add Group","Добави група"
"Add New","Добави нов"
"Add New Attribute","Добави атрибут"
"Add New Attribute Set","Добави нова група атрибути"
"Add New Group","Добави нова група"
"Add New Images","Добави нови изборажения"
"Add New Option","Добави нова опция"
"Add New Row","Добави нов ред"
"Add New Search Term","Добави нов термин за търсене"
"Add New Set","Добави нова група"
"Add Product","Добави продукт"
"Add Product To Websites","Добави продукти към уебсайтовете"
"Add Root Category","Добави главна категория"
"Add Subcategory","Добави подкатегория"
"Add Tax","Добави данък"
"Add Tier","Добави ниво"
"Add to Cart","Добави в количка"
"Add to Compare","Добави за сравнение"
"Add to Wishlist","Добави в Желани"
"Additional Information","Допълнителна информация"
"All","Всички"
"All Product Types","Всички видове продукти"
"All Websites","Всички уеб сайтове"
"All products","Всички продукти"
"All products - recently added products, New products - products marked as new","Всички продукти - последно добавени продукти, нови продукти - продукти, обозначени като нови"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Всички продукти от тази Продукт група ще бъдат изтрити! Сигурен ли сте, че искате да го изтриете?"
"Allow All Products per Page","Позволи показване на всички продукти на страница"
"Allowed File Extensions","Разрешени файлови разширения"
"Allowed file extensions to upload","Разрешени Файлови разширения за качване"
"Amount","Сума"
"Anchor Custom Text","Котва текст по избор"
"Anchor Custom Title","Котва потребителско заглавие"
"Apply To","Приложи към"
"Approved","Одобрен"
"Are you sure you want to delete this category?","Сигурни ли сте, че искате да изтриете категорията?"
"Are you sure you would like to remove all products from your comparison?","Сигурен ли сте, че искате да премахнете всички продукти от списъка за сравнение?"
"Are you sure you would like to remove this item from the compare products?","Сигурни ли сте, че искате да премахнете този продукт от листа за сравнение?"
"Are you sure?","Сигурни ли сте?"
"As low as:","Най-ниска цена:"
"Assign","Определи"
"Assign product link","Присъедини линк към продукт"
"Assign product to category","Присъедини линк към категория"
"Assigned Products","Присъединени продукт"
"Associated Products","Свързани с тях продукти"
"Attrib. Set Name","Име на Атрибут група"
"Attribute Information","Информация за атрибута"
"Attribute Model","Атрибут модел"
"Attribute Name:","Име на атрибута:"
"Attribute Set","Групи атрибути"
"Attribute Sets","Групи атрибути"
"Attribute with the same code already exists","Има съществуващ атрибут с този код"
"Attributes","Атрибути"
"Attrribute names can be specified per store.","Имената на атрибутите могат да се задават за всеки магазин."
"Autogenerate","Автоматично генериране"
"Availability:","Наличност:"
"Back","Обратно"
"Backend Model","Модел за администрация"
"Backend Table","Таблица за администрация"
"Backend Table Title","Име на таблица за администрация"
"Backorders","Поръчки за неналични продукти"
"Based On","Базиран на"
"Before Order Confirmation","Потвърждение на поръчка"
"Best Value","Най-добра стойност"
"Block after Info Column","Блок след информация за колона"
"Bottom/Left","Отдолу/Ляво"
"Bottom/Right","Отдолу/Дясно"
"Browse By","Разглеждане по"
"Bundle Items","Продукти в комплект"
"Buy %1$s for %2$s","Закупуване на %1$s за %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Закупуване на %1$s за %2$s (%3$s вкл. данък) всеки"
"Buy %1$s for %2$s each","Закупуване на %1$s за %2$s всеки"
"Cache Lifetime (Seconds)","Запазване на кеша (секунди)"
"Can be used only with catalog input type Dropdown","Може да се използва само с поле за въвеждане тип Падащо меню"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Може да се използва само с поле за въвеждане тип Падащо меню, Многократен избор и Цена"
"Cancel","Отказ"
"Cart Item Attribute","Атрибут на елемент на количката"
"Catalog","Каталог"
"Catalog Category Link","Връзка на категория в каталога"
"Catalog New Products List","Списък на нови продукти в каталога"
"Catalog Price Scope","Обхват на цените в каталога"
"Catalog Product Link","Каталог продуктова връзка"
"Catalog, Search","Каталог, Търсене"
"Categories","Категории"
"Categories Sitemap","Карта на категориите"
"Category","Категория"
"Category API","Категория API"
"Category Data","Категории Данни"
"Category Flat Data","Плоски данни за категория"
"Category Link Block Template","Шаблон на категория блокова връзка"
"Category Link Inline Template","Шаблон на категория линейна връзка"
"Category Products","Категория продукти"
"Category Top Navigation","Категория навигация най-отгоре"
"Category URL Suffix","Категория URL суфикс"
"Category attributes API","API на атрибути на категории"
"Category move error","Грешка при преместване на категория"
"Center","Център"
"Change","Промени"
"Change or Retrieve attribute store view","Промяна или извличане изглед на атрибут в магазин"
"Change status","Промени статус"
"Check items to add to the cart or","Проверете артикулите за добавяне в количката или"
"Choose an Option...","Избиране на действие..."
"Clear All","Изчисти всички"
"Clear Price","Изчисти цена"
"Click for price","Кликнете за цена"
"Close Window","Затвори прозореца"
"Collapse All","Разпадни всичко"
"Comma-separated.","Разделени със запетая."
"Comparable","Сравним"
"Comparable on Front-end","Сравним на публичен сайт"
"Compare","Сравни"
"Compare Products","Сравни продуктите"
"Conditions Combination","Комбинация от условия"
"Configurable Product","Конфигуриран Продукт"
"Configurable Product Settings","Настройки на Конфигуриран продукт"
"Configure Product","Конфигуриране на продукт"
"Continue","Продължи"
"Copy From Configurable","Копирай от конфигуриран"
"Country/State","Държава-членка"
"Create","Създай"
"Create (Upload)","Създай (Качване)"
"Create Empty","Създай празен"
"Create Permanent Redirect for URLs if URL Key Changed","Създаване на постоянно пренасочване за URL адреси ако URL Кey е променен"
"Create Permanent Redirect for old URL","Създаване на постоянните пренасочване за стария URL"
"Create Product Settings","Настройки за създаване на продукт"
"Create Simple Associated Product","Създай обикновен асоцииран продукт"
"Create new category","Създай нова категория"
"Create new product","Създай нов продукт"
"Cross-sells","Кръстосани продажби"
"Custom Design","Персонализиран дизайн"
"Custom Options","Персонализирани опции"
"Customer Group","Клиентска група"
"Customers Reviews","Отзиви от клиенти"
"Customers Tagged Product","Клиентски отбелязан продукт"
"Data Type for Saving in Database","Тип на данните записвани в базата данни"
"Date & Time Custom Options","Опции за Дата & време"
"Date Fields Order","Полетата за данни на поръчка"
"Date Subscribed","Дата на абонамент"
"Datetime","Дата и час"
"Decimal","Десетичен"
"Declare attribute value saving scope","Декларирай обхват за записване на стойности на атрибут"
"Default ""What's This"" Text Message","По подразбиране е ""Какво е това"" текстово съобщение"
"Default Popup Text Message","По подразбиране изкачащо текстово съобщение"
"Default Price","Цени по подразбиране"
"Default Price Navigation Step","Навигация стъпка по стъпка за цена по подразбиране"
"Default Qty","По подразбиране количество"
"Default Values","Стойности по подразбиране"
"Delete","Изтрий"
"Delete Attribute","Изтрий атрибут"
"Delete Attribute Set","Изтрий Атрибут група"
"Delete Category","Изтрий категория"
"Delete Option","Изтрий опцията"
"Delete Row","Изтрий ред"
"Delete Search","Изтриване на търсене"
"Delete Selected Group","Изтрий избраната група"
"Delete Tier","Изтриване ред"
"Delete category","Изтрий категория"
"Delete product","Изтрий продукт"
"Depends on design theme","Зависи от дизайна на темата"
"Description","Описание"
"Design","Дизайн"
"Details","Детайли"
"Disabled","Забранен"
"Disallowed file type.","Неразрешен файлов тип."
"Display Actual Price","Покажи актуалната цена"
"Display Page Control","Контрол на показването на страница"
"Display Price Interval as One Price","Показване на ценови интервал като една цена"
"Display Product Count","Брояч на показвания на продукт"
"Display Type","Тип на показване"
"Display in Suggested Terms","Показване в предложени думи"
"Double click on a group to rename it","Двоен клик върху група за преименуване"
"Double click on above image to view full picture","Двоен клик върху изображението за преглед на цялата снимка"
"Downloadable Information","Информация за сваляне"
"Duplicate","Дубликат"
"Duplicate amount found.","Намерена дублирана сума."
"Duplicate website tier price customer group and quantity.","Направи копие на клиентска група за ценови нива и количество на уебсайт."
"Duplicate website, country and state tax found.","Направи копие на намерените уебсайт, държава, област и данък."
"Edit","Редактирай"
"Edit Attribute Set '%s'","Редактирай Атрибут група '%s'"
"Edit Product Attribute","Промени продуктовия атрибут"
"Edit Product Attribute ""%s""","Редактирай продуктов атрибут ""%s"""
"Edit Search","Редактиране на търсене"
"Edit Search '%s'","Редактирай търсене '%s'"
"Email","Имейл"
"Email to a Friend","Изпрати email на приятел"
"Empty","Празен"
"Enable MAP","Разреши карта"
"Enable Qty Increments","Позволи увеличаване на количеството"
"Enabled","Активиран"
"Error during retrieval of option value: %s","Грешка при извличане стойност на опция: %s"
"Exclude","Изключи"
"Expand All","Разшири всичко"
"Failed","Неуспешно"
"Failed to move file: %s","Неуспех при местене на файл: %s"
"Feature Products","Маркирай продукти като специални"
"File upload failed","Качването на файл неуспешно"
"Filter","Филтър"
"Filterable (no results)","Филтриране (без резултати)"
"Filterable (with results)","Филтриране (с резултати)"
"First Name","Име"
"Fixed","Фиксиран"
"For the last time placed.","За последен път поставени."
"Frontend","Публичен сайт"
"Frontend Model","Модел за публичен сайт"
"Frontend Properties","Настройки за публичен сайт"
"Gallery","Галерия"
"General Information","Обща информация"
"Get special price","Получи промоционална цена"
"Global","Глобален"
"Globally Editable","Редактируем глобално"
"Go to Home Page","Отиди на основата страница"
"Grid","Решетка"
"Grouped Product","Групиран продукт"
"Groups","Групи"
"Home","Основна страница"
"ID","ИД"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Ако не е посочена стойност на опцията за конкретен изглед на магазин, тогава ще бъде използвана стойността по подразбиране (Администрация)."
"Image","Изображение"
"Image type and information need to be specified for each store view.","Видът и информацията на изображението трябва да бъдат посочени за всеки изглед на магазин."
"In Cart","В количката"
"In Stock","В наличност"
"In stock","На склад"
"Incl. Tax","Вкл. Ддс"
"Index product prices","Индекс на цени на продукти"
"Indexed category/products association","Асоцииране на индексирани категория/продукти"
"Input Type","Вмъкни тип"
"Integer","Цяло число"
"Interval Division Limit","Граница на интервална дивизия"
"Invalid Tier Prices","Невалидни ценови нива"
"Invalid image type.","евалиден тип на изображение."
"Invalid store specified","Използван е невалиден магазин"
"Inventory","Наличност"
"Is Default","Е по подразбиране"
"Is Required","Се изисква"
"Items %s to %s of %s total","Артикули %s до %s от общо %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Артикули, които не искате да се показват в каталога или резултатите от търсене, трябва да имат статус 'Неактивен' в избрания магазин."
"Label","Етикет"
"Last Name","Фамилия"
"Last Notification","Последно известие"
"Layered Navigation","Пластовa навигация"
"Learn More","Научете повече"
"Line %d, Email: %s","Ред %d, Имейл: %s"
"Line %d, SKU: %s","Ред %d, Кат. №: %s"
"Link (Related, Up sell, Cross sell)","Свързване (Свързан, Допълнителна продажба, Кръстосана продажба)"
"Link to a Specified Category","Връзка към определена категория"
"Link to a Specified Product","Връзка към определен продукт"
"List","Списък"
"List Mode","Режим на списък"
"List of Products that are set as New","Списък на продуктите, които са зададени като нови"
"Catalog Categories","Категории на каталога"
"Manage Stock","Управление на наличности"
"Max Characters","Максимален брой символи"
"Maximal Depth","Максимална дълбочина"
"Maximum Image Size","Максимален размер на изображение"
"Maximum Number of Price Intervals","Максималният брой на ценови интервали"
"Maximum Qty Allowed in Shopping Cart","Позволено максимално количество за количката за пазаруване"
"Maximum image height","Максимална височина на изображението"
"Maximum image width","Максимална широчина на изображението"
"Maximum number of characters:","Максимален брой символи:"
"Maximum number of price intervals is 100","Максимален брой ценови интервали е 100"
"Media Image","Изображение"
"Minimum Advertised Price","Минимална рекламна цена"
"Minimum Qty Allowed in Shopping Cart","Позволено минимално количество в количката"
"Minimum Qty for Item's Status to be Out of Stock","Мин. количество за смяна на продукт статуса на Неналичен"
"More Views","Още изгледи"
"Move","Премести"
"Move category in tree","Премести категорията в дървото"
"Must be in the allowed values list.","Трябва да бъде в списъка с позволени стойности."
"My Account","Моят профил"
