"* Required Fields","* Задължителни полета"
"ALL GROUPS","ВСИЧКИ ГРУПИ"
"Account Dashboard","Профил табло"
"Account Information","Информация за профила"
"Account Sharing Options","Настройки за споделяне на профил"
"Action","Действие"
"Add New Address","Добави нов адрес"
"Add New Customer","Добавяне на нов клиент"
"Add New Customer Group","Добави нова група клиенти"
"Added From","Добавена форма"
"Additional Address Entries","Допълнителни адресни записи"
"Address","Адрес"
"Address Book","Адресна книга"
"Address Information","Адресна информация"
"Address Templates","Шаблони на адрес"
"Addresses","Адреси"
"Admin","Админ"
"All","Всички"
"All Store Views","Изгледи на всички магазини"
"All countries","Всички държави"
"Always optional.","Винаги по желание."
"Amount","Сума"
"Approved","Одобрен"
"Are you sure that you want to remove this item?","Сигурен ли сте, че искате да премахнете този артикул?"
"Are you sure you want to cancel adding of this address?","Сигурен ли сте, че искате да откажете добавянето на този адрес?"
"Are you sure you want to delete this address?","Наистина ли искате да изтриете този адрес?"
"Are you sure?","Сигурни ли сте?"
"Assign a Customer Group","Присвояване на група клиенти"
"Average Sale","Средна продажба"
"Back","Обратно"
"Back to Login","Обратно към Вход"
"Bad request.","Неправилно поискване."
"Bill to Name","Име на платеца"
"Bought From","Закупено от"
"By Email","по имейл"
"By IP","От IP"
"By IP and Email","От IP и имейл"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Чрез създаване на профил в нашия магазин, ще имате достъп до ускорен процес за потвърждаване на поръчките, ще можете да съхранявате множество адреси за доставка, да преглеждате и проследявате заявки и много други."
"Cancel","Отказ"
"Change Account Password","Промени паролата на профил"
"Change Billing Address","Промяна на адрес за фактуриране"
"Change Password","Промени парола"
"Change Shipping Address","Промяна на адрес за доставка"
"City","Град"
"Company","Фирма"
"Config","Конфигурация"
"Configure","Конфигуриране на"
"Confirm New Password","Потвърдете новата парола"
"Confirm Password","Потвърдете паролата"
"Confirmation Link Email","Имейл за потвърждение връзка"
"Confirmed","Потвърден"
"Contact Information","Информация за контакт"
"Continue Shopping","Продължи с пазаруването"
"Country","Държава"
"Create","Създай"
"Create New Account Options","Създаване на нови опции за профил"
"Create New Customer Account","Създай нов клиентски профил"
"Create Order","Създай поръчка"
"Create an Account","Регистрация"
