"(Excl. Tax)","(Без ДДС)"
"(Incl. Tax)","(С ДДС)"
"* Required Fields","* Задължителни полета"
"Add New Address","Добави нов адрес"
"Add New Condition","Добавите нови условия"
"Add to Cart","Добави в количка"
"Add to Compare","Добави за сравнение"
"Add to Wishlist","Добави в Желани"
"Address","Адрес"
"Address %s of %s","Адрес %s от %s"
"After Adding a Product Redirect to Shopping Cart","Пренасочване към пазарската кошница след добавяне на продукт"
"Allow Guest Checkout","Позволи приключване на поръчката като гост"
"Already registered?","Вече сте регистрирани?"
"An error occurred in the process of payment","Възникна грешка по време на плащане"
"Apply","Приложи"
"Apply Coupon","Приложи купон"
"Are you sure you would like to remove this item from the shopping cart?","Сигурни ли сте, че бихте искали да премахнете този елемент от количката?"
"Back","Обратно"
"Back to Billing Information","Обратно към информация за фактуриране"
"Back to Select Addresses","Обратно, за да изберете адреси"
"Back to Shipping Information","Обратно към информация за доставка"
"Back to Shopping Cart","Обратно към количката"
"Based on your selection, you may be interested in the following items:","Базирано на вашия избор, може би ще проявите интерес и към следните продукти:"
"Billing Address","Адрес за фактуриране"
"Billing Information","Информация за фактуриране"
"Billing Information - %s","Информация за плащане - %s"
"Cancel","Отказ"
"Cancel Coupon","Откажи купона"
"Cannot process the item.","Не може да обработи този елемент."
"Card Verification Number Visual Reference","Карта проверка номер визуална препратка"
"Cart Subtotal:","Сума:"
"Change","Промени"
"Change Billing Address","Промяна на адрес за фактуриране"
"Checkbox Text","Текст за Checkbox"
"Checkout","Поръчай"
"Checkout Conditions","Условия за приключване на поръчка"
"Checkout Options","Опции за плащане"
"Checkout Terms and Conditions","Общи условия"
"Checkout as Guest","Разплащане като Гост"
"Checkout as a Guest or Register","Разплащане като Гост или регистрация"
"Checkout with Multiple Addresses","Разплащане с няколко адреса"
"City","Град"
"Clear Shopping Cart","Изчисти количката"
