"Add","Добави"
"Add New Row","Добави нов ред"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Буквено-цифрови, тире и долна черта знаци са препоръчителни за имена на файлове. Неправилно знаци ще се заменят с ""_""."
"An error occurred while saving the file(s).","Грешка при записване на файла/файловете."
"Availability:","Наличност:"
"Back","Обратно"
"Canceled","Отказан"
"Category API","Категория API"
"Date","Дата"
"Default Link Title","Линк заглавие по подразбиране"
"Default Maximum Number of Downloads","По подразбиране максимален брой сваляния"
"Default Sample Title","Заглавие по подразбиране"
"Delete","Изтрий"
"Disable Guest Checkout if Cart Contains Downloadable Items","Забрани приключване на проръчката като гост, ако количката съдържа продукти за сваляне"
"Downloadable Information","Информация за сваляне"
"Downloadable Product","Продукт за сваляне"
"Downloadable Product Options","Опции на продуктите за сваляне"
"Downloadable Product Section","Раздел продукти за сваляне"
"Edit","Редактирай"
"Edit item parameters","Промени параметрите на артикула"
"Excl. Tax","Без вкл. ДДС"
"File","Файл"
"From:","От:"
"Gift Message","Съобщение за подарък"
"Go to <a href=""%s"">My Downloadable Products</a>","Отидете на <a href=""%s"">Моите продукти за сваляне</a>"
"Guest checkout will only work with shareable.","Приключването на поръчката ще работи само при споделени продукти."
"In stock","На склад"
"Incl. Tax","Вкл. Ддс"
"Invalid download link type.","Невалиден тип линк за изтегляне."
"Invoiced","Фактурирани"
"Links can be purchased separately","Връзките могат да бъдат закупени отделно"
"List","Списък"
"Max. Downloads","Макс. Файлове за изтегляне"
"Message:","Съобщение:"
"Move","Премести"
"My Downloadable Products","Моите продукти за сваляне"
"Open Links in New Window","Отвори линка в нов прозорец"
"Order #","Поръчка #"
"Order Item Status to Enable Downloads","Статус на поръчка, да се даде възможност за сваляне"
"Order id cannot be null","Ид на поръчката може да бъде нулево"
"Order item id cannot be null","ИД на елемент на ред може да бъде нулево"
"Ordered","Поръчан"
"Out of stock","Изчерпано количество"
"Pending","Чакащ"
"Please log in to download your product.","Моля влезте в системата за изтегляне на Вашия продукт."
"Please set resource file and link type.","Моля задайте ресурсен файл и тип връзка."
"Please specify product link(s).","Задайте продукт връзката (а)."
"Price","Цена"
"Qty","Кол-во"
"Refunded","Възстановен"
"Remaining Downloads","Оставащи изтегляния"
"Remove","Премахване"
"Remove Item","Премахване на продукт"
"SKU","Кат. номер"
"Sample","Проба"
"See price before order confirmation.","Вижте цената преди потвърждение на поръчката."
"Shareable","Споделяем"
"Shipped","Изпратен"
"Sorry, there was an error getting requested content. Please contact the store owner.","За съжаление възникна грешка при получаване на исканото съдържание. Обърнете се към собственика на магазина."
"Sort Order","Ред на сортиране"
"Start Download","Започнете изтегляне"
"Status","Статус"
"Subtotal","Сума"
"The link has expired.","Срокът на връзката е изтекъл."
"The link is not available.","Връзката не е налична."
"Title","Заглавиe"
"To:","До:"
"Unlimited","Неограничен"
"Update","Обновяване"
"Use Content-Disposition","Използвайте съдържание-разпореждане"
"Use Default Value","Използвай стойността по подразбиране"
"View Order","Вижте поръчка"
"What's this?","Какво е това?"
"You have not purchased any downloadable products yet.","Не сте купили никакви продукти за сваляне."
"attachment","прикачен файл"
"download","изтегляне"
"inline","на линия"
"sample","проба"
