"All Websites","Всички уеб сайтове"
"Display Prices In Emails","Показване на цените в имейли"
"Display Prices In Product Lists","Показване на цените в списъци с продукти"
"Display Prices In Sales Modules","Показване на цените в продажба модули"
"Display Prices On Product View Page","Показване на цените на продукта изглед на страница"
"Enable FPT","Разреши FPT"
"Excluding FPT","Без на FPT"
"Excluding FPT, FPT description, final price","Без включване на ФПД, ФПД описание, крайна цена"
"Fixed Product Tax","Фиксирана такса за продукт"
"Fixed Product Taxes","Фиксирани такси за продукт"
"Include FPT In Subtotal","Включи FPT в междинна сума"
"Including FPT and FPT description","Включително FPT и FPT описание"
"Including FPT and FPT description [incl. FPT VAT]","С включено ФПД и описание на ФПД [с вкл. ФПД ДДС]"
"Including FPT only","Включително FPT само"
"Total","Общо"
"Total Incl. Tax","Общ данък за вкл"
"Total incl. tax","Общо вкл. данък"
"Total:","Общо:"
