"Add","Добави"
"Add New Role","Добавяне на нова роля"
"Address Type","Тип на адреса"
"Admin","Админ"
"Allow","Разреши"
"Assigned","Възложен"
"Attribute Set","Групи атрибути"
"Attributes","Атрибути"
"Automatically Return Credit Memo Item to Stock","Автоматично връщане на продукт на склад при издаване на кредитно известие"
"Back","Обратно"
"Backorders","Поръчки за неналични продукти"
"Base Currency","Основна валута"
"Catalog","Каталог"
"Category ID","Идентификационен номер на категорията"
"City","Град"
"Company","Фирма"
"Country","Държава"
"Coupon Code","Ваучер код"
"Create","Създай"
"Create Permanent Redirect for old URL","Създаване на постоянните пренасочване за стария URL"
"Customer","Клиент"
"Customer Address","Адрес на клиента"
"Customer First Name","Първото име на клиент"
"Customer ID","ИД на клиент"
"Customer Last Name","Фамилно име на клиент"
"Delete","Изтрий"
"Deny","Забрани"
"Discount","Отстъпка"
"Discount Amount","Размер на отстъпката"
"Edit","Редактирай"
"Edit Role","Редактиране на роля"
"Email","Имейл"
"Enable Qty Increments","Позволи увеличаване на количеството"
"Exclude","Изключи"
"File Name","Име на файл"
"First Name","Име"
"Gift Message","Съобщение за подарък"
"Grand Total","Обща сума"
"Grand Total to Be Charged","Обща Сума за Плащане"
"Group","Група"
"Guest","Гост"
"ID","ИД"
"Label","Етикет"
"Last Name","Фамилия"
"Manage Stock","Управление на наличности"
"Maximum Qty Allowed in Shopping Cart","Позволено максимално количество за количката за пазаруване"
"Minimum Qty Allowed in Shopping Cart","Позволено минимално количество в количката"
"New Role","Нова роля"
"Notify for Quantity Below","Уведоми за ниско количество"
"Order","Поръчка"
"Order Comments","Коментари за поръчка"
"Order Date","Дата на поръчката"
"Order ID","Номер на поръчката"
"Order Status","Статус на поръчката"
"Orders","Поръчки"
"Original Price","Първоначална цена"
"Payment Method","Метод на плащане"
"Phone Number","Телефон"
"Placed from IP","Направено от IP"
"Position","Позиция"
"Price","Цена"
"Product","Продукт"
"Product ID","ИД на продукта"
"Product Type","Тип на продукта"
"Qty","Кол-во"
"Qty Increments","Увеличаване на количеството"
"Qty Uses Decimals","Количеството използва десетици"
"Role Info","Информация за роля"
"Role Information","Информация за роля"
"Role Name","Име на роля"
"Role Users","Ролята на потребителите"
"Roles","Роли"
"SKU","Кат. номер"
"Sales","Продажби"
"Save","Запиши"
"Shipping Amount","Доставка сума"
"Shipping Method","Метод на доставка"
"State","Щат"
"Stock Availability","Складова наличност"
"Stock Status","Статус на наличност"
"Store Name","Име на магазина"
"Subtotal","Сума"
"System","Системи"
"Tax Amount","Сума ДДС"
"Tax Percent","Процент за данък"
"Tax Rate","Данъчна ставка"
"Total Due","Общо дължими"
"Total Paid","Общо платени"
"Total Refunded","Общо възстановени"
"Type","Тип"
"Update","Обновяване"
"Web Services","Уеб услуги"
"Web services","Уеб услуги"
"ZIP/Postal Code","Пощенски код"
