"Active","Активно"
"Add Attribute Mapping","Добави свързване на атрибут"
"Add New Attribute","Добави атрибут"
"Add to Google Base","Добави към Гугъл Base"
"Are you sure?","Сигурни ли сте?"
"Attribute","Атрибут"
"Attribute Set","Групи атрибути"
"Attribute Set and Item Type","Атрибут група и тип на продукт"
"Attributes","Атрибути"
"Attributes Set","Атрибут групи"
"Available Products","Налични продукти"
"Cannot update Google Base Item for Store '%s'","Не е възможно обновяване на артикул на Гугъл Base за магазин '%s'"
"Captcha confirmation error: %s","Грешка при потвърждаване на изображение за сигурност: %s"
"Catalog","Каталог"
"Clicks","Кликове"
"Confirm","Потвърждение"
"Current Mapping will be reloaded. Continue?","Текущото свързване ще бъде презаредено. Продължи?"
"Custom attribute, no mapping","Собствен атрибут, без свързване"
"Delete","Изтрий"
"Delete Mapping","Изтрий свързване"
"Edit Item Type","Редактирай тип"
"Edit Item Type ""%s""","Редакция на тип ""%s"""
"Error: %s","Грешка: %s"
"Expires","Изтича на"
"Google Base Attribute","Гугъл Base атрибут"
"Google Base ID","Гугъл Base ID"
"Google Base Item Type","Гугъл Base тип артикул"
"Google Base Item type","Гугъл Base тип артикул"
"Google Base Items","Google Base продукти"
"Hide","Скрий"
"Impr.","Импр."
"Invalid Product Model for Google Base Item","Невалиден продукт модел за Гугъл Base артикул"
"Item Type was deleted","Типът е изтрит"
"Item Types","Типове артикули"
"Items","Артикули"
"Manage Attribute Mapping","Управление на свързване на атрибути"
"Manage Attributes","Атрибути"
"Manage Items","Управление на елементи"
"New Item Type","Нов тип на обект"
"No","Не"
"No items were deleted from Google Base","Не бяха изтрити артикули от Гугъл Base"
"No items were published","Не бяха публикувани артикули"
"No products were added to Google Base","Не бяха добавени продукти на Гугъл Base"
"Please, select Attribute Set and Google Item Type to load attributes","Моля, изберете атрибут група и Гугъл тип артикул за зареждане на атрибути"
"Product Name","Име на продукт"
"Publish","Публикувай"
"Published","Публикувано"
"Remove","Премахване"
"Save Mapping","Запиши свързване"
"Synchronize","Синхронизирай"
"Target Country","Целева държава"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Това действие ще обнови статистики за артикули и ще премахне артикули, които не са налични в Гугъл Base. Продължи?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Невъзможна е комуникацията с Гугъл Base. Моля, проверете настройки на профила в конфигурация."
"View Available Products","Прегледай налични продукти"
"View Item in Google Base","Прегледай артикул в Гугъл Base"
"Yes","Да"
