" for more information or "," за повече информация или "
"# of Items (and above)","# на артикули (и по-горе)"
"# of Items vs. Destination","# на артикули срещу местоназначение"
"Allow Shipping to Multiple Addresses","Позволи доставка до няколко адреса"
"Calculate Handling Fee","Изчисляване на такса за обработване"
"Carrier:","Куриер"
"City","Град"
"Close Window","Затвори прозореца"
"Condition","Състояние"
"Country","Държава"
"Custom Value","Стойност по избор"
"Date","Дата"
"Delivered on:","Доставено на:"
"Delivered to:","Доставено до (получател):"
"Description","Описание"
"Displayed Error Message","Показаното е съобщение за грешка"
"Divide to equal weight (one request)","Се делят на равно тегло (една заявка)"
"Enabled","Активиран"
"Error:","Грешка:"
"Export","Експорт"
"Fixed","Фиксиран"
"Flat Rate","Единна ставка"
"Free Shipping","Безплатна доставка"
"Handling Fee","Такса за обработване"
"Import","Импорт"
"Include Virtual Products in Price Calculation","Включва виртуални продукти при изчисляване на цената"
"Info:","Информация:"
"Invalid Table Rate code for type %s: %s","Невалиден код на таблична ставка за тип %s: %s"
"Invalid Table Rate code type: %s","Невалиден тип за код на таблична ставка: %s"
"Invalid Table Rates File Format","Невалиден формат на файл за таблични ставки"
"Local Time","Местно време"
"Location","Местоположение"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Максимално количество, разрешено за доставка до няколко адреса"
"Method Name","Метод име"
"Minimum Order Amount","Минимално количество на поръчката"
"N/A","Не е достъпно"
"None","Не"
"Options","Опции"
"Order Subtotal (and above)","Поръчайте междинна сума (и по-горе)"
"Origin","Произход"
"Per Order","На поръчка"
"Per Package","На пакет"
"Percent","Процент"
"Price","Цена"
"Price vs. Destination","Цена срещу местоназначение"
"Region/State","Област"
"Service Type:","Тип услуга:"
"Ship to Applicable Countries","Доставка до приложимите страни"
"Ship to Specific Countries","Доставка до конкретни страни"
"Shipment #","Доставка #"
"Shipped or billed on:","Изпратен или таксуван на:"
"Shipping Methods","Методи на доставка"
"Shipping Settings","Опции доставка"
"Show Method if Not Applicable","Покажи метод, ако не са приложими"
"Signed by:","Подписан от:"
"Sort Order","Ред на сортиране"
"Status:","Статус:"
"Store Pickup","Вземане от магазина"
"Street Address","Адрес"
"Street Address Line 2","Адрес 2"
"Table Rates","Проценти таблица"
"The shipping module is not available.","Модула за доставка не е наличен."
"There is no tracking available for this shipment.","Няма възможност за проследяване за тази доставка."
"There is no tracking available.","Няма възможност за проследяване."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Този начин на доставка е неналичен в момента. Моля, свържете се с нас, ако все пак желаете да го използвате."
"Title","Заглавиe"
"Track:","Проследи:"
"Tracking Information","Информация за проследяване"
"Tracking Number:","Номер за проследяване:"
"Tracking information is currently not available. Please ","В момента няма информация за проследяването. Моля "
"Tracking information is currently unavailable.","В момента не е налична информация за проследяване."
"Type","Тип"
"Use origin weight (few requests)","Използвайте произход тегло (няколко искания)"
"Weight (and above)","Тегло (и по-горе)"
"Weight vs. Destination","Тегло срещу местоназначение"
"Weight:","Тегло:"
"ZIP/Postal Code","Пощенски код"
"contact us","свържете се с нас"
"email us at ","Изпратете ни имейл на "
