"Add Minimum Qty","Добави минимално количество"
"Allow Qty Below 0","Позволи наличност под 0"
"Allow Qty Below 0 and Notify Customer","Позволи количество под 0 и уведоми купувача"
"Automatically Return Credit Memo Item to Stock","Автоматично връщане на продукт на склад при издаване на кредитно известие"
"Backorders","Поръчки за неналични продукти"
"By Fixed value","по фиксирана стойност"
"By Percentage","С процент"
"Catalog Inventory","Каталожен Инвентар"
"Decrease Stock When Order is Placed","Намали складовата наличност, когато е направена поръчка"
"Display Out of Stock Products","Показване на продукти на склад"
"Enable Qty Increments","Позволи увеличаване на количеството"
"In Stock","В наличност"
"Inventory","Наличност"
"Inventory API","Инвентар API"
"Inventory Section","Раздел Наличност"
"Manage Stock","Управление на наличности"
"Maximum Qty Allowed in Shopping Cart","Позволено максимално количество за количката за пазаруване"
"Minimum Qty","Минимално количество"
"Minimum Qty Allowed in Shopping Cart","Позволено минимално количество в количката"
"No Backorders","Без поръчки за неналични продукти"
"Notify for Quantity Below","Уведоми за ниско количество"
"Only X left Threshold","Само X ляв праг"
"Out of Stock","Няма наличност"
"Product Name","Име на продукт"
"Product Stock Options","Опции за наличност на продукти"
"Products will still be shown by direct product URLs.","Продуктите все още ще бъдат показани чрез директен URL адрес на продукта."
"Qty","Кол-во"
"Qty Increments","Увеличаване на количеството"
"Retrieve stock data","Извличане на данни за налични количества"
"Retrieve stock data by product ids","Извличане на данни за налични количества по ID на продукти"
"Rule price","Правило цена"
"Set Items' Status to be In Stock When Order is Cancelled","Задаване на продуктите в наличност, когато поръчката е отказана"
"Stock Options","Опции за наличност"
"Stock Status","Статус на наличност"
"The maximum quantity allowed for purchase is %s.","Максимално позволеното за покупка количество е %s."
"The minimum quantity allowed for purchase is %s.","Минимално позволеното за покупка количество е %s."
"The requested quantity for ""%s"" is not available.","Заявеното количество ""%s"" е неналично."
"The stock item for Product in option is not valid.","Складовата единица за Продукт в опцията не е валидна."
"This product is currently out of stock.","В момента, този продукт не е в наличност."
"To Fixed Value","Фиксирана стойност"
"To Percentage","Процент"
"Update","Обновяване"
"Update product stock data","Обнови Налични количества на продукта"
"Update the Product","Актуализирай продукта"
