"# of Uses","Брой използвания"
"Action","Действие"
"Add","Добави"
"Add New Tag","Добави нова кл. дума"
"Add Tags","Добави ключови думи"
"Add Your Tags:","Добавете собствени ключви думи:"
"Add to Cart","Добави в количка"
"Add to Wishlist","Добави в Желани"
"All Tags","Всички ключови думи"
"Approved","Одобрен"
"Are you sure you want to delete this tag?","Сигурен ли сте, че искате да изтриете тази кл. дума?"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Are you sure?","Сигурни ли сте?"
"Back","Обратно"
"Back to Tags List","Обратно към списък с кл. думи"
"Block Information","Блок информация"
"Change status","Промени статус"
"Click on a tag to view your corresponding products.","Изберете ключова дума за да прегледате кореспондиращите и продукти."
"Country","Държава"
"Customer Since","Клиенти от"
"Customers","Клиенти"
"Customers Tagged '%s'","Клиенти маркирали '%s'"
"Delete","Изтрий"
"Delete Tag","Изтрий кл. дума"
"Disabled","Забранен"
"Edit Tag '%s'","Редакция на кл. дума '%s'"
"Email","Имейл"
"First Name","Име"
"General Information","Обща информация"
"Grid","Решетка"
"ID","ИД"
"Last Name","Фамилия"
"List","Списък"
"My Recent Tags","Моите последни кл. думи"
"My Tags","Моите тагове"
"Name","Име"
"New Tag","Нова кл. дума"
"No matches found.","не са намерени съвпадения."
"Other people marked this product with these tags:","Други хора маркираха този продукт със следните кл. думи:"
"Pending","Чакащ"
"Pending Tags","Ключови думи в изчакване"
"Popular","Популярно"
"Popular Tags","Популярни кл. думи"
"Price","Цена"
"Product Name","Име на продукт"
"Product SKU","Кат. №"
"Product Tags","Ключови думи на продукта"
"Products","Продукти"
"Products Tagged with '%s'","Продукти маркирани с '%s'"
"Products tagged with '%s'","Продукти маркирани с '%s'"
"Remove","Премахване"
"SKU","Кат. номер"
"Save Tag","Запиши кл. дума"
"Save and Continue Edit","Запази и продължи редактиране"
"Status","Статус"
"Store View","Изглед на магазина"
"Tag","Кл. дума"
"Tag Name","Име на ключова дума"
"Tags","Тагове"
"Tags:","Ключови думи:"
"Telephone","Телефон"
"Unable to find any products tagged with '%s' in the current store","Невъзможно е намирането на продукти маркирани с '%s' в текущия магазин"
"Unable to remove tag. Please, try again later.","Невъзможно е премахването на ключова дума. Моля опитайте отново по-късно."
"Update","Обновяване"
"Use spaces to separate tags. Use single quotes (') for phrases.","Използвайте празно място за разделяне на ключови думи. Използвайте единични кавички (') за фрази."
"View All Tags","Покажи всички кл. думи"
"View Customers","Покажи клиенти"
"View Products","Покажи продукти"
"You have not tagged any products yet.","Все още не сте добавили ключови думи за продукт."
"ZIP/Post Code","Пощенски код"
"[STORE VIEW]","[Изглед Магазин]"
