"-- Please Select --","-- Моля изберете --"
"Add Block Names to Hints","Добави имена на блокове към подсказка"
"Add Secret Key to URLs","Добави Ключ за сигурност към URL адреси"
"Add Store Code to Urls","Добави код на магазин към Url адреси"
"Admin","Админ"
"Admin Base URL","Базов адрес за админ"
"Admin User Emails","Email адрес на администратора"
"Advanced","Разширени"
"Allow Countries","Разреши държави"
"Allow Symlinks","Позволи Symlinks"
"Allowed IPs (comma separated)","Разрешени IP-та (разделени със запетая)"
"Anchor Text for Next","Текст на връзката за ""Следващи"""
"Anchor Text for Previous","Текст на връзката за ""Предишни"""
"Are you sure?","Сигурни ли сте?"
"Auto-redirect to Base URL","Авто-пренасочване към базовия URL"
"Back","Обратно"
"Backup Options","Опции за архивиране"
"Base JavaScript URL","Базово ULR за JavaScript"
"Base Link URL","Базова връзка URL"
"Base Media URL","Вазово URL за медия"
"Base Skin URL","Вазово URL за скин"
"Base URL","Основен URL"
"Block with name ""%s"" already exists","Блок с име ""%s"" вече съществува"
"Browser Capabilities Detection","Откриване на възможности за браузъра"
"CSS Settings","CSS настройки"
"Cache Storage Management","Управление на съхраняването на кеша"
"Can't retrieve request object","Невъзможно е извличането на обект за заявка"
"Can't retrieve entity config: %s","Не може да се изтегли съществуващ конфиг: %s"
"Cancel","Отказ"
"Cannot complete this operation from non-admin area.","Тази операция не може да бъде завършена извън адмнистративния панел."
"Card type does not match credit card number.","Типът на картата не съвпада с номера на кредитната карта."
"Code","Код"
"Controller file was loaded but class does not exist","Файлът за контролер беше зареден, но класът не съществува"
"Cookie Domain","Домейн на бисквитката"
"Cookie Lifetime","Живот на бисквитката"
"Cookie Path","Път на бисквитката"
"Cookie Restriction Mode","Ограничен режим на Бисквитките"
"Copyright","Авторски права"
"Country","Държава"
"Create Store","Създай магазин"
"Create Store View","Създай изглед на магазин"
"Create Website","Създай уеб сайт"
"Credit card number does not match credit card type.","Номерът на кредитната карта не съвпада с типа на картата."
"Custom Admin Path","Различен адрес за админ"
"Custom Admin URL","Потребителски адрес за админ"
"Custom Design","Персонализиран дизайн"
"Custom Email 1","Потребителски Email 1"
"Custom Email 2","Потребителски Email 2"
"Custom Variables","Персонализирани променливи"
"Customer Support","Поддръжка на клиенти"
"Dashboard","Табло"
"Date From","Дата от"
"Date To","Дата до"
"Date/time format ""%s"" is not supported.","Формат за дата/време ""%s"" не се поддържа."
"Debug","Дебъг"
"Default","По подразбиране"
"Default Country","Държава по подразбиране"
"Default Description","Описание по подразбиране"
"Default Keywords","Кл. думи по подразбиране"
"Default No-route URL","URL по подразбиране, когато не може да бъде намерен URL"
"Default Pages","Страници по подразбиране"
"Default Robots","По подразбиране роботи"
"Default Store","Магазин по подразбиране"
"Default Store View","Изглед на магазин по подразбиране"
"Default Title","Заглавие по подразбиране"
"Default Web URL","Web URL по подразбиране"
"Delete","Изтрий"
"Delete Store","Изтрий магазин"
"Delete Store View","Изтрий изглед на магазин"
"Delete Website","Изтрий уебсайт"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Изтриването на %1$s няма да изтрие информацията асоциирана с %1$s (напр. категории, продукти и т.н.), но възстановяването на %1$s няма да е възможно. Препоръчително е създаването на архив за възстановяване преди изтриване на %1$s."
"Design","Дизайн"
"Design Change","Промяна на дизайна"
"Developer","Разработчик"
"Developer Client Restrictions","Клиентски ограничения на разработчика"
"Disable Email Communications","Забрани изпращането на имейл съобщения"
"Disable Modules Output","Забрани изход на модули"
"Display Demo Store Notice","Дисплей на демо магазин предизвестие"
"Duplicate Of Template Name","Дубликат на име на шаблон"
"Edit Design Change","Редактирай промяната на дизайна"
"Edit Store","Редактирай магазин"
"Edit Store View","Редактирай изглед на магазин"
"Edit Website","Редактирай уебсайт"
"Empty identifier field name","Празно име на поле за идентификатор"
"Empty main table name","Празно главно име на таблица"
"Enable Charts","Разреши диаграми"
"Enabled","Активиран"
"Enabled for Admin","Разрешено за Администратор"
"Enabled for Frontend","Активно за публичен сайт"
"Environment Update Time","Среда на времева актуализация"
"Error in file: ""%s"" - %s","Грешка във файл: ""%s"" - %s"
"European Union Countries","Държави от Европейски съюз"
"Exceptions Log File Name","Име на файл за дневник на изключенията"
"Favicon Icon","Икона Favicon"
"File not found","Файлът не е намерен"
"File system","Системен файл"
"File with an extension ""%value%"" is protected and cannot be uploaded","Файл с разширение ""%value%"" е защитен и не може да бъде качен"
"First Day of Week","Първи ден от седмицата"
"Flush Cache Storage","Промиване на Кеш Паметта"
"Flush OpenMage Cache","Изчисти кеша на OpenMage"
"Footer","Футър"
"Forgot Password Email Sender","Подател за имейл за забравена парола"
"Forgot Password Email Template","Имейл шаблон за ""Забравена парола"""
"General","Главен"
"General Contact","Общ контакт"
"General Settings","Основни настройки"
"Global","Глобален"
"HTML Head","HTML глава"
"Header","Хедър"
"Host","Хост"
"How many links to display at once.","Колко връзки да покаже наведнъж."
"Incorrect credit card expiration date.","Невалидна дата на изтичане на кредитната карта."
"Input type ""%value%"" not found in the input types list.","Вход тип ""%value%"" не е намерен в списъка на видове вход."
"Invalid base url type","Невалиден тип базов адрес (url)"
"Invalid block type: %s","Невалиден блок тип: %s"
"Invalid block: %s","Невалиден блок:%s"
"Invalid date","невалидна дата"
"Invalid layout update handle","Невалидно име за обновяване на оформление"
"Invalid messages storage ""%s"" for layout messages initialization","Невалидно хранилище на съобщения ""%s"" за инициализация на съобщения за оформление"
"JavaScript Settings","Настройки на JavaScript"
"Layout","Оформление"
"Leave empty for access from any location.","Оставете празно за достъп от всякъде."
"Locale","Локализация"
"Locale Options","Опции за локализация"
"Log Settings","Настройки на системни дневници"
"Login is Case Sensitive","Регистрирането различава малки и големи букви"
"Logo Image","Лого изображение"
"Logo Image Alt","Лого изображение Alt"
"Logo Image Src","Src за Logo изображение """
"Mail Sending Settings","Настройки за изпращане на поща"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Уверете се, че основа URL завършва с ""/"" (наклонена черта), например http://yourdomain/magento/"
"Match expressions in the same order as displayed in the configuration.","Търси съответсвия на изразите в същия ред, в който са показани в конфигурацията."
"Media Storage","Медия склад"
"Merge CSS Files","Обединяване на CSS файлове"
"Merge JavaScript Files","Обединяване на JavaScript файлове"
"Miscellaneous HTML","Разни HTML"
"Name","Име"
"New Design Change","Нова промяна в дизайна"
"New Store","Нов магазин"
"New Store View","Нов изглед на магазин"
"New Website","Нов уебсайт"
"No","Не"
"Offloader header","Заглавие на премахващата процедура"
"PHP SOAP extension is required.","Необходимо е PHP SOAP разширение."
"Package","Пакет"
"Pagination","Страниране"
"Pagination Frame","Рамка за страниране"
"Pagination Frame Skip","Пропускане на рамка за страниране"
"Path ""%value%"" is not available and cannot be used.","Пътят ""%value%"" не е достъпен и не може да се използва."
"Path ""%value%"" is protected and cannot be used.","Пътят ""%value%"" е защитен и не може да се използва."
"Please define flag code.","Моля дефинирайте код за флаг."
"Please enter a number 0 or greater in this field.","Моля в това поле впишете число 0 или по-голямо."
"Please enter a number 1 or greater in this field.","Моля в това поле впишете число 1 или по-голямо."
"Please enter a number greater than 0 in this field.","В това поле въведете число по-голямо от 0."
"Please enter a valid $ amount. For example $100.00.","Моля, въведете валидна $ сума. Например $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Моля въведете валиден адрес към уебсайт. Например http://www.example.com или www.example.com"
"Please enter a valid credit card number.","Моля, въведете номер на валидна кредитна карта."
"Please enter a valid credit card verification number.","Моля, въведете валиден номер за проверка на кредитна карта."
"Please enter a valid date.","Моля, въведете валидна дата."
"Please enter a valid email address. For example johndoe@domain.com.","Моля, въведете валиден e-mail адрес. Например: johndoe@domain.com"
"Please enter a valid month (1-12).","Моля, въведете валиден месец (1-12)."
"Please enter a valid number in this field.","Моля вкарайте валиден номер в това поле."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Моля, въведете валиден телефонен номер. Например (123) 456-7890 или 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Моля въведете валиден номер на социална осигуровка. Например 123-45-6789."
"Please enter a valid zip code.","Моля, въведете валиден пощенски код."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Моля въведете валиден пощенски код. Например 90602 или 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Въведете номер на издаване или начална дата за switch/solo карта тип."
"Please make sure your passwords match.","Моля уверете се, че паролите съвпадат."
"Please select State/Province.","Моля, изберете щат/провинция."
"Please select an option.","Моля изберете опция."
"Please select one of the above options.","Моля изберете една от опциите по-горе."
"Please select one of the options.","Моля, изберете една от опциите."
"Please set available and/or protected paths list(s) before validation.","Задайте налични и/или защитени пътища списък(ци) преди ратифициране."
"Please use letters only (a-z or A-Z) in this field.","Моля, използвайте само букви (a-z или A-Z) в това поле."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Моля използвайте само букви (a-z), числа (0-9) или долна черта (_) в това поле, първия символ трябва да е буква."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Моля, използвайте този формат за дата: дд/мм/гггг. Например 17/03/2006 за 17 март, 2006."
"Please wait, loading...","Моля изчакайте, зареждане..."
"Polls","Анкети"
"Port (25)","Порт (25)"
"Profiler","Профайлър"
"Recovery Link Expiration Period (hours)","Валидност на връзката за възстановяване (часове)"
"Request Path for Specified Store","Път на заявката за указаното хранилище"
"Requested invalid store ""%s""","Заявен невалиден магазин ""%s"""
"Return-Path Email","Обратен имейл"
"Root Category","Родителска категория"
"Sales Representative","Търговски представител"
"Save","Запиши"
"Save Store","Запази магазин"
"Save Store View","Запази изглед на магазин"
"Save Website","Запиши уебсайт"
"Search Engines Optimization","Оптимизация за търсачки"
"Secure","Сигурен"
"Security","Сигурност"
"Select Date","Избор на дата"
"Select Media Database","Изберете мултимедийна база данни"
"Sender Email","Подател имейл"
"Sender Name","Име на подателя"
"Services","Услуги"
"Session Validation Settings","Настройки за проверка на сесията"
"Set Return-Path","Задаване на Return-Path"
"Set as Default","Задай по подразбиране"
"Skin (Images / CSS)","Визуализация (Images / CSS)"
"Sort Order","Ред на сортиране"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Зададената стойност за дата/време ""%1$s"" не съвпада с формат ""%2$s""."
"Startup Page","Стартиране на страница"
"Status","Статус"
"Storage Configuration for Media","Съхранение на конфигурация за медии"
"Store","Магазин"
"Store Email Addresses","Съхрани имейл адреси"
"Store Hours of Operation","Работно време"
"Store Information","Информация за магазин"
"Store Name","Име на магазина"
"Store View","Изглед на магазина"
"Store View Information","Информация за изглед на магазина"
"Store View Name","Име на изглед на магазин"
"Store view doesn't exist","Изгледът на магазина не съществува"
"Store with the same code","Съхранява със същия код"
"System","Системи"
"System Log File Name","Име на файл за системен дневник"
"Template Path Hints","Подсказки за път на шаблон"
"Template Settings","Настройки на темата"
"Template Variables","Шаблонни променливи"
"Templates","Шаблони"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Въведеното %s е невалидно. Моля спазете формат ""http://domain.com/""."
"The store does not exist","Магазинът не съществува"
"The value is not within the specified range.","Датата не е в рамките на определения обхват."
