" for more information or "," po więcej informacji lub "
"# of Items (and above)","Ilość produktów (i powyżej)"
"# of Items vs. Destination","Ilość produktów w zależności od lokalizacji"
"Allow Shipping to Multiple Addresses","Pozwól na dostawę do wielu adresów"
"Calculate Handling Fee","Oblicz koszt przygotowania przesyłki"
"Carrier:","Dostawca:"
"City","Miasto"
"Close Window","Zamknij okno"
"Condition","Stan produktu"
"Country","Kraj"
"Custom Value","Niestandardowa wartość"
"Date","Data"
"Delivered on:","Dostarczono:"
"Delivered to:","Dostarczone do:"
"Description","Opis"
"Displayed Error Message","Wyświetlony błąd"
"Divide to equal weight (one request)","Podziel na równe wagi (jedno zapytanie)"
"Enabled","Włączone"
"Error:","Błąd:"
"Export","Eksportuj"
"Fixed","Stały"
"Flat Rate","Płaska stawka"
"Free Shipping","Darmowa dostawa"
"Handling Fee","Opłata manipulacyjna"
"Import","Importuj"
"Include Virtual Products in Price Calculation","Włącz produkty wirtualne do obliczania ceny"
"Info:","Informacje:"
"Invalid Table Rate code for type %s: %s","Nieprawidłowy kod dla tabeli stawek %s: %s"
"Invalid Table Rate code type: %s","Nieprawidłowy kod dla tabeli stawek: %s"
"Invalid Table Rates File Format","Błędny format pliku tabeli stawek"
"Local Time","Lokalny czas"
"Location","Lokalizacja"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maksymalna ilość w koszyku dla dostawy pod wiele adresów"
"Method Name","Nazwa metody"
"Minimum Order Amount","Minimalna wielkość zamówienia"
"N/A","N/D"
"None","Brak"
"Options","Opcje"
"Order Subtotal (and above)","Suma częściowa zamówienia (i powyżej)"
"Origin","Pochodzenie"
"Per Order","Na zamówienie"
"Per Package","Za paczkę"
"Percent","Procent"
"Price","Cena"
"Price vs. Destination","Cena w zależności od lokalizacji"
"Region/State","Region/województwo"
"Service Type:","Typ usługi:"
"Ship to Applicable Countries","Dostawa do stosownych krajów"
"Ship to Specific Countries","Dostawa do wybranych krajów"
"Shipment #","Dostawa nr "
"Shipped or billed on:","Dostarczone lub rozliczone:"
"Shipping Methods","Metody dostawy"
"Shipping Settings","Ustawienia dostawy"
"Show Method if Not Applicable","Pokaż metodę jeśli niedostępna"
"Signed by:","Podpisane przez:"
"Sort Order","Kolejność sortowania"
"Store Pickup","Odbiór osobisty w sklepie"
"Street Address","Ulica i numer"
"Street Address Line 2","Druga linia adresu pocztowego"
"Table Rates","Tabele stawek"
"The shipping module is not available.","Moduł dostawy nie jest dostępny."
"There is no tracking available for this shipment.","Śledzenie jest niedostępne dla tej dostawy."
"There is no tracking available.","Śledzenie jest niedostępne."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Ta metoda dostawy jest aktualnie niedostępna Jeśli bardzo zależy ci na niej, skontaktuj się z nami."
"Title","Tytuł"
"Track:","Ślad:"
"Tracking Information","Informacje o stanie dostawy"
"Tracking Number:","Numer śledzenia:"
"Tracking information is currently not available. Please ","Informacje o śledzeniu nie są aktualnie dostępne "
"Tracking information is currently unavailable.","Informacje o śledzeniu nie są aktualnie dostępne"
"Type","Rodzaj"
"Use origin weight (few requests)","Użyj oryginalnej wagi (kilka zapytań)"
"Weight (and above)","Waga (i powyżej)"
"Weight vs. Destination","Waga w zależności od lokalizacji"
"Weight:","Waga:"
"ZIP/Postal Code","Kod pocztowy"
"contact us","skontaktuj się z nami"
"email us at ","napisz do nas na adres "
