"# of Use","ilość użyć"
"%1$s incl tax.","%1$s z podatkiem"
"%s Item(s)","%s produkt(ów)"
"(Copy data from: %s)","(Kopiuj dane z: %s)"
"* Required Fields","* pola wymagane"
"-- Please Select --","-- Prosimy wybrać --"
"A group with the same name already exists.","Grupa o takiej samej nazwie już istnieje"
"A name is required","Nazwa jest wymagana"
"A product type is not defined for the indexer.","Typ produktu nie jest zdefiniowany dla indeksowania."
"ALL GROUPS","WSZYSTKIE GRUPY"
"AM","przed południem"
"Action","Operacja"
"Actual Price","Aktualna cena"
"Add","Dodaj"
"Add Attribute","Dodaj cechę"
"Add Design Change","Dodaj zmianę wyglądu"
"Add Group","Dodaj grupę"
"Add New","Dodaj nowe"
"Add New Attribute","Dodaj cechę"
"Add New Attribute Set","Dodaj nowy zestaw cech"
"Add New Group","Dodaj grupę"
"Add New Images","Dodaj nowe obrazki"
"Add New Option","Dodaj nową opcję"
"Add New Row","Dodaj nowy rząd"
"Add New Search Term","Dodaj nową frazę wyszukiwania"
"Add New Set","Dodaj nowy zestaw"
"Add Product","Dodaj produkt"
"Add Product To Websites","Dodaj produkty do witryn"
"Add Root Category","Dodaj kategorię bazową"
"Add Subcategory","Dodaj podkategorię"
"Add Tax","Dodaj podatek"
"Add Tier","Dodaj poziom"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Porównaj"
"Add to Wishlist","Dodaj do schowka"
"Additional Information","Informacje dodatkowe"
"All","Wszystko"
"All Product Types","Wszystkie rodzaje produktów"
"All Websites","Wszystkie witryny"
"All products","Wszystkie produkty"
"All products - recently added products, New products - products marked as new","Wszystkie produkty - ostatnio dodane, Nowe produkty - produkty oznaczone jako nowe"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Wszystkie produkty z tego zestawu zostaną usunięte! Czy na pewno chcesz usunąć zestaw cech?"
"Allow All Products per Page","Zezwól na pokazywanie wszystkich produktów na stronie"
"Allowed File Extensions","Dozwolone rozszerzenia plików"
"Allowed file extensions to upload","Dozwolone rozszerzenia plików do załadowania"
"Amount","Kwota"
"Anchor Custom Text","Własny tekst kotwicy"
"Anchor Custom Title","Własny tytuł kotwicy"
"Apply To","Zastosuj do"
"Approved","Zatwierdzony"
"Are you sure you want to delete this category?","Czy na pewno usunąć tę kategorię?"
"Are you sure you would like to remove all products from your comparison?","Czy na pewno chcesz usunąć wszystkie przedmioty z porównania?"
"Are you sure you would like to remove this item from the compare products?","Czy na pewno chcesz usunąć ten produkt z porównania?"
"Are you sure?","Czy na pewno tego chcesz?"
"As low as:","Już od:"
"Assign","Przyporządkuj"
"Assign product link","Przyporządkuj link produktu"
"Assign product to category","Przyporządkuj produkt do kategorii"
"Assigned Products","Przypisane produkty"
"Associated Products","Produkty składowe konfiguracji"
"Attrib. Set Name","Nazwa zestawu cech"
"Attribute Information","Informacje cechy"
"Attribute Model","Model cechy"
"Attribute Name:","Nazwa cechy:"
"Attribute Set","Zestaw cech"
"Attribute Sets","Zestawy cech"
"Attribute group with the ""/name/"" name already exists","Zestaw cech o nazwie ""/name/"" już istnieje"
"Attribute with the same code already exists","Cecha o podanym kodzie już istnieje"
"Attributes","Cechy"
"Attrribute names can be specified per store.","Nazwy cech mogą być sprecyzowane osobno dla każdego sklepu."
"Autogenerate","Generuj automatycznie"
"Availability:","Dostępność:"
"Back","Powrót"
"Backend Model","Model administracyjny"
"Backend Table","Tabela administracyjna"
"Backend Table Title","Tytuł tabeli administracyjnej"
"Backorders","Rezerwacje"
"Based On","Bazujący na"
"Before Order Confirmation","Przed potwierdzeniem zamówienia"
"Best Value","Najlepsza wartość"
"Block after Info Column","Blok za kolumną informacyjną"
"Bottom/Left","Dół/lewo"
"Bottom/Right","Dół/prawo"
"Browse By","Przeglądaj wg"
"Bundle Items","Produkty w pakiecie"
"Buy %1$s for %2$s","Kup %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kup %1$s za %2$s (%3$s z podatkiem) za każdy"
"Buy %1$s for %2$s each","Kup %1$s za %2$s za każdy"
"Cache Lifetime (Seconds)","Czas ważności cache (sekundy)"
"Can be used only with catalog input type Dropdown","Można używać tylko z rozwijaną listą w katalogu"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Może być użyte tylko z polem typu rozwijana lista, wielokrotny wybór i cena"
"Can't create image.","Nie można utworzyć obrazu."
"Cancel","Anuluj"
"Cart Item Attribute","Cecha produktu w koszyku"
"Catalog","Katalog"
"Catalog Category Link","Link kategorii katalogu"
"Catalog New Products List","Lista nowych produktów katalogu"
"Catalog Price Scope","Zakres cen w katalogu"
"Catalog Product Link","Link produktu"
"Catalog Section","Sekcja katalogu"
"Catalog, Search","Katalog, wyszukiwanie"
"Categories","Kategorie"
"Categories Sitemap","Mapa witryny kategorii"
"Category","Kategoria"
"Category API","API kategorii"
"Category Data","Dane kategorii"
"Category Flat Data","Płaskie dane kategorii"
"Category Link Block Template","Szablon bloku linku kategorii"
"Category Link Inline Template","Szablon linii linku kategorii"
"Category Products","Produkty"
"Category Top Navigation","Nawigacja górna kategorii"
"Category URL Suffix","Sufiks URL kategorii"
"Category attributes API","API cech kategorii"
"Category move error","Błąd przenoszenia kategorii"
"Center","Środek"
"Change","Zmień"
"Change or Retrieve attribute store view","Zmień lub pobierz atrybuty dla widoku sklepu"
"Change status","Zmień status"
"Check items to add to the cart or","Zaznacz produkty, żeby dodać je do koszyka lub"
"Choose an Option...","Wybierz opcję..."
"Clear All","Wyczyść wszystko"
"Clear Price","Wyczyść cenę"
"Click for price","Kliknij po cenę"
"Close Window","Zamknij okno"
"Collapse All","Zwiń wszystko"
"Comma-separated.","Oddzielone przecinkami."
"Comparable","Porównywalne"
"Comparable on Front-end","Porównywalne w sklepie"
"Compare","Porównaj"
"Compare Products","Porównaj produkty"
"Conditions Combination","Kombinacja warunków"
"Configurable Product","Produkt konfigurowalny"
"Configurable Product Settings","Ustawienia produkty konfigurowalnego"
"Configure Product","Konfiguruj produkt"
"Continue","Kontynuuj"
"Copy From Configurable","Kopiuj z konfigurowalnego"
"Country/State","Kraj/Województwo"
"Create","Utwórz"
"Create (Upload)","Utwórz (załaduj)"
"Create Empty","Utwórz pusty"
"Create Permanent Redirect for URLs if URL Key Changed","Utwórz stałe przekierowanie dla adresów jeśli klucz URL sie zmienił"
"Create Permanent Redirect for old URL","Utwórz przekierowanie dla poprzedniego klucza URL"
"Create Product Settings","Stwórz ustawienia produktu"
"Create Simple Associated Product","Utwórz prosty powiązany produkt"
"Create new category","Utwórz nową kategorię"
"Create new product","Utwórz nowy produkt"
"Cross-sells","Sprzedaże krzyżowe"
"Custom Design","Indywidualny wygląd"
"Custom Options","Indywidualne opcje"
"Customer Group","Grupa klienta"
"Customers Reviews","Opinie klientów"
"Customers Tagged Product","Produkt otagowany przez klientów"
"Data Type for Saving in Database","Typ danych do zapisania w bazie"
"Date & Time Custom Options","Indywidualne opcje daty i czasu"
"Date Fields Order","Kolejność pól daty"
"Date Subscribed","Data subskrypcji"
