"-- Please Select --","-- Prosimy wybrać --"
"Add Block Names to Hints","Dodaj nazwy bloków do podpowiedzi"
"Add Secret Key to URLs","Dodaj sekretny klucz do URL"
"Add Store Code to Urls","Dodaj kod sklepu do URL"
"Admin","Administrator"
"Admin Base URL","Bazowy URL dla administratora"
"Admin User Emails","E-maile administracyjne"
"Advanced","Zaawansowane"
"Allow Countries","Dopuść kraje"
"Allow Symlinks","Zezwól na symlinki"
"Allowed IPs (comma separated)","Dozwolone IP (oddzielone przecinkami)"
"Anchor Text for Next","Tekst dla Następny"
"Anchor Text for Previous","Tekst dla Poprzedni"
"Are you sure?","Czy na pewno tego chcesz?"
"Auto-redirect to Base URL","Automatycznie przekieruj do bazowego URL"
"Back","Powrót"
"Backup Options","Opcje kopii zapasowej"
"Base JavaScript URL","Bazowy URL dla JavaScript"
"Base Link URL","Bazowy URL dla linków"
"Base Media URL","Bazowy URL dla mediów"
"Base Skin URL","Bazowy URL skórki"
"Base URL","Bazowy URL"
"Block with name ""%s"" already exists","Blok o nazwie %s"" już istnieje"""
"Browser Capabilities Detection","Wykrywanie możliwości przeglądarki"
"CSS Settings","CSS"
"Cache Storage Management","Zarządzanie przechowywaniem cache"
"Can't retrieve request object","Nie można pobrać żądanego obiektu"
"Can't retrieve entity config: %s","Nie można pobrać konfiguracji jednostki: %s"
"Cancel","Anuluj"
"Cannot complete this operation from non-admin area.","Nie można ukończyć tej operacji z nieadministracyjnego obszaru."
"Card type does not match credit card number.","Typ karty nie zgadza się z podanym numerem karty."
"Code","Kod"
"Controller file was loaded but class does not exist","Plik kontrolera został załadowany jednak klasa nie istnieje"
"Cookie Domain","Domena dla cookie"
"Cookie Lifetime","Czas życia cookie"
"Cookie Path","Ścieżka dla cookie"
"Cookie Restriction Mode","Tryb ograniczenia cookie"
"Copyright","Prawa autorskie"
"Country","Kraj"
"Create Store","Utwórz sklep"
"Create Store View","Utwórz widok sklepu"
"Create Website","Utwórz witrynę"
"Credit card number does not match credit card type.","Numer karty nie zgadza się z podanym typem karty."
"Custom Admin Path","Indywidualny adres URL admina"
"Custom Admin URL","Indywidualny adres URL admina"
"Custom Design","Indywidualny wygląd"
"Custom Email 1","Niestandardowy e-mail 1"
"Custom Email 2","Niestandardowy e-mail 2"
"Custom Variables","Własne zmienne"
"Customer Support","Obsługa klienta"
"Dashboard","Panel"
"Date From","Data od"
"Date To","Data do"
"Date/time format ""%s"" is not supported.","Format daty/czasu %s"" nie jest obsługiwany."""
"Debug","Tryb debug"
"Default","Domyślny"
"Default Country","Domyślny kraj"
"Default Description","Domyślny opis"
"Default Keywords","Domyślne słowa kluczowe"
"Default No-route URL","Domyślny URL dla braku adresu"
"Default Pages","Domyślne strony"
"Default Robots","Domyślne roboty"
"Default Store","Domyślny sklep"
"Default Store View","Domyślny widok sklepu"
"Default Title","Domyślny tytuł"
"Default Web URL","Domyślny URL sieciowy"
"Delete","Usuń"
"Delete Store","Usuń sklep"
"Delete Store View","Usuń widok sklepu"
"Delete Website","Usuń witrynę"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Usunięcie %1$s nie spowoduje usunięcia informacji przypisanych do %1$s (np. kategorii,produktów itp). Sugeruje się utworzenie kopii bazy danych przed skasowaniem %1$s."
"Design","Wygląd"
"Design Change","Zmiana wyglądu"
"Developer","Programista"
"Developer Client Restrictions","Ograniczony dostęp"
"Disable Email Communications","Zablokuj komunikację przez e-mail"
"Disable Modules Output","Zablokuj wyjście modułów"
"Display Demo Store Notice","Wyświetlaj informację o wersji demonstracyjnej"
"Duplicate Of Template Name","Duplikuj nazwę szablonu"
"Edit Design Change","Edycja zmiany wyglądu"
"Edit Store","Edytuj sklep"
"Edit Store View","Edycja widoku sklepu"
"Edit Website","Edytuj witrynę"
"Empty identifier field name","Pusty identyfikator pola nazwa"
"Empty main table name","Pusta nazwa głównej tabeli"
"Enable Charts","Włącz wykresy"
"Enabled","Włączone"
"Enabled for Admin","Włączone dla Panelu Administracyjnego"
"Enabled for Frontend","Włączone dla Katalogu"
"Environment Update Time","Czas aktualizacji środowiska"
"Error in file: ""%s"" - %s","Błąd w pliku: %s"" - %s"""
"European Union Countries","Kraje Unii Europejskiej"
"Exceptions Log File Name","Nazwa pliku log dla wyjątków"
"Favicon Icon","Ikonka witryny (favicon)"
"File system","System plików"
"File with an extension ""%value%"" is protected and cannot be uploaded","Plik z rozszerzeniem %value%"" jest chroniony i nie może być przesłany."""
"First Day of Week","Pierwszy dzień tygodnia"
"Flush Cache Storage","Wyczyść całą pamięć podręczną"
"Flush OpenMage Cache","Wyczyść pamięć podręczną OpenMage"
"Footer","Stopka"
"Forgot Password Email Sender","Nadawca wiadomości o zapomnianym haśle"
"Forgot Password Email Template","Szablon wiadomości o zapomnianym haśle"
"General","Ogólne"
"General Contact","Kontakt ogólny"
"General Settings","Ustawienia ogólne"
"Global","Globalny"
"HTML Head","Nagłówek HTML"
"Header","Nagłówek"
"How many links to display at once.","Ile linków wyświetlać na raz."
"Incorrect credit card expiration date.","Nieprawidłowa data wygaśnięcia karty."
"Input type ""%value%"" not found in the input types list.","Pole typu %value%"" nie zostało odnalezione na liście typów pól."""
"Invalid base url type","Nieprawidłowy typ bazowego adresu"
"Invalid block type: %s","Nieprawidłowy typ bloku: %s"
"Invalid block: %s","Nieprawidłowy blok: %s"
"Invalid date","Nieprawidłowa data"
"Invalid layout update handle","Nieprawidłowa obsługa aktualizacji wyglądu"
"Invalid messages storage ""%s"" for layout messages initialization","Niesprawidłowe przechowywanie wiadomości %s"" dla inicjalizacji wiadomości układu"""
"JavaScript Settings","JavaScript"
"Layout","Układ"
"Leave empty for access from any location.","Pozostaw puste, aby umożliwić dostęp z każdej lokalizacji."
"Locale","Kod języka"
"Locale Options","Opcje lokalizacji"
"Log Settings","Ustawienia logów"
"Login is Case Sensitive","Logowanie rozpoznaje wielkość liter"
"Logo Image","Obrazek logo"
"Logo Image Alt","ALT dla obrazka logo"
"Logo Image Src","SRC dla obrazka logo"
"Mail Sending Settings","Ustawienia wysyłania maili"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Upewnij się, że bazowy URL kończy się '/' (ukośnik), np. http://twojadomena/magento/"
"Manage Stores","Zarządzaj sklepami"
"Match expressions in the same order as displayed in the configuration.","Wskaż wyrażenia w porządku w jakim występują one w konfiguracji."
"Media Storage","Składowanie mediów"
