"Access Key","Klucz dostępu"
"Authorize Only","Tylko autoryzacja"
"Authorize and Capture","Autoryzuj i przechwyć"
"Continue Shopping","Kontynuuj zakupy"
"Debug","Tryb debug"
"Email Sender","Nadawca"
"Enable","Włącz"
"Merchant ID","ID sprzedawcy"
"Merchant Login","Login kupca"
"New Order Status","Status nowego zamówienia"
"Payment Action","Akcja płatności"
"Sandbox","Środowisko testowe"
"Secret Key","Tajny klucz"
"Thank you for your purchase!","Dziękujemy za złożenie zamówienia!"
"Title","Tytuł"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Otrzymasz e-mail potwierdzający szczegóły zamówienie z linkiem do śledzenia jego postępu."
