"* Required Fields","* pola wymagane"
"ALL GROUPS","WSZYSTKIE GRUPY"
"Account Dashboard","Panel konta"
"Account Information","Dane konta"
"Account Sharing Options","Opcje udostępniania konta"
"Action","Operacja"
"Add New Address","Dodaj nowy adres"
"Add New Customer","Dodaj klienta"
"Add New Customer Group","Dodaj grupę klientów"
"Added From","Dodano z"
"Additional Address Entries","Dodatkowe adresy"
"Address","Adres"
"Address Book","Książka adresowa"
"Address Information","Informacje o adresie"
"Address Templates","Szablony adresu"
"Addresses","Książka adresowa"
"Admin","Administrator"
"All","Wszystko"
"All Store Views","Wszystkie widoki sklepu"
"All countries","Wszystkie kraje"
"Always optional.","Zawsze opcjonalne."
"Amount","Kwota"
"Approved","Zatwierdzony"
"Are you sure that you want to remove this item?","Czy na pewno chcesz usunąć produkt?"
"Are you sure you want to cancel adding of this address?","Czy na pewno chcesz anulować dodawanie tego adresu?"
"Are you sure you want to delete this address?","Czy na pewno chcesz usunąć ten adres?"
"Are you sure?","Czy na pewno tego chcesz?"
"Assign a Customer Group","Przypisz grupę klientów"
"Average Sale","Średnia sprzedaż"
"Back","Powrót"
"Back to Login","Powrót do logowania"
"Bad request.","Złe zapytanie."
"Bill to Name","Rachunek na dane"
"Bought From","Kupione od"
"By Email","Przez E-mail"
"By IP","Przez IP"
"By IP and Email","Przez IP i E-mail"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Zakładając konto w naszym sklepie będzie można przejść przez proces zamówienia dużo szybciej, przechowywać wiele adresów dostawy, śledzić statusy zamówień i korzystać z dodatkowych funkcji."
"Cancel","Anuluj"
"Change Account Password","Zmień hasło do konta"
"Change Billing Address","Zmień adres rozliczeniowy"
"Change Password","Zmień hasło"
"Change Shipping Address","Zmień adres dla dostawy"
"City","Miasto"
"Company","Firma"
"Config","Konfiguracja"
"Configure","Konfiguruj"
"Confirm New Password","Potwierdź nowe hasło"
"Confirm Password","Potwierdź hasło"
"Confirmation Link Email","E-mail z linkiem potwierdzającym"
"Confirmed","Potwierdzony"
"Contact Information","Informacje kontaktowe"
"Continue Shopping","Kontynuuj zakupy"
"Country","Kraj"
"Create","Utwórz"
"Create New Account Options","Opcje tworzenia nowego konta"
"Create New Customer Account","Utwórz nowe konto klienta"
"Create Order","Utwórz zamówienie"
"Create an Account","Utwórz konto"
"Create customer","Utwórz klienta"
"Create customer address","Utwórz adres klienta"
"Current Password","Bieżące hasło"
"Customer","Klient"
"Customer Addresses","Adresy klienta"
"Customer Configuration","Konfiguracja klienta"
"Customer Group","Grupa klienta"
"Customer Groups","Grupy klientów"
"Customer Information","Informacje o kliencie"
"Customer Login","Login klienta"
"Customer Since","Klient od"
"Customer View","Widok klienta"
"Customer will stay on the current page if ""No"" is selected.","Klient pozostanie na aktualnej stronie jeśli jest wybrane ""Nie""."
"Customers","Klienci"
"Customers Only","Tylko klienci"
"Customers Section","Sekcja klientów"
"DD","dzień"
"Date","Data"
"Date Added","Data dodania"
"Date of Birth","Data urodzenia"
"Day","Dzień"
"Days in Wishlist","Dni na liście życzeń"
"Default Addresses","Domyślne adresy"
"Default Billing Address","Domyślny adres rozliczeniowy"
"Default Email Domain","Domyślna domena adresów e-mail"
"Default Group","Domyślna grupa"
"Default Shipping Address","Domyślny adres dostawy"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Domyślna wartość Wyłączania automatycznego zmieny grup w oparciu o VAT UE"
"Default Welcome Email","Domyślny e-mail powitalny"
"Delete","Usuń"
"Delete Address","Usuń adres"
"Delete Customer","Usuń tego klienta"
"Delete Customer Group","Usuń grupę klientów"
"Delete customer","Usuń klienta"
"Delete customer address","Usuń adres klienta"
"Deleted Stores","Usunięte sklepy"
"Details","Szczegóły"
"Disabled","Wyłączone"
"Edit","Edytuj"
"Edit Account Info","Edytuj informacje o koncie"
"Edit Account Information","Edytuj informacje o koncie"
"Edit Address","Edytuj adres"
"Edit Address Entry","Edytuj wpis adresu"
"Edit Customer Group ""%s""","Edytuj grupę klientów %s"""
"Edit Customer Groups","Edycja grup klientów"
"Edit Customer's Address","Edycja adresu klienta"
"Edit Group","Edytuj grupę"
"Edit Newsletters","Edycja newsletterów"
"Email","E-mail"
"Email Address","Adres e-mail"
"Email Sender","Nadawca"
"Email:","E-mail:"
"Enable Automatic Assignment to Customer Group","Włącz automatyczne przydzielanie do grup klientów"
"Failed to confirm customer account.","Potwierdzenie konta klienta nie powiodło się."
"Fax","Faks"
"First Name","Imię"
"Forgot Email Template","Szablon wiadomości przypominającej o e-mailu"
"Forgot Password","Zapomniane hasło"
"Forgot Your Password?","Nie pamiętasz hasła?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","W Panelu swojego konta możesz podejrzeć swoją ostatnią aktywność oraz zaktualizować dane konta. Wybierz poniższy link, aby przejrzeć lub zmienić dane."
"Gender","Płeć"
"General Subscription","Ogólny newsletter"
"Generate Human-Friendly Customer ID","Wygeneruj przyjazny ID klienta"
"Global","Globalny"
"Group","Grupa"
"Group Information","Informacje o grupie"
"Group Name","Nazwa grupy"
"Group for Invalid VAT ID","Grupa dla nieprawdiłowych numerów VAT UE"
"Group for Valid VAT ID - Domestic","Grupa dla poprawnych numerów VAT UE - krajowe"
"Group for Valid VAT ID - Intra-Union","Grupa dla poprawnych numerów VAT UE - wewnątrzwspólnotowe"
"Guest","Gość"
"Hello, %s!","Witaj, %s!"
"ID","Identyfikator"
"IP Address","Adres IP"
"If you have an account with us, please log in.","Jeżeli masz u nas konto, zaloguj się."
"Invalid current password","Nieprawidłowe bieżące hasło"
"Invalid customer data","Nieprawidłowe dane klienta"
"Invalid login or password.","Nieprawidłowa nazwa użytkownika lub hasło."
"Last Activity","Ostatnia aktywność"
"Last Date Subscribed","Data ostatniej subskrypcji"
"Last Date Unsubscribed","Data ostatniego wypisania z newslettera"
"Last Name","Nazwisko"
"Leave empty for default (15 minutes).","Pozostaw puste dla domyślnej wartości (15 minut)"
"Leave empty for default (2). Valid range: 1-4","Pozostaw puste dla domyślnej wartości (2). Dozwolone wartości: 1-4"
"Lifetime Sales","Całkowita wartość sprzedaży"
"Log In","Zaloguj"
"Log Out","Wyloguj"
"Login","Zaloguj się"
"Login Information","Informacje o logowaniu"
"Login Options","Opcje logowania"
"Login or Create an Account","Zaloguj się lub utwórz konto"
"MM","miesiąc"
"Manage Addresses","Zarządzaj adresami"
"Manage Customers","Zarządzaj klientami"
"Month","Miesiąc"
"My Account","Moje konto"
"My Dashboard","Mój panel"
"My Orders","Moje zamówienia"
"Name","Nazwa"
"Name and Address Options","Opcje nazwy i adresu"
"Never","Nigdy"
"New Address","Nowy adres"
"New Address Entry","Nowy wpis adresu"
"New Customer","Nowy klient"
"New Customer Address","Nowy adres klienta"
"New Customer Group","Nowa grupa klienta"
"New Customer Groups","Nowe grupy klientów"
"New Customers","Nowi klienci"
"New Group","Nowa grupa"
"New Password","Nowe hasło"
"New account","Nowe konto"
"New account confirmation key","Klucz potwierdzający nowe konto"
"New account confirmed","Nowe konto zostało potwierdzone"
"Newsletter","Mailing"
"Newsletter Finish","Koniec newslettera"
"Newsletter Information","Informacje o newsletterze"
"Newsletter Received","Newsletter otrzymany"
"Newsletter Start","Start newslettera"
"Newsletter Subscription","Subskrypcja newsletter'a"
"Newsletters","Newslettery"
"No Items Found","Nie znaleziono produktów"
"No Newsletter Found","Nie znaleziono newslettera"
"No item specified.","Nie wybrano produktu."
"Not Sent","Nie wysłane"
"Not confirmed, can login","Nie potwierdzone, możliwość logowania"
"Not confirmed, cannot login","Nie potwierdzone, brak możliwości logowania"
"Online Customers","Klienci online"
"Online Customers Options","Opcje klientów online"
"Online Minutes Interval","Długość sesji klientów"
"Order #","Zamówienie #"
"Order Total","Podsumowanie"
"Orders","Zamówienia"
"Password","Hasło"
"Password Management","Zarządzanie hasłami"
"Password Options","Opcje hasła"
"Password forgotten","Zapomniane hasło"
"Password:","Hasło:"
"Paused","Zatrzymany"
"Pending","Oczekujący"
"Per Website","Na witrynę"
"Personal Information","Dane osobiste"
"Please enter a number 1 or greater in this field.","Prosimy o podanie cyfry 1 lub większej w tym polu."
"Please enter the city.","Prosimy wpisać miasto."
"Please enter the country.","Prosimy wpisać kraj."
"Please enter the first name.","Wpisz imię."
"Please enter the last name.","Wpisz nazwisko."
"Please enter the state/province.","Prosimy wpisać region/województwo."
"Please enter the street.","Prosimy wpisać ulicę."
"Please enter the zip/postal code.","Prosimy wpisać kod pocztowy."
"Please enter your email below and we'll send you confirmation link for it.","Proszę o wprowadzenie Twojego adresu e-mail, na ten adres przesłany zostanie link potwierdzający."
"Please enter your email.","Prosimy wpisać adres e-mail"
"Please make sure your passwords match.","Prosimy upewnić się, że podane hasła są identyczne."
"Please select region, state or province","Wybierz województwo"
"Prefix Dropdown Options","Rozwijane opcje prefiksu"
"Price","Cena"
"Product","Produkt"
"Product ID","ID produktu"
"Product Name","Nazwa produktu"
"Product Reviews","Opinie"
"Product Tags","Tagi produktu"
"Purchase On","Kupiono"
"Purchased On","Kupiono dnia"
"Qty","Ilość"
"Recent Orders","Ostatnie zamówienia"
"Recovery Link Expiration Period (hours)","Okres ważności linka odzyskującego (godziny)"
"Redirect Customer to Account Dashboard after Logging in","Po zalogowaniu przekieruj klienta do panelu"
"Refunded","Zwrócone"
"Register","Złóż zamówienie zakładając jednocześnie konto"
"Registered Customers","Zarejestrowani klienci"
"Remind Email Template","Szablon e-maila przypominającego"
"Remove","Usuń"
"Require Emails Confirmation","Wymagaj potwierdzenia przez e-mail"
"Reset a Password","Zresetuj hasło"
"Retrieve address data","Pobierz dane adresu"
"Retrieve address info","Pobierz informacje o adresie"
"Retrieve customer addresses","Pobierz adres klienta"
"Retrieve customer data","Pobierz dane klienta"
"Retrieve customers","Pobierz klientów"
"Retrieve your confirmation link here","Pobierz swój link potwierdzający tutaj"
"Retrieve your password here","Tutaj możesz odzyskać hasło"
"SKU","<a href=""http://pl.wikipedia.org/wiki/SKU"">SKU</a>"
"Sales Statistics","Statystyki sprzedaży"
"Save","Zapisz"
"Save Address","Zapisz adres"
"Save Customer","Zapisz klienta"
"Save Customer Group","Zapisz grupę klienta"
"Save Password","Zapisz hasło"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Wartości oddzielone średnikiem (;). <br/>Umieść średnik na początku .aby pozostawić pierwszą opcję pustą.<br/> Pozostaw puste dla wolnego pola tekstowego."
"Send From","Wysłane od"
"Send Welcome Email after Confirmation","Wyślij e-mail powitalny po potwierdzeniu"
"Send confirmation link","Wyślij link potwierdzający"
"Sending","Wysyłanie"
"Sent","Wysłano"
"Session Start Time","Czas rozpoczęcia sesji"
"Set as Default Billing Address","Ustaw jako domyślny adres rozliczeniowy"
"Set as Default Shipping Address","Ustaw jako domyślny adres dostawy"
"Share Customer Accounts","Udostępniaj konta klientów"
"Shipped to First Name","Dostarczane na imię"
"Shipped to Last Name","Dostarczane na nazwisko"
"Shipped to Name","Dostawa na nazwę"
"Shopping Cart","Koszyk"
"Shopping Cart - %d item(s)","Koszyk - %d produkt(ów)"
"Show Date of Birth","Pokazuj datę urodzenia"
"Show Gender","Pokazuj płeć"
"Show Middle Name (initial)","Pokazuj drugie imię (inicjał)"
"Show Prefix","Pokazuj prefiks"
"Show Suffix","Pokazuj sufiks"
"Show Tax/VAT Number","Pokazuj numer NIP"
