"* Required Fields","* pola wymagane"
"--Please Select--","--Proszę wybrać--"
"<label>Make Check payable to:</label> %s","<label>Czek płatny dla:</label> %s"
"Automatically Invoice All Items","Automatycznie fakturuj wszystkie produkty"
"Bank Transfer Payment","Płatność przelewem bankowym"
"Card Verification Number","Numer weryfikacyjny karty"
"Cash On Delivery Payment","Płatne przy odbiorze"
"Check / Money Order","Czek / przelew"
"Credit Card Number","Numer karty kredytowej"
"Credit Card Number: xxxx-%s","Numer karty kredytowej: xxxx-%s"
"Credit Card Type","Typ karty kredytowej"
"Credit Card Type: %s","Typ karty kredytowej: %s"
"Credit Card Types","Typy kart kredytowych"
"Credit card type is not allowed for this payment method.","Karta kredytowa nie jest dozwolona w tej metodzie płatności."
"Currency","Waluta"
"Day","Dzień"
"Debug Mode","Tryb debugowania"
"Enabled","Włączone"
"Expiration Date","Data ważności"
"Expiration Date: %s/%s","Data ważności: %s/%s"
"Incorrect credit card expiration date.","Nieprawidłowa data wygaśnięcia karty."
"Instructions","Instrukcje"
"Invalid Credit Card Number","Nieprawidłowy numer karty kredytowej"
"Issue Number","Numer wydania"
"Make Check Payable to","Czek wypłacany dla"
"Make Check payable to:","Czek wypłacany dla"
"Make Check payable to: %s","Numer konta: %s"
"Maximum Order Total","Maksymalna suma zamówienia"
"Merchant ID","ID sprzedawcy"
"Minimum Order Total","Minimalna suma zamówienia"
"Month","Miesiąc"
"N/A","N/D"
"Name on Card","Nazwisko na karcie"
"Name on the Card: %s","Nazwisko na karcie: %s"
"New Order Status","Status nowego zamówienia"
"Password","Hasło"
"Payment Method","Metoda płatności"
"Payment Methods","Metody płatności"
"Payment Services","Usługi płatności"
"Payment from Applicable Countries","Płatność ze stosownych krajów"
"Payment from Specific Countries","Płatność z wybranych krajów"
"Please enter a valid credit card verification number.","Prosimy o wprowadzenie poprawnego weryfikacyjnego numeru karty kredytowej."
"Purchase Order","Wykup zamówienie"
"Purchase Order Number","Numer wykupienia zamówienia:"
"Purchase Order Number: %s","Wykup zamówienie: %s"
"Saved CC","Zapisane karty"
"Selected payment type is not allowed for billing country.","Wybrana płatność nie jest dozwolona dla wybranego kraju."
"Send Check to","Adres do przelewu"
"Send Check to:","Adres do przelewu:"
"Shipping Amount","Wartość dostawy"
"Sort Order","Kolejność sortowania"
"Start Date","Data rozpoczęcia"
"Switch/Solo/Maestro Issue Number","Numer wydania karty Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Tylko Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data wydania karty Switch/Solo/Maestro"
"Tax Amount","Wartość podatku"
"Test Mode","Tryb testowy"
"The payment review action is unavailable.","Akci opini płatności jest niedostępna."
"The requested Payment Method is not available.","Wybrana metoda płatności nie jest dostępna."
"Title","Tytuł"
"Unable to save Billing Agreement:","Nie można zapisać umory rozliczeniowej:"
"What is this?","Co to jest?"
"Year","Rok"
"Zero Subtotal Checkout","Zamówienie z zerową podsumą"
