"Add","Dodaj"
"Add New Row","Dodaj nowy rząd"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Litery alfabetu, kreski i podkreślenia są polecane dla nazw plików. Nieprawidłowe znaki zostaną zastąpione przez '_'."
"An error occurred while saving the file(s).","Wystąpił błąd podczas zapisywania plików."
"Availability:","Dostępność:"
"Back","Powrót"
"Canceled","Anulowane"
"Category API","API kategorii"
"Date","Data"
"Default Link Title","Domyślny tytuł dla linków"
"Default Maximum Number of Downloads","Domyślna maksymalna ilość ściągnięć"
"Default Sample Title","Domyślny tytuł dla próbek"
"Delete","Usuń"
"Disable Guest Checkout if Cart Contains Downloadable Items","Wyłącz zakupy dla niezalogowanych jeśli koszyk zawiera produkty do pobrania"
"Downloadable Information","Informacje o produktach do pobrania"
"Downloadable Product","Produkty do ściągnięcia"
"Downloadable Product Options","Opcje produktów do pobrania"
"Edit","Edytuj"
"Edit item parameters","Edytuj parametry produktu"
"Excl. Tax","Bez podatku"
"File","Plik"
"From:","Z:"
"Gift Message","Wiadomość prezentowa"
"Go to <a href=""%s"">My Downloadable Products</a>","Przejdź do <a href=%s"">produktów do pobrania</a>"""
"Guest checkout will only work with shareable.","Zakupy dla niezalogowanych będą działały tylko ze współdzielonymi"
"In stock","W magazynie"
"Incl. Tax","Z podatkiem"
"Invalid download link type.","Nieprawidłowy typ odnośnika pobierania"
"Invoiced","Zafakturowane"
"Links can be purchased separately","Linki mogą zostać kupione osobno"
"List","Lista"
"Max. Downloads","Maksymalna ilość ściągnięć"
"Message:","Wiadomość:"
"Move","Przenieś"
"My Downloadable Products","Produkty do pobrania"
"Open Links in New Window","Otwórz linki w nowym oknie"
"Order #","Zamówienie #"
"Order Item Status to Enable Downloads","Status elementu zamówienia umożliwiający pobranie"
"Order id cannot be null","ID zamówienia nie może być puste"
"Order item id cannot be null","ID elementu zamówienia nie może być puste"
"Ordered","Zamówień"
"Out of stock","Brak w magazynie"
"Pending","Oczekujący"
"Please log in to download your product.","Proszę się zalogować, aby ściągnąć produkt."
"Please set resource file and link type.","Prosimy wybrać plik źródłowy i typ odnośnika"
"Please specify product link(s).","Określ link(i) produktu"
"Price","Cena"
"Qty","Ilość"
"Refunded","Zwrócone"
"Remaining Downloads","Pozostałe ściągnięcia"
"Remove","Usuń"
"Remove Item","Usuń produkt"
"SKU","<a href=""http://pl.wikipedia.org/wiki/SKU"">SKU</a>"
"Sample","próbka"
"See price before order confirmation.","Zobacz cenę przed potwierdzeniem zamówienia."
"Shareable","Współdzielony"
"Shipped","Wysłane"
"Sorry, there was an error getting requested content. Please contact the store owner.","Niestety, wystąpił błąd podczas pobierania. Prosimy o kontakt z właścicielem sklepu."
"Sort Order","Kolejność sortowania"
"Start Download","Rozpocznij pobieranie"
"Status","Stan"
"Subtotal","Suma częściowa"
"The link has expired.","Link utracił ważność."
"The link is not available.","Link jest niedostępny."
"Title","Tytuł"
"To:","Do:"
"Unlimited","Nielimitowany"
"Update","Aktualizuj"
"Use Content-Disposition","Użyj rozmieszczenia treści"
"Use Default Value","Użyj wartości domyślnej"
"View Order","Zobacz zamówienie"
"What's this?","Co to jest?"
"You have not purchased any downloadable products yet.","Nie kupowałeś jeszcze żadnych produktów do pobrania."
"attachment","załącznik"
"download","ściągnij"
"inline","liniowy"
"sample","próbka"
