"# of Uses","Ilość użyć"
"Action","Operacja"
"Add","Dodaj"
"Add New Tag","Dodaj nowy tag"
"Add Tags","Dodaj tagi"
"Add Your Tags:","Dodaj swoje tagi:"
"Add to Cart","Dodaj do koszyka"
"Add to Wishlist","Dodaj do schowka"
"All Tags","Wszystkie tagi"
"Approved","Zatwierdzony"
"Are you sure you want to delete this tag?","Czy na pewno chcesz usunąć ten tag?"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Are you sure?","Czy na pewno tego chcesz?"
"Back","Powrót"
"Back to Tags List","Powrót do listy tagów"
"Block Information","Informacje o bloku"
"Change status","Zmień status"
"Click on a tag to view your corresponding products.","Kliknij na tag aby zobaczyć produkty nim oznaczone."
"Country","Kraj"
"Customer Since","Klient od"
"Customers","Klienci"
"Customers Tagged '%s'","Oznaczone przez klientów '%s'"
"Delete","Usuń"
"Delete Tag","Usuń tag"
"Disabled","Wyłączone"
"Edit Tag '%s'","Edytuj tag '%s'"
"Email","E-mail"
"First Name","Imię"
"General Information","Ogólne"
"Grid","Siatka"
"ID","Identyfikator"
"Last Name","Nazwisko"
"List","Lista"
"My Recent Tags","Moje ostatnie tagi"
"My Tags","Moje tagi"
"Name","Nazwa"
"New Tag","Nowy tag"
"No matches found.","Brak wyników."
"Other people marked this product with these tags:","Inni klienci oznaczyli ten produkt następującymi tagami:"
"Pending","Oczekujący"
"Pending Tags","Oczekujące tagi"
"Popular","Popularne"
"Popular Tags","Popularne tagi"
"Price","Cena"
"Product Name","Nazwa produktu"
"Product SKU","SKU produktu"
"Product Tags","Tagi produktu"
"Products","Produkty"
"Products Tagged with '%s'","Produkty oznaczone tagiem '%s'"
"Products tagged with '%s'","Produkty oznaczone tagiem '%s'"
"Remove","Usuń"
"SKU","<a href=""http://pl.wikipedia.org/wiki/SKU"">SKU</a>"
"Save Tag","Zapisz tag"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Status","Stan"
"Store View","Widok sklepu"
"Tag Name","Nazwa tagu"
"Tags","Tagi"
"Tags:","Tagi:"
"Telephone","Telefon"
"Unable to find any products tagged with '%s' in the current store","Nie udało się znaleźć żadnych produktów oznaczonych '%s' w tym sklepie"
"Unable to remove tag. Please, try again later.","Nie udało się usunąć tagu. Spróbuj ponownie."
"Update","Aktualizuj"
"Use spaces to separate tags. Use single quotes (') for phrases.","Użyj spacji aby rozdzielić tagi, apostrofów (') aby wpisać frazy."
"View All Tags","Zobacz wszystkie tagi"
"View Customers","Zobacz klientów"
"View Products","Zobacz produkty"
"You have not tagged any products yet.","Nie masz oznaczonych żadnych produktów"
"ZIP/Post Code","Kod pocztowy"
"[STORE VIEW]","[WIDOK SKLEPU]"
