"Actions","Operacje"
"Active","Aktywny"
"Add New Rule","Dodaj regułę"
"Alphabetical","Alfabetyczne"
"Alphanumeric","Alfanumeryczne"
"Apply","Zastosuj"
"Apply To","Zastosuj do"
"Apply the rule only if the following conditions are met (leave blank for all products)","Zastosuj regułę tylko gdy następujące warunki są spełnione (pozostaw puste dla wszystkich produktów)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Zastosuj regułę do produktów w koszyku spełniających następujące warunki (pozostaw puste dla wszystkich produktów)"
"Apply the rule to cart items matching the following conditions","Zastosuj regułę do produktów w koszyku spełniających następujące warunki"
"Apply to Shipping Amount","Zastosuj do kosztu dostawy"
"Are you sure you want to delete the selected coupon(s)?","Czy na pewno chcesz usunąć wybrany kupon(y)?"
"Auto Generated Specific Coupon Codes","Automatycznie wygenerowane kody kuponów"
"Buy X get Y free (discount amount is Y)","Kup X dostań Y za darmo (zniżkową wartością jest Y)"
"By Fixed value","O stałą wartość"
"By Percentage","O wartość procentową"
"Can't acquire coupon.","Nie można pobrać kuponu."
"Cart Attribute","Cechy koszyka"
"Catalog","Katalog"
"Code Format","Format kodu"
"Code Length","Długość kodu"
"Code Prefix","Prefiks kodu"
"Code Suffix","Sufiks kodu"
"Conditions","Warunki"
"Conditions combination","Kombinacja warunków"
"Coupon","Kupon"
"Coupon Code","Kod kuponu"
"Coupon Qty","Ilość kodów"
"Coupon with the same code","Kupon z takim samym kodem"
"Created On","Utworzono"
"Customer Groups","Grupy klientów"
"Dash Every X Characters","Kreska co każde X znaków"
"Date Expire","Data wygaśnięcia"
"Date Start","Data rozpoczęcia"
"Default Label","Domyślna etykieta"
"Default Rule Label for All Store Views","Domyślna etykiet reguły dla wszystkich widoków sklepu"
"Description","Opis"
"Discount Amount","Zniżka"
"Discount Qty Step (Buy X)","Kroki ilości zniżek (kup X)"
"Edit Rule","Edytuj regułę"
"Edit Rule '%s'","Edycja reguły '%s'"
"Excluding prefix, suffix and separators.","Bez prefiksu, sufiksu i separatorów."
"FOUND","ZNALEZIONO"
"Fixed amount discount","Zniżka o stałej wartości"
"Fixed amount discount for whole cart","Stała wartość zniżki dla całego koszyka"
"For matching items only","Dla produktów spełniających kryteria"
"For shipment with matching items","Dla dostawy i produktów spełniających kryteria"
"Free Shipping","Darmowa dostawa"
"From Date","Od daty"
"General Information","Ogólne"
"Generate","Wygeneruj"
"ID","Identyfikator"
"If empty no separation.","Brak oddzielenia jeśli puste."
"Inactive","Nieaktywny"
"Labels","Etykiey"
"Manage Coupon Codes","Kody rabatowe"
"Maximum Qty Discount is Applied To","Maksymalna zniżka ilościowa jest stosowana dla"
"NOT FOUND","NIE ZNALEZIONO"
"NOT LOGGED IN","NIE ZALOGOWANY"
"New Rule","Nowa reguła"
"No","Nie"
"No Coupon","Nie"
"Number of Uses","Ilość zastosowań"
"Numeric","Numeryczny"
"Payment Method","Metoda płatności"
"Percent of product price discount","Procent zniżki dla ceny produktu"
"Period","Okres"
"Price in cart","Cena w koszyku"
"Priority","Priorytet"
"Product attribute combination","Kombinacja cech produktu"
"Products subselection","Podwybór produktów"
"Promotions","Promocje"
"Public In RSS Feed","Publiczne w kanale RSS"
"Quantity in cart","Ilość w koszyku"
"Row total in cart","Ilość wierszy w koszyku"
"Rule Information","Informacje o regule"
"Rule Name","Nazwa reguły"
"Rule is not defined","Reguła nie jest zdefiniowana"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Shipping Country","Kraj dostawy"
"Shipping Method","Metoda dostawy"
"Shipping Postcode","Kod pocztowy dostawy"
"Shipping Region","Region dostawy"
"Shipping State/Province","Województwo dostawy"
"Shopping Cart Price Rule","Reguła ceny koszyka"
"Shopping Cart Price Rules","Reguły cenowe koszyka"
"Special Price","Cena promocyjna"
"Specific Coupon","Wybrany kupon"
"Status","Stan"
"Store View Specific Labels","Etykiety specyficzne dla widoku sklepu"
"Subtotal","Suma częściowa"
"Subtotal Amount","Wartość podsumy"
"This rule no longer exists.","Ta reguła już nie istnieje."
"Times Used","Ilość zastosowań"
"To Date","Do daty"
"To Fixed Value","Do stałej wartości"
"To Percentage","Do wartości procentowej"
"Total","Łącznie"
"Total Amount","Łączna wartość"
"Total Items Quantity","Łączna ilość produktów"
"Total Weight","Waga całkowita"
"Update prices using the following information","Zaktualizuj ceny używając następujących informacji"
"Update product's %s %s: %s","Aktualizuj produkty %s %s: %s"
"Update the Product","Aktualizuj produkt"
"Use Auto Generation","Użyj automatycznej generacji"
"Used","Wykorzystane"
"Uses per Coupon","Zastosowania wg kuponów"
"Uses per Customer","Zastosowania wg klientów"
"Website","Witryna"
"Websites","Witryny"
"Yes","Tak"
"total amount","łączna wartość"
"total quantity","łączna ilość"
