" [deleted]"," [usunięty]"
" and "," i "
"(For US 2-letter state names)","(Dla US 2-literowe nazwy stanów)"
"(If left empty will be auto-generated)","(Pozostawione puste sprawi, że zostanie wygenerowane automatycznie)"
"(Leave empty for first spreadsheet)","(Pozostaw puste dla pierwszego arkusza)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkty zostaną dodane/zaktualizowane w tym sklepie jeśli kolumna 'store' będzie pusta lub nie będzie istniała w pliku importu.)"
"(Shift-)Click or drag to change value","kliknij trzymając Shift lub przeciągnij aby zmienić wartość"
"(Starting with)","(Zaczynając od)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Gdy 'Nie' tylko mapowane pola zostaną zaimportowane. Podczas mapowania używaj 'kolumna1', 'kolumna2', itd.)"
"(You have to increase php memory_limit before changing this value)","(Musisz zwiększyć ilość przydzielonej pamięci memory_value przed zmianą tej wartości)"
"(\t for tab)","(t dla tabulatora)"
"* Required Fields","* pola wymagane"
"- Click on any of the time parts to increase it","- Kliknij na dowolnej części kontrolki aby ją zwiększyć"
"- Hold mouse button on any of the above buttons for faster selection.","- Przytrzymaj przycisk myszy na powyższych przyciskach aby szybciej wybrać"
"- Use the %s buttons to select month","- Użyj przycisków %s aby wybrać miesiąc"
"- Use the %s, %s buttons to select year","- Użyj przycisków %s aby wybrać rok"
"- or Shift-click to decrease it","- lub kliknij trzymając Shift aby zmniejszyć"
"- or click and drag for faster selection.","- lub naciśnij i przeciągnij aby wybrać szybciej"
"-- Please Select --","-- Prosimy wybrać --"
"-- Please Select Billing Agreement--","-- Prosimy wybrać umowę rozliczeniową --"
"-- Please Select a Category --","-- Prosimy wybrać kategorię --"
"-- Please select --","--Wybierz--"
"--Please Select--","--Proszę wybrać--"
"1 Hour","1 godz."
"12 Hours","12 godz."
"12h AM/PM","12h przed/po południu"
"2 Hours","2 godz."
"24 Hours","24 godz."
"24h","24 godz."
"2YTD","Od dwóch lat"
"6 Hours","6 godz."
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Błąd 404</h1><p>Strona nie została odnaleziona.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Uwaga</strong>: Captcha bierze pod uwagę wielkie i małe litery."
"A user with the same user name or email already exists.","Użytkownik o takiej nazwie użytkownika lub adresie e-mail już istnieje."
"Abandoned Carts","Porzucone koszyki"
"About the calendar","O kalendarzu"
"Account Created in:","Miejsce utworzenia:"
"Account Created on (%s):","Konto utworzono (%s):"
"Account Created on:","Konto utworzono:"
"Account Information","Dane konta"
"Account Status","Status konta"
"Account status","Status konta"
"Action","Operacja"
"Actions","Operacje"
"Actions XML","XML operacji"
"Active","Aktywny"
"Add","Dodaj"
"Add Exception","Dodaj wyjątek"
"Add Field Mapping","Dodaj mapowanie pól"
"Add Field with URL:","Dodaj pole z URL:"
"Add New","Dodaj nowe"
"Add New Block","Dodaj blok"
"Add New Image","Dodaj nowy obraz"
"Add New Profile","Dodaj nowy profil"
"Add New Role","Dodaj rolę"
"Add New Template","Dodaj nowy szablon"
"Add New URL Rewrite","Dodaj nowe przekierowanie URL"
"Add New User","Dodaj użytkownika"
"Add New Variable","Dodaj zmienną"
"Add Products","Dodaj produkty"
"Add URL Rewrite","Dodaj nowe przekierowanie URL"
"Add URL Rewrite for a Category","Dodaj przekierowanie URL dla kategorii"
"Add URL Rewrite for a Product","Dodaj przekierowanie URL dla produktu"
"Add after","Dodaj za"
"Additional Cache Management","Dodatkowe opcje"
"Address Type:","Typ adresu:"
"Admin","Administrator"
"Advanced Admin Section","Sekcja Zaawansowanych Ustawień Administracyjnych"
"Advanced Profiles","Zaawansowane profile"
"Advanced Section","Sekcja Zaawansowana"
"All","Wszystko"
"All Allowed Countries","Wszystkie dozwolone kraje"
"All Cache","Cała pamięć cache"
"All Files","Wszystkie pliki"
"All Reviews","Lista opinii"
"All Store Views","Wszystkie widoki sklepu"
"All Tags","Wszystkie tagi"
"All Websites","Wszystkie witryny"
"All countries","Wszystkie kraje"
"All fields","Wszystkie pola"
"All valid rates have been saved.","Wszystkie poprawne stawki zostały zapisane."
"Always (during development)","Zawsze (podczas developmentu)"
"Amounts","Ilości"
"An error occurred while clearing the JavaScript/CSS cache.","Wystąpił błąd podczas czyszczenia pamięci cache JavaScript/CSS."
"An error occurred while clearing the image cache.","Wystąpił błąd podczas czyszczenia pamięci cache obrazków."
"An error occurred while deleting this role.","Wystąpił błąd podczas usuwania tej roli."
"An error occurred while saving account.","Wystąpił błąd podczas zapisywania konta."
"An error occurred while saving this role.","Wystąpił błąd podczas zapisywania tej roli."
"Any","Dowolny"
"Any Attribute Set","Dowolny zestaw cech"
"Any Group","Dowolna grupa"
"Any Status","Dowolny status"
"Any Store","Dowolny sklep"
"Any Type","Dowolny typ"
"Any Visibility","Dowolna widoczność"
"Archive file name:","Nazwa pliku archiwum:"
"Are you sure that you want to delete this template?","Czy na pewno chcesz usunąć ten szablon?"
"Are you sure that you want to strip tags?","Jesteś pewien, że chcesz pozbyć się tagów?"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Area","Obszar"
"As low as:","Już od:"
"Assigned","Przypisany"
"Attribute Set Name:","Nazwa zestawu atrybutów:"
"Attributes","Cechy"
"Authorize","Autoryzujautoryzuj"
"Automatic (equalize price ranges)","Automatycznie (wyrównuje zakresy cen)"
"Automatic (equalize product counts)","Automatycznie (wyrównuje liczbę produktów)"
"Average Order Amount","Średnia ilość zamówienia"
"Average Orders","Średnie zamówienia"
"Back","Powrót"
"Back to Login","Powrót do logowania"
"Backup","Kopia zapasowa"
"Backup Name","Nazwa kopii zapasowej"
"Backup options","Opcje kopii zapasowej"
"Backups","Kopia zapasowa"
"Base currency","Waluta podstawowa"
"Bcc","Ukryta kopia"
"Bestsellers","Bestsellery"
"Billing Address","Adres rozliczeniowy"
"Billing Address: ","Adres rozliczeniowy: "
"Billing Agreement","Umowa rozliczeniowa"
"Billing Agreements","Umowy rozliczeniowe"
"Block Information","Informacje o bloku"
"Blocks","Bloki"
"Both (without and with tax)","Oba (z podatkiem i bez)"
"Browse Files...","Przeglądaj pliki..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pakiety z dynamicznymi cenami nie mogą zawierać niestandardowych opcji do zdefiniowania. Opcje nie zostaną zapisane."
"By Email","Przez E-mail"
"By IP","Przez IP"
"By IP and Email","Przez IP i E-mail"
"CRITICAL","krytyczne"
"CSV / Tab separated","CSV / rozdzielone tabulatorem"
"Cache Control","Kontrola cache"
"Cache Control (beta)","Kontrola cache (beta)"
"Cache Management","Pamięć podręczna"
"Cache Type","Rodzaj pamięci podręcznej"
"Cancel","Anuluj"
"Cannot add new comment.","Nie można dodać nowego komentarza."
"Cannot add tracking number.","Nie można dodać numeru przesyłki."
"Cannot do shipment for the order separately from invoice.","Nie można utworzyć dostawy dla zamówienia oddzielnie od faktury."
"Cannot do shipment for the order.","Nie można utworzyć dostawy dla zamówienia."
"Cannot save shipment.","Nie można zapisać dostawy."
"Cannot send shipment information.","Nie można wysłać informacji o dostawie."
"Cannot update item quantity.","Nie można zaktualizować ilości produktów."
"Card Verification Number","Numer weryfikacyjny karty"
"Catalog","Katalog"
"Catalog Price Rules","Reguły cenowe katalogu"
"Catalog Rewrites","Przekierowania katalogu"
"Categories","Kategorie"
"Category","Kategoria"
"Category:","Kategoria:"
"Checkbox","Pole wyboru"
"Child Transactions","Podrzędne transakcje"
"Choose Store View:","Wybierz widok sklepu:"
"Choose an attribute","Wybierz cechę"
"Clear","Wyczyść"
"Close","Zamknij"
"Code","Kod"
"Complete","Zakończone"
"Config form fieldset clone model required to be able to clone fields","Klon zestawu pól formularza konfiguracyjnego jest wymagany do klonowania pól"
"Configuration","Konfiguracja"
"Confirm New Password","Potwierdź nowe hasło"
"Confirmed email:","Potwierdzony e-mail:"
"Continue","Kontynuuj"
"Convert to Plain Text","Konwertuj na tekst niesformatowany"
"Cookie (unsafe)","Ciasteczko (niezabezpieczone)"
"Country","Kraj"
"Country:","Kraj:"
"Coupons","Kupony"
"Create","Utwórz"
"Create DB Backup","Utwórz kopię bazy danych"
"Create New Attribute","Utwórz nową cechę"
"Created At","Utworzono"
"Credit Card Number","Numer karty kredytowej"
"Credit Card Number: xxxx-%s","Numer karty kredytowej: xxxx-%s"
"Credit Card Type","Typ karty kredytowej"
"Credit Card Type: %s","Typ karty kredytowej: %s"
"Credit Memo History","Historia faktur korygujących"
"Credit Memo Totals","Suma faktur korygujących"
"Credit Memos","Faktury korygujące"
"Currency","Waluta"
"Currency Information","Informacje o walutach"
"Currency Setup Section","Sekcja ustawień waluty"
"Current Configuration Scope:","Zasięg obecnej konfiguracji:"
"Current Month","Bieżący miesiąc"
"Custom","Niestandardowe"
"Custom Variables","Własne zmienne"
"Customer","Klient"
"Customer Group:","Grupa klienta:"
"Customer Groups","Grupy klientów"
"Customer Name","Nazwisko klienta"
"Customer Reviews","Opinie klientów"
"Customer Shopping Carts","Koszyki klienta"
"Customer Since:","Klient od:"
"Customer Tax Classes","Klasy podatku klienta"
"Customer with the same email already exists.","Klient o takim samym adresie e-mail już istnieje."
"Customers","Klienci"
"Customers by Number of Orders","Klienci wg liczby zamówień"
"Customers by Orders Total","Klienci wg sumy zamówień"
"DHTML Date/Time Selector","Dynamiczny selektor daty/czasu"
"Dashboard","Panel"
"Data Format","Format danych"
"Data transfer:","Transfer danych:"
"Database","Baza danych"
"Date","Data"
"Date & Time","Data i czas"
"Date Added","Data dodania"
"Date Updated","Data aktualizacji"
"Date selection:","Wybór daty:"
"Date selector","Selektor daty"
"Day","Dzień"
"Decimal separator:","Separator dziesiętny:"
"Default (Admin) Values","Domyślne wartości (Admin)"
"Default Billing Address","Domyślny adres rozliczeniowy"
"Default Config","Domyślna konfiguracja"
"Default Template from Locale","Domyślny szablon z języka"
"Default Values","Wartości domyślne"
"Default scope","Domyślny zakres"
"Delete","Usuń"
"Delete %s","Usuń %s"
"Delete %s '%s'","Usuń %s '%s'"
"Delete Block","Usuń blok"
"Delete File","Usuń plik"
"Delete Image","Usuń obraz"
"Delete Profile","Usuń profil"
"Delete Role","Skasuj rolę"
"Delete Store","Usuń sklep"
"Delete Store View","Usuń widok sklepu"
"Delete Template","Usuń szablon"
"Delete User","Usuń użytkownika"
"Delete Website","Usuń witrynę"
