"-- Please select --","--Wybierz--"
"Allowed Currencies","Dopuszczone waluty"
"Base Currency","Waluta podstawowa"
"Connection Timeout in Seconds","Timeout połączenia w sekundach"
"Continue &raquo;","Kontynuuj &raquo;"
"Country","Kraj"
"Country and Format Type combination should be unique","Kombinacja kraju i typu formatu powinna być unikalna"
"Currency","Waluta"
"Currency Options","Opcje waluty"
"Currency Setup","Ustawienia waluty"
"Currency Update Warnings","Ostrzeżenia aktualizacji waluty"
"Default Display Currency","Domyślna wyświetlana waluta"
"Directory","Katalog"
"Enabled","Włączone"
"Error Email Recipient","Błąd e-mail: nieprawidłowy odbiorca"
"Error Email Sender","Błąd e-mail: nieprawidłowy nadawca"
"Error Email Template","Błąd w szablonie e-mail"
"FATAL ERROR:","BŁĄD KRYTYCZNY:"
"Frequency","Częstotliwość"
"Installed Currencies","Zainstalowane waluty"
"Invalid country code: %s","Niepoprawny kod kraju: %s"
"Invalid rates received","Otrzymano niepoprawne stawki"
"List of countries","Lista krajów"
"List of regions in specified country","Lista regionów w wybranych krajach"
"Scheduled Import Settings","Zaplanowane ustawienia importu"
"Select Your Currency","Wybierz walutę"
"Service","Usługa"
"Start Time","Czas rozpoczęcia"
"State/Province","Województwo"
"Strikeiron Email Update Warnings","E-mail dla ostrzeżeń aktualizacji waluty przez Strikeiron"
"WARNING:","OSTRZEŻENIE:"
"Your current currency is: %s","Aktualna waluta to: %s"
