"-- Please Select --","-- Prosimy wybrać --"
"Add New Class","Dodaj nową klasę"
"Add New Tax Rate","Dodaj nową stawkę podatku"
"Add New Tax Rule","Dodaj regułę dla podatku"
"After Discount","Po zniżce"
"Apply Customer Tax","Zastosuj podatek klienta"
"Apply Discount On Prices","Zastosuj zniżkę na cenach"
"Apply Tax On","Zastosuj podatek na"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Back","Powrót"
"Before Discount","Przed zniżką"
"Calculation Settings","Ustawienia obliczeń"
"Catalog Prices","Ceny katalogu"
"Class Name","Nazwa klasy"
"Code","Kod"
"Country","Kraj"
"Custom price if available","Indywidualna cena, jeśli dostępna"
"Customer Tax Class","Klasa podatku dla klienta"
"Customer Tax Class Information","Informacje o klasie podatku klienta"
"Customer Tax Classes","Klasy podatku klienta"
"Default Country","Domyślny kraj"
"Default Post Code","Domyślny kod pocztowy"
"Default State","Domyślne województwo"
"Default Tax Destination Calculation","Domyślne obliczanie pochodzenia dla podatku"
"Delete Class","Usuń klasę"
"Delete Rate","Usuń stawkę"
"Delete Rule","Usuń regułę"
"Display Full Tax Summary","Wyświetlaj pełne podsumowanie podatku"
"Display Prices","Wyświetlaj ceny"
"Display Product Prices In Catalog","Wyświetlaj ceny produktu w katalogu"
"Display Shipping Amount","Wyświetlaj koszt dostawy"
"Display Shipping Prices","Wyświetlaj ceny dostawy"
"Display Subtotal","Wyświetlaj sumę częściową"
"Display Zero Tax Subtotal","Wyświetlaj zerową podsumę podatku"
"Edit Class","Edytuj klasę"
"Edit Class '%s'","Edytuj klasę '%s'"
"Edit Rule","Edytuj regułę"
"Edit Tax Rate","Edytuj stawkę podatku"
"Enable Cross Border Trade","Włącz handel transgraniczny"
"Excl. Tax","Bez podatku"
"Excl. Tax:","Bez podatku"
"Excluding Tax","Bez podatku"
"Export Tax Rates","Eksportuj stawki podatku"
"Grand Total (Excl. Tax)","Suma łączna (bez podatku)"
"Grand Total (Excl.Tax)","Suma łączna (bez podatku)"
"Grand Total (Incl. Tax)","Suma łączna (z podatkiem)"
"Grand Total (Incl.Tax)","Suma łączna (z podatkiem)"
"Grand Total Excl. Tax","Suma łączna bez podatku"
"Grand Total Incl. Tax","Suma łączna z podatkiem"
"Import / Export Tax Rates","Importuj / Eksportuj stawki podatków"
"Import Tax Rates","Importuj stawki podatku"
"Inc. Tax","Z podatkiem"
"Incl. Tax","Z podatkiem"
"Incl. Tax:","Z podatkiem"
"Including Tax","Z podatkiem"
"Including and Excluding Tax","Zawierające i niezawierające podatek"
"Invalid file format upload attempt","Błędny format pliku"
"Invalid file upload attempt","Próba wgrania pliku zakończona niepowodzeniem"
"Manage Tax Rates","Zarządzaj stawkami podatków"
"Manage Tax Rules","Zarządzaj regułami podatków"
"Name","Nazwa"
"New Class","Nowa klasa"
"New Rule","Nowa reguła"
"New Tax Rate","Nowa stawka podatku"
"No","Nie"
"None","Brak"
"One of the country has invalid code.","Jeden z krajów ma błędny kod."
"Orders, Invoices, Credit Memos Display Settings","Ustawienia wyświetlania zamówień, faktur, faktur korygujących"
"Original price only","Tylko oryginalna cena"
"Price Display Settings","Ustawienia wyświetlania ceny"
"Priority","Priorytet"
"Product Tax Class","Klasa podatku dla produktów"
"Product Tax Class Information","Informacje o klasie podatku dla produktów"
"Product Tax Classes","Klasy podatku produktu"
"Range From","Zakres od"
"Range To","Zakre do"
"Range To should be equal or greater than Range From.","Zakres końcowy powinien być równy lub większy od ZAkresu początkowego"
"Rate","Stawka"
"Rate Percent","Procent stawki"
"Reset","Resetuj"
"Row Total","Razem"
"Sales","Sprzedaż"
"Save Class","Zapisz klasę"
"Save Rate","Zapisz stawkę"
"Save Rule","Zapisz regułę"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Shipping & Handling (Excl.Tax)","Dostawa i obsługa (bez podatku)"
"Shipping & Handling (Incl.Tax)","Dostawa i obsługa (z podatkiem)"
"Shipping (Excl. Tax)","Dostawa (bez podatku)"
"Shipping (Incl. Tax)","Dostawa (z podatkiem)"
"Shipping Prices","Ceny dostawy"
"Shopping Cart Display Settings","Ustawienia wyświetlania koszyka"
"Sort Order","Kolejność sortowania"
"State","Województwo"
"State/Region","Województwo/Region"
"Subtotal (Excl. Tax)","Suma częściowa (bez podatku)"
"Subtotal (Excl.Tax)","Suma częściowa (bez podatku)"
"Subtotal (Incl. Tax)","Suma częściowa (z podatkiem)"
"Subtotal (Incl.Tax)","Suma częściowa (z podatkiem)"
"Tax","Podatek"
"Tax Calculation Based On","Obliczanie podatku oparte na"
"Tax Calculation Method Based On","Metoda obliczania podatku oparta na"
"Tax Class for Shipping","Klasa podatku dla dostawy"
"Tax Classes","Klasy podatku"
"Tax Identifier","Identyfikator podatku"
"Tax Rate","Stawka podatku"
"Tax Rate Information","Informacje o stawce podatku"
"Tax Rule Information","Informacje o regule podatku"
"Tax Rules","Reguły podatków"
"Tax Titles","Tytuły podatku"
"Tax rates at the same priority are added, others are compounded.","Stawki podatku o tym samym priorytecie zostały dodane, pozostałe zostały połączone."
"The tax rate has been imported.","Stawka podatku została zaimportowana."
"The tax rule has been deleted.","Reguła podatku została usunięta."
"This class no longer exists","Ta klasa już nie istnieje"
