"%s's Wishlist","Lista życzeń %s"
"* Required Fields","* pola wymagane"
"Add All to Cart","Dodaj wszystko do koszyka"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Porównaj"
"Add to Wishlist","Dodaj do schowka"
"Added From","Dodano z"
"Are you sure you want to remove this product from your wishlist?","Czy na pewno chcesz usunąć wszystkie przedmioty z przechowalni?"
"Are you sure you would like to remove this item from the wishlist?","Czy na pewno chcesz usunąć ten produkt z listy?"
"Back","Powrót"
"Can't save description %s","Nie można zapisać opisu %s"
"Cannot specify product.","Nie można ustalić produktu."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Zaznacz to pole jeśli chcesz dodać link do wątku RSS do twojej listy."
"Click for price","Kliknij po cenę"
"Comment","Komentarz"
"Comment:","Komentarz:"
"Date Added","Data dodania"
"Days in Wishlist","Dni na liście życzeń"
"Edit","Edytuj"
"Email Sender","Nadawca"
"Email Template","Szablon e-mail"
"Email address can't be empty.","Pole e-mail nie może być puste."
"Email addresses, separated by commas","Adresy e-mail rozdzielane przecinkami"
"Enabled","Włączone"
"General Options","Opcje ogólne"
"Go to Wishlist","Przejdź do listy życzeń"
"In stock","W magazynie"
"Last Added Items","Ostatnio dodane produkty"
"Message","Wiadomość"
"My Wishlist","Moja lista życzeń"
"My Wishlist (%d item)","Lista życzeń (%d produkt)"
"My Wishlist (%d items)","Lista życzeń (%d produktów)"
"Options Details","Szczegóły opcji"
"Out of stock","Brak w magazynie"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Wpisz prawidłowe adresy e-mail w formacie jan.kowalski@domena.pl, oddzielając je przecinkami."
"Please, enter your comments...","Wpisz swój komentarz..."
"Price","Cena"
"Product","Produkt"
"Product Details and Comment","Szczegóły i komentarze produktu"
"Qty","Ilość"
"RSS Feed","Kanał RSS"
"RSS link to %s's wishlist","Link RSS do listy %s"
"Remove Item","Usuń produkt"
"Remove This Item","Usuń ten element"
"Remove item","Usuń produkt"
"SKU","<a href=""http://pl.wikipedia.org/wiki/SKU"">SKU</a>"
"Share Options","Opcje współdzielenia"
"Share Wishlist","Podziel się listą życzeń"
"Share Your Wishlist","Podziel się swoją listą życzeń"
"Sharing Information","Współdzielone informacja"
"Update Wishlist","Aktualizuj listę życzeń"
"User Description","Opis użytkownika"
"View Details","Zobacz szczegóły"
"View Product","Zobacz produkt"
"What's this?","Co to jest?"
"Wishlist","Schowek"
"Wishlist Sharing","Podziel się swoją listą życzeń"
"Wishlist is empty now.","Lista życzeń jest pusta."
"You have no items in your wishlist.","Nie masz żadnych produktów na liście życzeń."
