" [deleted]"," [Telah Terhapus]"
"* Required Fields","* Bidang yang harus Diisi"
"-- Please Select --","-- Tolong Pilih --"
"-- Please Select Billing Agreement--","-- Silakan Pilih Perjanjian Penagihan --"
"-- Please Select a Category --","-- Silahkan Pilih Kategori --"
"-- Please select --","-- Silahkan Pilih --"
"--Please Select--","--Silahkan pilih--"
"1 Hour","1 jam"
"12 Hours","12 jam"
"2 Hours","2 jam"
"24 Hours","24 jam"
"6 Hours","6 jam"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Halaman tidak Ditemukan.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<Strong> Perhatian </ strong>: Captcha adalah kasus sensitif."
"About the calendar","Tentang kalender"
"Account Created in:","Akun Dibuat dalam:"
"Account Information","Informasi Akun"
"Account Status","Status Akun"
"Action","Tindakan"
"Actions","Tindakan"
"Active","Aktif"
"Add","Tambahkan"
"Add New","Tambahkan Baru"
"Add New Block","Tambahkan Blok"
"Add New Image","Tambahkan Gambar Baru"
"Add New Role","Tambahkan Peran Baru"
"Add New Template","Tambah Template Baru"
"Add New URL Rewrite","Tambahkan Penulisan ulang URL Baru"
"Add New User","Tambahkan Pengguna Baru"
"Add New Variable","Tambahkan Variabel baru"
"Add Products","Tambahkan Produk"
"Add URL Rewrite","Tambahkan Penulisan ulang URL"
"Add URL Rewrite for a Category","Tambahkan Penulisan ulang URL untuk Kategori"
"Add URL Rewrite for a Product","Tambahkan Penulisan ulang URL untuk sebuah Produk"
"Add after","Tambahkan setelah"
"Additional Cache Management","Manajemen Cache tambahan"
"Advanced Admin Section","Bagian Admin Lanjutan"
"Advanced Section","Sesi lanjutan"
"All","Semua"
"All Allowed Countries","Semua Negara yang Diizinkan"
"All Cache","Semua Cache"
"All Files","Semua Berkas"
"All Reviews","Semua Ulasan"
"All Store Views","Semua Tampilan Store"
"All Websites","Semua Situs"
"All countries","Semua negara"
"All valid rates have been saved.","Semua berlaku tarif telah diselamatkan."
"Always (during development)","Selalu (selama pengembangan)"
"Amounts","Jumlah"
"An error occurred while clearing the JavaScript/CSS cache.","Terjadi kesalahan saat membersihkan cache JavaScript/CSS."
"An error occurred while clearing the image cache.","Terjadi kesalahan saat membersihkan cache gambar."
"An error occurred while saving account.","Terjadi kesalahan saat menyimpan akun."
"Any","Apa saja"
"Are you sure you want to do this?","Apakah anda yakin ingin melakukan ini?"
"Attributes","Atribut"
"Authorize","Otorisasi"
"Automatic (equalize price ranges)","Otomatis (menyeimbangkan jajaran harga)"
"Automatic (equalize product counts)","Otomatis (menyeimbangkan jumlah produk)"
"Back","Kembali"
"Backup Name","Nama cadangan"
"Backup options","Pilihan cadangan"
"Backups","Backup"
"Base currency","Mata uang dasar"
"Bestsellers","Penjualan terbaik"
"Billing Address","Alamat tagihan"
"Billing Address: ","Alamat tagihan: "
"Billing Agreement","Penagihan perjanjian"
"Billing Agreements","Perjanjian Tagihan"
"Block Information","Informasi Blok"
"Blocks","Halaman"
"Both (without and with tax)","Baik (tanpa dan dengan pajak)"
"Browse Files...","Telusuri berkas"
"By Email","Melalui Email"
"By IP","Melalui IP"
"By IP and Email","Melalui IP dan Email"
"Cache Control","Cache Kontrol"
"Cache Management","Cache manajemen"
"Cache Type","Tipe Cache"
"Cancel","Batal"
"Cannot add new comment.","Tidak dapat menambahkan komentar baru."
"Cannot add tracking number.","Tidak dapat menambahkan nomor pelacakan."
"Cannot do shipment for the order separately from invoice.","Tidak dapat melakukan pengiriman untuk pesanan terpisah dari faktur."
"Cannot do shipment for the order.","Tidak bisa melakukan pengiriman untuk pesanan."
"Cannot save shipment.","Tidak dapat menyimpan pengiriman."
"Cannot send shipment information.","Tidak dapat mengirim informasi pengiriman."
"Cannot update item quantity.","Tidak dapat memperbarui jumlah barang."
"Card Verification Number","Nomor Verifikasi Kartu"
"Catalog","Katalog"
"Catalog Price Rules","Aturan Harga katalog"
"Catalog Rewrites","Tulis Ulang Katalog"
"Categories","Kategori"
"Category","Kategori"
"Category:","Kategori:"
"Choose Store View:","Pilih Tampilan Toko:"
"Clear","Hapus"
"Close","Tutup"
"Code","Kode"
"Complete","Lengkap"
"Config form fieldset clone model required to be able to clone fields","Mengkonfigurasi fieldset klon model yang dibutuhkan untuk bisa mengkloning bidang"
