"2nd Day Air AM","2 hari udara AM"
"3 Day Select","3 hari yang dipilih"
"Allowed Methods","Metode yang diizinkan"
"Commercial","Komersial"
"Debug","Menulusuri"
"Enable","Aktifkan"
"First Overnight","Pertama Semalam"
"Free Shipping","Gratis Pengiriman"
"Ground","Tanah"
"Home Delivery","Pengiriman ke Rumah"
"Inches","Inci"
"Location","Lokasi"
"Media Mail","Surat Media"
"Merchant ID","ID Pedagang"
"Method","Metode"
"New Order Status","Status Pesanan Baru"
"Next Day Air","Hari berikutnya udara"
"Next Day Air Early AM","Hari berikutnya udara awal AM"
"Next Day Air Saver","Hari berikutnya penghemat udara"
"No","Tidak"
"Priority Mail","Email Prioritas"
"Priority Overnight","Prioritas Semalam"
"Residential","Perumahan"
"Standard Overnight","Standar Semalam"
"Title","Judul"
"Yes","Ya"
