" Copy"," Salin"
"Action","Tindakan"
"Add New Template","Tambah Template Baru"
"Add to Queue","Tambahkan ke Antrian"
"Allow Guest Subscription","Izinkan Tamu Berlangganan"
"Are you sure that you want to strip all tags?","Apakah Anda yakin ingin menghapus semua tag?"
"Back","Kembali"
"Cancel","Batal"
"Cancelled","Batalkan"
"Confirmation Email Sender","Konfirmasi Email Pengirim"
"Convert to Plain Text","Konversi ke Teks Biasa"
"Customer","Pelanggan"
"Customer First Name","Nama pelanggan"
"Customer Last Name","Nama pelanggan"
"Date Added","Tanggal Ditambahkan"
"Delete","Hapus"
"Delete Selected Problems","Hapus Masalah yang Dipilih"
"Delete Template","Hapus Template"
"Do you really want to cancel the queue?","Apakah Anda ingin membatalkan antrian?"
"Edit Newsletter","Mengedit Surat baru"
"Edit Queue","Edit Antrian"
"Enter your email address","Masukkan alamat email Anda"
"Guest","Tamu"
"ID","Nomor"
"Message","Pesan"
"Need to Confirm","Perlu konfirmasi"
"New Template","Template Baru"
"Newsletter","Surat kabar"
"Newsletter Queue","Antrian Newsletter"
"Newsletter Subscribers","Pelanggan Newsletter"
"Newsletter Subscription","Berlangganan surat kabar"
"Newsletter Templates","Template Newsletter"
"Newsletter unsubscription success","Sukses berlangganan newsletter"
"No Templates Found","Tidak Ditemukan Template"
"Not Sent","Jangan Kirim"
"Pause","Jeda"
"Paused","Berhenti"
"Please enter a valid email address.","Silahkan masukkan alamat email yang valid."
"Preview","Pratinjau"
"Preview Template","Pratinjau Template"
"Queue Date Start","Tanggal Mulai Antrian"
"Queue Information","Aturan Informasi"
"Recipients","Penerima"
"Reset","Atur ulang"
"Resume","Lanjut"
"Save Newsletter","Menyimpan Surat baru"
"Save Template","Simpan Template"
"Save and Resume","Simpan dan Lanjutkan"
"Security","Keamanan"
"Sender","Pengirim"
"Sender Email","Email pengirim"
"Sender Name","Nama pengirim"
"Sending","Mengirim"
"Sent","Kirim"
"Start","Mulai"
"Status","Keadaan"
"Store","Toko"
"Store View","Tampilan toko"
"Subject","Subjek"
"Submit","Kirim"
"Subscribe","Berlangganan"
"Subscriber","Pelanggan"
"Subscribers From","Pelanggan Dari"
"Success Email Sender","Pengiriman Email Sukses"
"Template Content","Konten Template"
"Template Information","Informasi Template"
"Template Name","Nama Template"
"Template Styles","Gaya Template"
"Template Subject","Subjek Template"
"Template Type","Jenis Template"
"Thank you for your subscription.","Terima kasih atas langganan anda."
"Type","Jenis"
"Unsubscribe Selected","Berhenti Berlangganan"
"Unsubscription Email Sender","Pengirim email tidak berlangganan"
"View Newsletter","Melihat Surat baru"
"Website","Situs web"
