"Add","Tambahkan"
"Add New Role","Tambahkan Peran Baru"
"Address Type","Jenis alamat"
"Allow","Izinkan"
"Attribute Set","Aturan Atribut"
"Attributes","Atribut"
"Automatically Return Credit Memo Item to Stock","Kembalikan Item Memo Kredit secara otomatis ke Stok"
"Back","Kembali"
"Backorders","Kembali perintah"
"Base Currency","Mata uang Dasar"
"Catalog","Katalog"
"City","Kota"
"Company","Perusahaan"
"Country","Negara"
"Coupon Code","Kode Kupon"
"Create","Membuat"
"Create Permanent Redirect for old URL","Buat Pengalihan Permanen untuk URL lama"
"Customer","Pelanggan"
"Customer Address","Alamat pelanggan"
"Customer First Name","Nama pelanggan"
"Customer Last Name","Nama pelanggan"
"Delete","Hapus"
"Deny","Tolak"
"Discount","Diskon"
"Discount Amount","Jumlah Diskon"
"Edit","Ubah"
"Enable Qty Increments","Aktifkan Qty tambahan"
"Exclude","Mengecualikan"
"File Name","Nama Berkas"
"First Name","Nama Depan"
"Gift Message","Pesan hadiah"
"Grand Total","Total keseluruhan"
"Group","Grup"
"Guest","Tamu"
"ID","Nomor"
"Label","Lebel"
"Last Name","Nama Belakang"
"Manage Stock","Atur Stok"
"Maximum Qty Allowed in Shopping Cart","Qty maksimum yang diizinkan dalam keranjang belanja"
"Minimum Qty Allowed in Shopping Cart","Qty minimum Yang diizinkan dalam keranjang belanja"
"New Role","Peran Baru"
"Notify for Quantity Below","Beritahu kuantitas dibawah ini"
"Order","Pesan"
"Order Comments","Komentar Pesanan"
"Order Date","Tanggal pesanan"
"Order ID","Memesan ID"
"Order Status","Status pesanan"
"Orders","Pesanan"
"Original Price","Harga asli"
"Payment Method","Metode pembayaran"
"Phone Number","Nomor telepon"
"Placed from IP","Ditempatkan dari IP"
"Position","Posisi"
"Price","Harga"
"Product","Produk"
"Product ID","Nomor produk"
"Qty","Jumlah"
"Qty Increments","Qty Tambahan"
"Qty Uses Decimals","Qty menggunakan Desimal"
"Role Info","Info Peran"
"Role Information","Informasi Peran"
"Role Name","Nama Peran"
"Role Users","Peran Pengguna"
"Roles","Peran"
"Sales","Penjual"
"Save","Simpan"
"Shipping Amount","Jumlah Pengiriman"
"Shipping Method","Metode Pengiriman"
"State","Negara"
"Stock Availability","Ketersediaan stok"
"Stock Status","Status Stok"
"Store Name","Nama Toko"
"Subtotal","Total bagian"
"System","Sistem"
"Tax Amount","Jumlah Pajak"
"Tax Percent","Persentase Pajak"
"Tax Rate","Nilai Pajak"
"Type","Jenis"
"Update","Perbarui"
"ZIP/Postal Code","ZIP/Kode Pos"
