"Add Minimum Qty","Tambah Qty Minimum"
"Allow Qty Below 0","Terima Qty Dibawah 0"
"Allow Qty Below 0 and Notify Customer","Terima Qty Dibawah 0 Dan Pemberitahuan Pelanggan"
"Automatically Return Credit Memo Item to Stock","Kembalikan Item Memo Kredit secara otomatis ke Stok"
"Backorders","Kembali perintah"
"By Fixed value","Dengan nilai tetap"
"By Percentage","Dengan persentase"
"Decrease Stock When Order is Placed","Turunkan Stok Saat Order Ditempatkan"
"Display Out of Stock Products","Tampilan Tidak Tersedia Stok Produk"
"Enable Qty Increments","Aktifkan Qty tambahan"
"In Stock","Dalam Persediaan"
"Inventory","Persediaan"
"Inventory Section","Bagian Persediaan"
"Manage Stock","Atur Stok"
"Maximum Qty Allowed in Shopping Cart","Qty maksimum yang diizinkan dalam keranjang belanja"
"Minimum Qty","Qty Minimum"
"Minimum Qty Allowed in Shopping Cart","Qty minimum Yang diizinkan dalam keranjang belanja"
"No Backorders","Tidak Ada batas"
"Notify for Quantity Below","Beritahu kuantitas dibawah ini"
"Only X left Threshold","Hanya X yang meninggalkan ambang batas"
"Out of Stock","Tidak Ada Persediaan"
"Product Name","Nama Produk"
"Product Stock Options","Pilihan Stok Produk"
"Products will still be shown by direct product URLs.","Produk Akan Tetap Ditampilkan Dengan Direk Produk URLs."
"Qty","Jumlah"
"Qty Increments","Qty Tambahan"
"Rule price","Aturan harga"
"Set Items' Status to be In Stock When Order is Cancelled","Tetapkan Status Item yang Akan Di Stok Saat Pesanan Dibatalkan"
"Stock Options","Pilihan Stok"
"Stock Status","Status Stok"
"The stock item for Product in option is not valid.","Stok Produk Dalam Pilihan Tidak Valid."
"To Fixed Value","Ke nilai tetap"
"To Percentage","Untuk Persen"
"Update","Perbarui"
"Update the Product","Perbarui Produk"
