"-- Please Select --","-- Tolong Pilih --"
"Add Secret Key to URLs","Menambahkan kunci rahasia untuk URL"
"Add Store Code to Urls","Tambahkan kode toko ke Urls"
"Admin Base URL","Basis URL Admin"
"Admin User Emails","Email Admin Pengguna"
"Advanced","Lanjutan"
"Allow Countries","Memungkinkan negara-negara"
"Allow Symlinks","Memungkinkan Simbol Link"
"Anchor Text for Next","Anchor Text untuk Selanjutnya"
"Anchor Text for Previous","Anchor Text untuk Sebelumnya"
"Are you sure?","Apakah Anda Yakin?"
"Auto-redirect to Base URL","Alihkan-Otomatis ke Basis URL"
"Back","Kembali"
"Backup Options","Pilihan Backup"
"Base Link URL","Basis Link URL"
"Base URL","Basis URL"
"Browser Capabilities Detection","Kemampuan Deteksi Browser"
"CSS Settings","Pengaturan CSS"
"Cache Storage Management","Manajemen Penyimpanan Cache"
"Cancel","Batal"
"Card type does not match credit card number.","Jenis kartu tidak cocok dengan nomor kartu kredit."
"Code","Kode"
"Cookie Domain","Domain Cookie"
"Cookie Lifetime","Cookie seumur hidup"
"Cookie Path","Jalur Cookie"
"Cookie Restriction Mode","Mode Pembatasan Kuki"
"Copyright","Hak cipta"
"Country","Negara"
"Create Store","Buat Toko"
"Create Store View","Buat Pandangan Toko"
"Create Website","Buat Situs Web"
"Credit card number does not match credit card type.","Nomor kartu kredit tidak cocok dengan jenis kartu kredit."
"Custom Admin Path","Jalur Khusus Admin"
"Custom Admin URL","URL Khusus Admin"
"Custom Design","Kustom Desain"
"Custom Email 1","Kustom Email 1"
"Custom Email 2","Kustom Email 2"
"Custom Variables","Variabel Khusus"
"Customer Support","Dukungan Pelanggan"
"Date From","Dari Tanggal"
"Date To","Ke Tanggal"
"Debug","Menulusuri"
"Default","Standar"
"Default Country","Negara Default"
"Default No-route URL","Tidak ada rute URL Default"
"Default Pages","Halaman Default"
"Default Robots","Robot standar"
"Default Store","Toko Default"
"Default Store View","Tampilan Toko Default"
"Default Title","Judul Default"
"Default Web URL","URL Web Default"
"Delete","Hapus"
"Delete Store","Hapus Toko"
"Delete Store View","Hapus Tampilan Toko"
"Design","Desain"
"Design Change","Desain Perubahan"
"Developer","Pembangun"
"Disable Email Communications","Nonaktifkan Komunikasi Email"
"Disable Modules Output","Nonaktifkan Modul output"
"Display Demo Store Notice","Tampilkan pemberitahuan demo toko"
"Duplicate Of Template Name","Duplikat Dari Nama Template"
"Edit Design Change","Ubah Desain Perubahan"
"Edit Store","Ubah Toko"
"Edit Store View","Ubah Tampilan Toko"
"Enable Charts","Aktifkan Grafik"
"Enabled","Diaktifkan"
"Enabled for Admin","Diaktifkan untuk Admin"
"Environment Update Time","Waktu Update Lingkungan"
"European Union Countries","Negara Uni Eropa"
"Favicon Icon","Ikon favicon"
"File system","Berkas sistem"
"File with an extension ""%value%"" is protected and cannot be uploaded","Berkas dengan ekstensi ""%value%"" dilindungi dan tidak dapat diunggah"
"First Day of Week","Hari Pertama dalam Seminggu"
"Flush Cache Storage","Bersihkan Cache Penyimpanan"
"Flush Magento Cache","Bersihkan Cache Magento"
"Forgot Password Email Template","Lupa Kata Sandi Template Email"
"General","Umum"
"General Contact","Kontak Umum"
"General Settings","Pengaturan Umum"
"Header","Tajuk"
"How many links to display at once.","Berapa banyak link untuk ditampilkan sekaligus."
"Incorrect credit card expiration date.","Salah tanggal kadaluarsa kartu kredit."
"Input type ""%value%"" not found in the input types list.","Jenis yang dimasukan ""%value%"" tidak ada di daftar jenis masukan."
"Invalid date","Tanggal tidak benar"
"JavaScript Settings","Pengaturan Javascript"
"Layout","Tata letak"
"Leave empty for access from any location.","Biarkan kosong untuk akses dari lokasi manapun."
"Locale","Lokal"
"Locale Options","Pilihan Lokal"
"Login is Case Sensitive","Masuk Kasus Rahasia"
"Logo Image","Gambar Logo"
"Logo Image Alt","Gambar Logo Alt"
"Mail Sending Settings","Pengaturan Pengiriman Pesan"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Pastikan bahwa URL dasar berakhir dengan '/' (slash), misalnya http: // yourdomain / Magento /"
"Manage Stores","Kelola toko"
"Media Storage","Penyimpanan Media"
"Merge CSS Files","Menggabungkan Berkas CSS"
"Merge JavaScript Files","Menggabungkan berkas JavaScript"
"Name","Nama"
"New Store","Toko Baru"
"New Store View","Tampilan Toko Baru"
"No","Tidak"
"Offloader header","Mesin Pemuat Header Dimatikan"
"PHP SOAP extension is required.","Customer website ID must be specified when using the website scope."
"Package","Paket"
"Pagination","Pemberian nomor pada halaman buku"
"Pagination Frame","Bingkai pemberian nomor pada halaman buku"
"Pagination Frame Skip","Lewati Bingkai pemberian nomor pada halaman buku"
"Path ""%value%"" is not available and cannot be used.","Jalur "" %value% "" tidak tersedia dan tidak dapat digunakan."
"Path ""%value%"" is protected and cannot be used.","Jalur "" %value%"" terlindungi dan tidak bisa digunakan."
"Please enter a number 0 or greater in this field.","Harap masukkan sebuah angka 0 atau lebih besar dalam daerah ini."
"Please enter a number 1 or greater in this field.","Harap masukkan angka 1 atau lebih pada bidang ini."
"Please enter a number greater than 0 in this field.","Harap masukkan sebuah angka yang lebih besar dari 0 dalam daerah ini."
"Please enter a valid $ amount. For example $100.00.","Masukkan sejumlah $ berlaku. Misalnya $100,00."
"Please enter a valid credit card number.","Silakan masukkan nomor kartu kredit yang benar."
"Please enter a valid credit card verification number.","Silahkan masukkan nomor verifikasi kartu kredit yang berlaku."
"Please enter a valid date.","Silakan masukkan tanggal yang benar."
"Please enter a valid month (1-12).","Mohon masukkan bulan yang benar (1-12)."
"Please enter a valid number in this field.","Harap masukkan nomor yang valid dalam daerah ini."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Masukkan nomor telepon. Misalnya (123) 456-7890 atau 123-456-7890."
"Please enter a valid zip code.","Silahkan masukkan kode pos yang valid."
"Please enter issue number or start date for switch/solo card type.","Silahkan masukkan nomor edisi atau tanggal mulai untuk beralih/solo jenis kartu."
"Please make sure your passwords match.","Pastikan kata sandi anda benar."
"Please select State/Province.","Silahkan pilih Negara bagian/Provinsi."
"Please select an option.","Silakan pilih opsi."
"Please select one of the options.","Mohon pilih satu dari pilihan."
"Please set available and/or protected paths list(s) before validation.","Harap sediakan daftar(s) jalur yang tersedia dan/atau yang dilindungi sebelum validasi."
"Please use letters only (a-z or A-Z) in this field.","Silakan gunakan hanya huruf (a-z atau A-Z) dalam dearah ini."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Harap gunakan format tanggal ini: dd/mm/yyyy. Untuk contoh 17/03/2006 untuk tanggal 17 bulan maret 2006."
"Recovery Link Expiration Period (hours)","Pemulihan Periode link Kadaluarsa (jam)"
"Return-Path Email","Email Jalur-Kembali"
"Root Category","Kategori Root"
"Sales Representative","Sales Representatif"
"Save","Simpan"
"Save Store","Simpan Toko"
"Save Store View","Simpan Tampilan Toko"
"Security","Keamanan"
"Select Date","Pilih Tanggal"
"Select Media Database","Pilih Media Database"
"Sender Email","Email pengirim"
"Sender Name","Nama pengirim"
"Services","Servis"
"Session Validation Settings","Sesi Pengaturan Validasi"
"Set Return-Path","Atur Jalur-Kembali"
"Set as Default","Ditetapkan sebagai default"
"Sort Order","Urutan"
"Startup Page","Halaman Awal"
"Status","Keadaan"
"Storage Configuration for Media","Konfigurasi Penyimpanan untuk Media"
"Store","Toko"
"Store Email Addresses","Alamat Email Toko"
"Store Hours of Operation","Jam Operasi Toko"
"Store Information","Informasi Toko"
"Store Name","Nama Toko"
"Store View","Tampilan toko"
"Store View Information","Lihat Informasi Toko"
"Store view doesn't exist","Tampilan tidak ada"
"System","Sistem"
"Template Settings","Pengaturan Template"
"Template Variables","Variabel Template"
"The store does not exist","Toko tidak ada"
"The value is not within the specified range.","Nilai ini tidak dalam jangkauan tertentu."
"The website does not exist.","Situs web tidak ada."
"Themes","Tema"
"This is a required field.","Ini adalah bidang yang diperlukan."
"This store cannot be deleted.","Toko ini tidak dapat dihapus."
"This store view cannot be deleted.","Tampilan toko tidak dapat dihapus."
"This website cannot be deleted.","Situs Web ini tidak dapat dihapus."
"This will be included before head closing tag in page HTML.","Ini disertakan sebelum tag penutup kepala di HTML halaman."
"Timezone","Zona Waktu"
"Transactional Emails","Email Transaksional"
"Translate Inline","Terjemahan Inline"
"Url Options","Pilihan Url"
"Use Custom Admin Path","Gunakan Jalur Khusus Admin"
"Use Custom Admin URL","Gunakan URL Khusus Admin"
"Use HTTP Only","Gunakan HTTP Only"
"None","Kosong"
"Use Secure URLs in Admin","Gunakan Keamanan URL dalam Admin"
"Use Web Server Rewrites","Gunakan Penulisan ulang Web Server"
"VAT Number","Nomor VAT"
"Validate HTTP_USER_AGENT","Validasi HTTP_USER_AGENT"
"Validate HTTP_VIA","Validasi HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validasi HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validasi REMOTE_ADDR"
"Website","Situs web"
"Weekend Days","Hari Akhir Pekan"
"Welcome Text","Text selamat datang"
"Wrong file info format","Format info file yang salah"
"Yes","Ya"
