"Actions","Tindakan"
"Are you sure?","Apakah Anda Yakin?"
"Date Added","Tanggal Ditambahkan"
"Last Update","Pembaruan Terakhir"
"Mark as Read","Tandai telah dibaca"
"Message","Pesan"
"Messages Inbox","Kotak Masuk Pesan"
"Notifications","Pemberitahuan"
"Please select messages.","Silahkan pilih pesan."
"Read Details","Baca Detail"
"Remove","Menghapus"
"Severity","Kekerasan"
"Show List","Tampilkan List"
"Show Toolbar","Tampilkan Toolbar"
"The message has been removed.","Pesan telah dihapus."
"Update Frequency","Pembaruan Frekuensi"
"Use HTTPS to Get Feed","Gunakan HTTPS untuk ke Get Feed"
"Wrong message type","Type pesan salah"
"critical","kritis"
"major","besar"
"minor","kecil"
"notice","perhatian"
