"Add","Tambahkan"
"Add New Row","Tambahkan Baris Baru"
"Availability:","Tersedianya:"
"Back","Kembali"
"Canceled","Dibatalkan"
"Date","Tanggal"
"Default Link Title","Judul tautan default"
"Default Sample Title","Judul Sampel Default"
"Delete","Hapus"
"Downloadable Information","Informasi yang dapat didownload"
"Downloadable Product Options","Pilihan Produk yang dapat didownload"
"Downloadable Product Section","Bagian Produk yang dapat diunduh"
"Edit","Ubah"
"Edit item parameters","Edit parameter item"
"Excl. Tax","Tidak Termasuk Pajak"
"File","Berkas"
"From:","Dari:"
"Gift Message","Pesan hadiah"
"In stock","Dalam Persediaan"
"Incl. Tax","Termasuk Pajak"
"Invalid download link type.","Jenis tautan unduhan tidak valid."
"Invoiced","Faktur"
"List","Daftar"
"Message:","Pesan:"
"Move","Pindah"
"Open Links in New Window","Buka Tautan di Jendela Baru"
"Order #","Pesanan #"
"Order Item Status to Enable Downloads","Status Item Pemesanan ke Enable Downloads"
"Order id cannot be null","Order id tidak bisa null"
"Ordered","Dipesan"
"Out of stock","Persediaan Habis"
"Pending","Ditunda"
"Please set resource file and link type.","Harap atur sumber daya file dan tipe link."
"Price","Harga"
"Qty","Jumlah"
"Refunded","Dikembalikan"
"Remaining Downloads","Download Tersisa"
"Remove","Menghapus"
"Remove Item","Hapus Barang"
"Sample","Mencicipi"
"See price before order confirmation.","Lihat harga sebelum konfirmasi pesanan."
"Shipped","Dikirim"
"Sorry, there was an error getting requested content. Please contact the store owner.","Maaf, ada kesalahan saat meminta konten. Silahkan hubungi pemilik toko."
"Sort Order","Urutan"
"Start Download","Mulai mengunduh"
"Status","Keadaan"
"Subtotal","Total bagian"
"The link has expired.","Tautan telah kedaluwarsa."
"The link is not available.","Tautan tidak tersedia."
"Title","Judul"
"To:","Untuk:"
"Unlimited","Tak terbatas"
"Update","Perbarui"
"Use Default Value","Gunakan Nilai Default"
"View Order","Tampilan Pemesanan"
"What's this?","Apakah ini?"
"You have not purchased any downloadable products yet.","Anda belum membeli produk yang dapat diunduh."
"attachment","lampiran"
