"(\t for tab)","(t for tab)"
"--Please Select--","--Zgjidhni--"
"1 Hour","1 orë"
"12 Hours","12 orë"
"2 Hours","2 orë"
"24 Hours","24 orë"
"6 Hours","6 orë"
"Account Information","Të dhënat e kontos"
"Actions XML","Veprime XML"
"Active","Aktiv"
"Add New Role","Shto një rol të ri"
"Add New Template","Shto një shabllon të ri"
"All","Të gjitha"
"All Reviews","Të gjitha përshtypjet"
"Close","Mbyll"
"Create","Krijo"
"Custom","E personalizuar"
"Day","Ditë"
"Delete","Fshi"
"Details","Detajet"
"First Name","Emri"
"Last Name","Mbiemri"
"Log In","Hyrja"
"Month","Muaj"
"My Account","Llogaria ime"
"Name","Emri"
"None","Asnjë"
"Notifications","Njoftimet"
"Password:","Fjalëkalimi:"
"Pending Reviews","Përshtypjet në shqyrtim"
"Position","Pozicioni"
"Price","Çmimi"
"Remove","Hiq"
"Reviews","Përshtypjet"
"SKU","Kodi i produktit"
"Save","Ruaj"
"Search entire store here...","Kërko në të gjithë dyqanin..."
"Status","Statusi"
"Users","Përdorues"
"Year","Vit"
"Yes","Po"
"close","mbyll"
"from","nga"
"notice","lajmerim"
"to","në"
