"1 star","1 stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"Add New Rating","Adăugați Rating nou"
"Assigned Options","Opțiuni atribuite"
"Be the first to review this product","Scrieți o recenzie"
"Default Value","Valoare implicită"
"Delete Rating","ștergere Rating"
"Edit Rating","Modificare Evaluare"
"If you do not specify a rating title for a store, the default value will be used.","Dacă nu specificați titlul evaluării pentru un magazin, va fi folosită valoarea implicită."
"New Rating","Rating nou"
"Option Label","Etichetă Opțiune"
"Option Title","Titlu opțiune"
"Option Title:","Titlu Opțiuni:"
"Please select one of each ratings above","Alegeți câte una din fiecare evaluare de mai sus"
"Rating Information","Informații Rating"
"Rating Name","Nume Evaluare"
"Rating Options","Opțiuni Evaluare"
"Rating Title","Titlu Rating"
"Rating Visibility","Vizibilitate Rating"
"Rating isn't Available","Rating-ul nu este disponibil"
"Rating with the same title","Evaluare cu același titlu"
"Save Rating","Salvare Rating"
"Sort Order","sortați comanda"
"Visible In","Vizibil În"
