"%s role is protected.","Rolul %s este protejat."
"ACL Attribute Rules","Reguli Atribut ACL"
"ACL Attributes Information","Informații Atribute ACL"
"Add","Adăugare"
"Add Admin Role","Adăugare Rol Administrator"
"Add New Role","Adăugați rol nou"
"Address Type","Tip Adresă"
"Admin","Administrator"
"Allow","Permitere"
"An error occurred while deleting the role.","Eroare la ștergerea acestui rol."
"An error occurred while saving attribute rules.","Eroare la salvarea regulilor de atribut."
"An error occurred while saving role.","Eroare la salvarea rolului."
"Api Rules Information","Informații Reguli Api"
"Assigned","Alocat"
"Associate to Website","Asociere la Site"
"Attribute Rules Information","Informații Reguli Atribute"
"Attribute Set","Set atribute"
"Attributes","Atribute"
"Automatically Return Credit Memo Item to Stock","Returnați automat aticolul notă de credit în stoc"
"Back","Inapoi"
"Backorders","Comenzi în așteptare"
"Base Currency","Valuta de Bază"
"Base Customer Balance","Balanță de Bază Client"
"Base Discount","Reducere de Bază"
"Base Discount Amount","Sumă de Bază Reducere"
"Base Item Subtotal","Subtotal de Bază Articol"
"Base Item Subtotal Including Tax","Subtotal de Bază Articol Cu Taxe"
"Base Original Price","Preț Original de Bază"
"Base Price","Preț de Bază"
"Base Price Including Tax","Preț de Bază Cu Taxe"
"Base Shipping","Expediere de Bază"
"Base Shipping Discount","Reducere de Bază Expediere"
"Base Shipping Tax","Taxe de Bază Expediere"
"Base Subtotal","Subtotal de Bază"
"Base Subtotal Including Tax","Subtotal de Bază Cu Taxe"
"Base Tax Amount","Sumă de Bază Taxe"
"Base Total Due","Total de Bază de Plată"
"Base Total Paid","Total de Bază Plătit"
"Base Total Refunded","Total de Bază Rambursat"
"Buy Now URL","URL Cumpărați Acum"
"Can Be Divided into Multiple Boxes for Shipping","Poate Fi Împărțit în Mai Multe Cutii pentru Expediere"
"Canceled Qty","Cant Anulată"
"Catalog Product","Produs Catalog"
"CatalogInventory","InventarCatalog"
"Category ID","ID Categorie"
"City","Localitate"
"Company","Companie"
"Country","Țara"
"Coupon Code","Cod Cupon"
"Create","Creare"
"Create Permanent Redirect for old URL","Creare Redirecționare Permanentă pentru URL vechi"
"Created From","Creat De La"
"Customer","Utilizator"
"Customer Address","Adresă Client"
"Customer Address ID","ID Adresă Client"
"Customer Balance","Balanță Client"
"Customer First Name","Prenume client"
