"Action","Acțiune"
"Add Sitemap","Adaugă hartă site"
"Always","întotdeauna"
"CMS Pages Options","Opțiuni Pagini CMS"
"Categories Options","Opțiuni categorii"
"Daily","Zilnic"
"Edit Sitemap","Editare hartă site"
"Enabled","Activat"
"Error Email Recipient","Eroare destinatar email"
"Error Email Sender","Eroare expeditor email"
"Error Email Template","Eroare șablon email"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Fișierul ""%s"" nu poate fi salvat. Asigurați-vă că directorul ""%s"" poate fi scris de serverul web."
"Filename","Nume fișier"
"Frequency","Frecvență"
"Generate","Generați"
"Generation Settings","Setări Generare"
"Google Sitemap","Hartă Site Google"
"Hourly","La fiecare oră"
"Last Time Generated","Ultima Generare"
"Link for Google","Link pentru Google"
"Monthly","Lunar"
"Never","Niciodată"
"New Sitemap","Hartă site nouă"
"Path","Cale"
"Please create the specified folder ""%s"" before saving the sitemap.","Creați directorul specificat ""%s"" înainte de a salva harta site-ului."
"Please define correct path","Definiți calea corectă"
"Please make sure that ""%s"" is writable by web-server.","Asigurați-vă că ""%s"" poate fi scris de serverul web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Folosiți doar litere (a-z sau A-Z), numere (0-9) sau underscore (_) în numele fișierului. Spațiile sau alte caractere nu sunt permise."
"Priority","Prioritate"
"Products Options","Opțiuni produs"
"Sitemap","Harta site-ului"
"Sitemap generate Warnings","Alerte generare hartă site"
"Start Time","Timp de începere"
"Store View","Vizualizare magazin"
"The priority must be between 0 and 1.","Prioritatea trebuie să fie între 0 și 1."
"The sitemap ""%s"" has been generated.","Harta site ""%s"" a fost generată."
"The sitemap has been deleted.","Harta site a fost ștearsă."
"The sitemap has been saved.","Harta site a fost salvată."
"This sitemap no longer exists.","Harta site-ului nu mai există."
"Unable to find a sitemap to delete.","Imposibil de găsit o hartă site de șters."
"Unable to find a sitemap to generate.","Imposibil de găsit o hartă site de generat."
"Unable to generate the sitemap.","Imposibil de generat harta site."
"Valid values range: from 0.0 to 1.0.","Interval valori valide: de la 0.0 la 1.0."
"Weekly","Săptămânal"
"Yearly","Anual"
