"%d Review(s)","%d Recenzie(i)"
"%s Review(s)","%s Recenzie(i)"
"(Posted on %s)","(Postat la data %s)"
"1 star","1 stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"Add New Review","Adăugare Recenzie Nouă"
"Add Your Review","Scrie o recenzie"
"All Reviews","Toate recenziile"
"All Reviews of Customer `%s`","Toate Recenziile Clientului `%s`"
"All Reviews of Product `%s`","Toate Recenziile Produsului `%s`"
"Allow Guests to Write Reviews","Permiteți vizitatorilor să scrie recenzii"
"Approved","Aprobat"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți această operațiune?"
"Are you sure?","Eşti sigur(ă)?"
"Average Customer Rating","Rating Mediu Client:"
"Average Customer Rating:","Rating Mediu Client:"
"Back","Inapoi"
"Back to Main Product Info","înapoi la Informații Produs Principal"
"Back to My Reviews","înapoi la Recenziile Mele"
"Back to Product Reviews","înapoi la Recenzii Produs"
"Be the first to review this product","Scrieți o recenzie"
"Catalog Product Review View","Vizualizare Recenzie Produs Catalog"
"Catalog Product Reviews List","Listă Recenzii Produs Catalog"
"Created On","Creat La"
"Customer","Utilizator"
"Customer My Account Product Reviews","Recenzii Produs Contul Meu Client"
"Customer My Account Review Details","Detalii Recenzie Contul Meu Client"
"Customer Reviews","Recenzii"
"Customers Reviews","Recenzii Clienți"
"Delete","șterge"
"Delete Review","șterge recenzie"
"Detailed Rating","Rating Detaliat"
"Edit Review '%s'","Modificare Recenzie '%s'"
"Guest","Vizitator"
"How do you rate this product?","Cum evaluați acest produs?"
"Manage Ratings","Gestionare Rating-uri"
"My Product Reviews","Recenziile Produsului Meu"
"My Recent Reviews","Recenziile Mele Recente"
"Name","Numeric"
"Name in Store","Nume în Magazin"
"New Review","Recenzie nouă"
"Nickname","Porecla"
"Not Approved","Neaprobat"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Numai utilizatorii înregistrați pot scrie recenzii. Vă rugăm, <a href=""%s"">autentificați-vă</a> sau <a href=""%s"">înregistrați-vă</a>"
"Pending","în așteptare"
"Pending Reviews","Recenzii în așteptare"
"Pending Reviews of Customer `%s`","Recenziile în Așteptare ale Clientului `%s`"
"Please select a product","Alegeți un produs"
"Please select one of each of the ratings above","Alegeți una din fiecare dintre evaluările de mai sus"
"Posted By","Postat De"
"Price","Preț"
"Product","Produs"
"Product Name","Numele produsului"
"Product Rating","RatingProdus"
"Product Rating:","Rating produs:"
"Product Review (submitted on %s):","Recenzie Produs (trimisă pe data %s):"
"Product Reviews","Recenzii Produs"
"Product SKU","COD Produs"
"Products Reviews","Recenzii Produse"
"Qty","Cantitate"
"Rating:","Evaluare:"
"Review","Recenzie"
"Review (submitted on %s):","Recenzie (trimisă pe data %s):"
"Review Details","Detalii Recenzie"
"Review Form Fields Before","Câmpuri Formular Recenzie Înainte"
"Review by <span>%s</span>","Recenzie de <span>%s</span>"
"Reviews","Comentarii"
"Reviews and Ratings","Recenzii și Evaluări"
"SKU","Cod produs"
"Save Review","Salvează Recenzie"
"Status","Statut"
"Submit Review","trimite "
"Summary Rating","Cuprins Rating"
"Summary of Review","Cuprins Recenzie"
"Summary of Your Review","Sumarul Recenziei Dvs."
"Title","Titlu"
"Type","Tip"
"Unable to post the review.","Nu s-a putut posta recenzia."
"Update Status","Actualizare Status"
"View All Reviews","Vizualizare Toate Recenziile"
"View Details","Vezi Detalii"
"Visible In","Vizibil În"
"Websites","Website-uri"
"Write Your Own Review","Scrie o recenzie"
"You have submitted no reviews.","Nu ați trimis nici o recenzie."
"You're reviewing:","Spune-ne parerea ta despre acest produs"
"Your Rating:","Evaluarea Dvs.:"
"Your Review (submitted on %s):","Recenzia Dvs. (trimisă pe %s):"
"Your review has been accepted for moderation.","Recenzia dvs. a fost acceptată pentru moderare."
