"%1$s incl tax.","%1$s cu taxe"
"* Required Fields","* Campuri obligatorii"
"-- Select --","-- Selectați --"
"Add New Option","Adăugați opțiune nouă"
"Add Selection","Adăugați Selecție"
"As Low as","începând de la"
"As low as","începând de la"
"Bundle Items","Articole la pachet"
"Bundle Product","Produs tip Pachet"
"Buy %1$s","Cumpărați %1$s"
"Buy %1$s for","Cumpărați %1$s pentru"
"Buy %1$s for %2$s","Cumpărați %1$s pentru %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Cumpărați %1$s pentru %2$s (%3$s cu taxe) fiecare"
"Buy %1$s for %2$s each","Cumpărați %1$s pentru %2$s fiecare"
"Buy %1$s with %2$s discount each","Cumpărați %1$s cu discount de %2$s la fiecare"
"Catalog Product View (Bundle)","Vizualizare Produs Catalog (Pachet)"
"Checkbox","Casetă"
"Choose a selection...","Alegeți o selecție"
"Click for price","Faceți click pe preț"
"Close","Inchide"
"Default","Implicit"
"Default Qty","Cant. Implicită"
"Default Title","Titlu implicit"
"Dynamic","Dinamic"
"Excl. Tax","Cără taxe incluse"
"Excl. Tax:","Fără Taxe:"
"Fixed","Fix"
"From","De la"
"From:","De la:"
"Gift Message","Mesaj-cadou"
"Incl. Tax","Includere taxe"
"Incl. Tax:","Cu Taxe:"
"Input Type","Tip input"
"Is Required","Este Necesar"
"Message:","Mesaj:"
"Multiple Select","Selecție multiplă"
"N/A","Indisponibil"
"No options of this product are available.","Nu sunt disponibile opțiuni pentru acest produs."
"None","Niciunul"
"Percent","Procentaj"
"Percent Discount","Procentaj reducere"
"Please Select Products to Add","Selectați Produse pentru Adăugare"
"Please enter a number greater 0 in this field.","Vă rugăm introduceți un număr mai mare de 0 în acest câmp."
"Please enter search conditions to view products.","Introduceți condițiile de căutare pentru a vizualiza produse."
"Please select options for product.","Selectați opțiuni pentru produs."
"Please specify product option(s).","Specificați optiunea(opțiunile) de produs."
"Position","Poziție"
"Price Range","Gamă prețuri"
"Price Type","Tip preț"
"Price as configured","Preţul cum a fost configurat"
"Qty:","Cant:"
"Radio Buttons","Butoane Radio"
"Required options are not selected.","Opțiunile necesare nu sunt selectate."
"SKU","Cod produs"
"Selected required options are not available.","Opțiunile necesare selectate nu sunt disponibile."
"Separately","Separat"
"Ship Bundle Items","Livrați produsele la pachet"
"Shipment","Livrare"
"Store View Title","Titlu vizualizare magazin"
"There is no defined renderer for ""%s"" option type.","Nu există niciun interpretor pentru tipul de opțiune ""%s""."
"This product is also part of bundle(s)","Acest produs face parte şi din pachetul/ele"
"To","Către"
"To:","Către:"
"Together","împreună"
"Total incl. Tax: %1$s","Total cu Taxe: %1$s"
"Use Default Value","Folosiți valoare implicită"
"User Defined Qty","Cant. Definită de Utilizator"
"and","și"
"each","fiecare"
"save","salvare"
