"%s already exist.","%s există deja."
"%s already exists.","%s există deja."
"-- Please Select --","-- Selectați --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Atenție!</strong> La utilizarea CDN, în unele cazurie posibil ca JavaScript să nu ruleze corect dacă CDN nu este în subdomeniul dvs."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Atenție!</strong> La utilizarea Codului Magazin în URL-uri, în unele cazuri sistemul e posibil să nu funcționeze corect dacă URL-urile fără Coduri Magain sunt specificate în cadrul serviciilor terțe (ex. PayPal etc.)."
"A category object is required for determining the product request path.","Un obiect categorie e necesar pentru determinarea căii de solicitare a produsului."
"Add Block Names to Hints","Adăugare Nume Blocuri la Sugestii"
"Add Secret Key to URLs","Adăugați cheie secretă la URL-uri"
"Add Store Code to Urls","Adăugați codul magazinului la URL-uri"
"Admin","Administrator"
"Admin Base URL","URL de bază administrator"
"Admin User Emails","Email-uri utilizator administrator"
"Advanced","Avansat"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","După selectarea unei noi locații de stocare media, apăsați butonul Sincronizare
                                pentru a transfera toată media la acea locație. Media nu va fi disponibilă la noua
                                locație decât atunci când procesul de sincronizare e complet."
"Allow Countries","Acceptă țări"
"Allow Symlinks","Permite Symlinks"
"Allowed IPs (comma separated)","Permitere IP-uri (separate de virgulă)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipuri permise de fișiere: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Nu toate browserele suportă aceste formate!"
"Allows customers to stay logged in when switching between different stores.","Permite clienților să rămână logați la schimbarea între diferite magazine"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Text alternativ pentru legătura următoare în meniul de paginație. Dacă e liber, imaginea săgeată implicită va fi folosită."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Text alternativ pentru legătura precedentă în meniul de paginație. Dacă e liber, imaginea săgeată implicită va fi folosită."
"An error occurred while saving. Please review the error log.","Eroare la salvare. Consultați registrul de erori."
"Anchor Text for Next","Text fix pentru Următorul"
"Anchor Text for Previous","Text fixpentru Anteriorul"
"Anchor symbol (#) is not supported in request path","Simbolul ancoră (#) nu e suportat în calea de solicitare"
"Anchor symbol (#) is not supported in url rewrite suffix","Simbolul ancoră (#) nu e suportat în sufixul de rescriere url"
"Are you sure?","Eşti sigur(ă)?"
"Auto-redirect to Base URL","Optimizare motor de căutare"
"Back","Inapoi"
"Backup Options","Opțiuni pentru copii de rezervă"
"Base JavaScript URL","Adresă de Bază URL JavaScript"
"Base Link URL","Link URL de bază"
"Base Media URL","Adresă de Bază URL Media"
"Base Secure URL","Adresă de Bază URL Securizată"
"Base Skin URL","Adresă de Bază URL Temă"
"Base URL","URL de bază"
"Base Unsecure URL","Adresă de Bază URL Nesecurizată"
"Before modifying the store view code please make sure that it is not used in index.php.","Înainte de a modifica codul vitrinei asigurați-vă că nu este folosit în index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Înainte de a modifica codul site-ului asigurați-vă că nu este folosit în index.php."
"Block with name ""%s"" already exists","Blocul cu numele ""%s"" există deja"
"Browser Capabilities Detection","Detectare Capacități Browser"
"CSS Settings","Setări CSS"
"Cache Storage Management","Management stocare cache"
"Cache storage may contain additional data. Are you sure that you want flush it?","Stocarea cache-ului ar putea conține date adiționale. Sunteți sigur că doriți să o goliți?"
"Can not create invoice. Order was not found.","Nu se poate crea factura. Comanda nu a fost găsită."
"Can't retrieve request object","Nu s-a găsit obiectul cerut"
"Cancel","Anuleaza"
"Cannot complete this operation from non-admin area.","Nu se poate finaliza această operație dintr-o zonă non-admin."
"Card type does not match credit card number.","Tipul de card nu se potrivește cu numărul de card de credit."
"Code","Cod"
"Controller file was loaded but class does not exist","Fișierul controller a fost încărcat dar clasa nu există"
"Cookie Domain","Domeniu Cookie"
"Cookie Lifetime","Termen Cookie"
"Cookie Path","Cale Cookie"
"Cookie Restriction Mode","Mod Restricție Cookie"
"Copyright","Drepturi Autor"
"Core","Nucleu"
"Countries Options","Opțiuni Țări"
"Country","Țara"
"Create Store","Creați magazin"
"Create Store View","Creați vizualizare magazin"
"Create Website","Creați Website"
"Credit card number does not match credit card type.","Numărul cardului de credit nu se potrivește cu tipul de card de credit."
"Current Package Name","Nume Pachet Curent"
"Custom Admin Path","Cale administrator personalizată"
"Custom Admin URL","URL administrator personalizat"
"Custom Design","Design personalizat"
