"%s was added to your shopping cart.","%s a fost adăugat la coșul de cumpărături"
"%s was updated in your shopping cart.","%s a fost actualizat în coșul dvs. de cumpărături."
"(Excl. Tax)","(fără taxe incluse)"
"(Incl. Tax)","(cu taxe incluse)"
"* Required Fields","* Campuri obligatorii"
"Add New Address","Adăugați o adresă nouă"
"Add New Condition","Adăugare Condiție Nouă"
"Add coupon code for shopping cart","Adăugare cod cupon pentru coș cumpărături"
"Add gift messages to shopping cart","Adăugare mesaje cadou la coș cumpărături"
"Add product to shopping cart","Adăugare produs la coș cumpărături"
"Add product(s) to shopping cart","Adăugare produs(e) la coș cumpărături"
"Add to Cart","Adăugați in coș"
"Add to Compare","Adaugă pentru comparare"
"Add to Wishlist","Adăugare Listă Dorințe"
"Additional Product Info","Informații Adiționale Produs"
"Address","Adresa"
"Address %s of %s","Adresa %s din %s"
"After Adding a Product Redirect to Shopping Cart","Redirecționare la coșul de cumpărături după adăugarea unui produs"
"Allow Guest Checkout","Permiteți Checkout Vizitatori"
"Already registered?","Sunteți deja înregistrat?"
"An error occurred in the process of payment","Eroare în timpul procesului de plată"
"An error occurred while deleting this condition.","Eroare la ștergerea acestei condiții."
"An error occurred while saving this condition.","Eroare la salvarea acestei condiții."
"Apply","Aplică"
"Apply Coupon","Aplicare Cupon"
"Are you sure you would like to remove this item from the shopping cart?","Sunteți sigur că vreți să ștergeți produsul din coș?"
"Back","Inapoi"
"Back to Billing Information","Înapoi la Informații Facturare"
"Back to Select Addresses","Înapoi la Selectare Adrese"
"Back to Shipping Information","Înapoi la Informații Expediere"
"Back to Shopping Cart","Înapoi la Coș Cumpărături"
"Based on your selection, you may be interested in the following items:","Luând în considerare selecția dvs., s-ar putea să fiți interesat și de următoarele articole:"
"Billing Address","Adresă facturare"
"Billing Information","Informații facturare"
"Billing Information - %s","Informații Facturare - %s"
"Cancel","Anuleaza"
"Cancel Coupon","Anulare cupon"
"Cannot add item to the shopping cart.","Nu se poate adăuga articol la coș cumpărături."
"Cannot add the item to shopping cart","Nu se poate adăuga articolul la coșul de cumpărături"
"Cannot add the item to shopping cart.","Nu se poate adăuga articolul la coșul de cumpărături"
"Cannot apply the coupon code.","Nu se poate aplica codul cupon."
"Cannot configure product.","Nu se poate configura produsul."
"Cannot open the overview page","Nu se poate deschide pagina de ansamblu"
"Cannot process the item.","Nu se poate procesa articolul."
"Cannot remove the item.","Nu se poate elimina articolul."
"Cannot update shopping cart.","Nu se poate actualiza coșul de cumpărături."
"Cannot update the item.","Nu se poate actualiza articolul."
"Card Verification Number Visual Reference","Referință vizuală număr verificare card"
"Cart","Coș"
"Cart Product API","API Produs Coș"
"Cart Subtotal:","Subtotal:"
"Change","Schimbați."
"Change Billing Address","Schimbați adresa principală de factuare"
"Checkbox Text","Text Casetă"
"Checkout","Finalizare comandă"
"Checkout Conditions","Condiții Finalizare Comandă"
"Checkout Method","Metodă Finalizare Comandă"
"Checkout Options","Opțiuni Checkout"
"Checkout Progress Wrapper","Wrapper Progres Finalizare Comandă"
"Checkout Terms and Conditions","Termeni și Condiții Finalizare Comandă"
"Checkout as Guest","Finalizare Comandă ca Vizitator"
"Checkout as a Guest or Register","Finalizare Comandă ca Vizitator sau Înregistrare"
"Checkout with Multiple Addresses","Finalizare Comandă cu Adrese Multiple"
"City","Localitate"
"Clear Shopping Cart","Golește coșul de cumpărături"
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">aici</a> pentru a continua cumpărăturile."
"Close","Inchide"
"Company","Companie"
"Condition Name","Nume Condiție"
"Configurable Product Image","Imagine produs configurabilă"
"Configure Cart Item","Configurare Articol Coș"
"Confirm Password","Confirmați parola"
"Content","Conținut"
"Content Height","Înălțime Conținut"
"Content Height (css)","Înălțime Conținut (css)"
"Continue","Continuați"
"Continue Shopping","Continuați cumpărăturile"
"Continue to Billing Information","Continuați spre Informații Facturare"
"Continue to Review Your Order","Continuați spre Informații Comandă"
"Continue to Shipping Information","Continuați spre Informații Expediere"
"Country","Țara"
"Coupon code ""%s"" is not valid.","Codul cupon ""%s"" nu e valid."
"Coupon code ""%s"" was applied.","Codul cupon ""%s"" a fost aplicat."
"Coupon code was canceled.","Codul cupon a fost anulat."
"Create Billing Address","Creare Adresă Facturare"
"Create Shipping Address","Creare Adresă Expediere"
"Create an order from shopping cart","Creare comandă din coș cumpărături"
"Create shopping cart","Creare coș cumpărături"
"Customer Address is not valid.","Adresă Client nevalidă."
"Customer Information","Informații client"
"Customer's information","Informațiile clientului"
"Data saving problem","Probleme la salvarea datelor"
"Default Billing","Facturare Standard"
"Default Shipping","Expediere Standard"
"Delete Condition","Condiție Ștergere"
"Details","Detalii"
"Disabled","Dezactivat"
"Discount Codes","Coduri Discount"
"Display Cart Summary","Afișare cuprins coș"
"Display Shopping Cart Sidebar","Afișare Bară Margine Coș Cumpărături"
"Display item quantities","Afiați cantitățile articolelor"
"Display number of items in cart","Arată numărul de articole din coș"
"Display number of items in wishlist","Afișare număr articole din lista de dorințe"
"Easy access to your order history and status","Acces facil la istoricul și starea comenzilor dvs."
"Edit","Editați"
"Edit Address","Editati adresa"
