"# of Use","# în Uz"
"%1$s incl tax.","%1$s cu taxe"
"%s Item(s)","%s Articol(e)"
"%s and above","%s și peste"
"(Copy data from: %s)","(Copiere date de la: %s)"
"* Required Fields","* Campuri obligatorii"
"-- Please Select --","-- Selectați --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 implicit, dacă nu e setat. Pentru a reîmprospăta instant, Curățare Cache Ieșire HTML Blocuri"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Atenție!</strong> Aplicarea MAP implicit va ascunde toate prețurile produselor pe interfața utilizator."
"A group with the same name already exists.","Există deja un grup cu același nume."
"A name is required","E necesar un nume"
"A product type is not defined for the indexer.","Un tip de produs nu este definit pentru indexare."
"ALL GROUPS","TOATE GRUPURILE"
"Action","Acțiune"
"Actual Price","Preț Actual"
"Add","Adăugare"
"Add Attribute","Adăugați atribut"
"Add Design Change","Adăugați modificare de design"
"Add Group","Adăugați grupă"
"Add Group Price","Adăugare Preț Grup"
"Add New","Adăugați nou"
"Add New Attribute","Adăugați atribut nou"
"Add New Attribute Set","Adăugați set atribute nou"
"Add New Group","Adăugați grupă nouă"
"Add New Images","Adăugați imagini noi"
"Add New Option","Adăugați opțiune nouă"
"Add New Row","Adăugați rând nou"
"Add New Search Term","Adăugare termen de căutare nou"
"Add New Set","Adăugare Set Nou"
"Add Product","Adăugați produs"
"Add Product To Websites","Adăugați produs la website-uri"
"Add Root Category","Adăugați categorie de bază"
"Add Subcategory","Adăugați subcategorie"
"Add Tax","Adăugare Taxă"
"Add Tier","Adăugare Nivel"
"Add attribute into attribute set","Adăugare atribut în set atribute"
"Add group into attribute set","Adăugare grup în set atribute"
"Add new custom option into product","Adăugare opțiune personalizată nouă în produs"
"Add new values into custom option","Adăugare valori noi în opțiune personalizată"
"Add option","Adăugare Opțiune"
"Add to Cart","Adăugați in coș"
"Add to Compare","Adaugă pentru comparare"
"Add to Wishlist","Adăugare Listă Dorințe"
"Additional Information","Informații Suplimentare"
"Alert Urls","Url-uri Alerte"
"All","Toate"
"All Product Types","Toate Tipurile de Produs"
"All Websites","Toate Website-urile"
"All products","Toate produsele"
"All products - recently added products, New products - products marked as new","Toate produsele - produse recent adăugate, Produse noi - produse marcate ca noi"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Toate produsele acestui set vor fi șterse! Sunteți sigur că doriți ștergerea acestui set de atribute?"
"Allow All Products per Page","Permiteți afișarea tuturor produselor pe pagină"
"Allow Dynamic Media URLs in Products and Categories","Permitere URL-uri Media Dinamice în Produse și Categorii"
"Allow HTML Tags on Frontend","Permitere Tag-uri HTML pe Frontend"
"Allowed File Extensions","Extensii Fișier Permise"
"Allowed file extensions to upload","Extensii fișier permise pentru încărcare"
"Amount","Sumă"
"An error occurred while adding products to websites.","Eroare apărută la adăugarea produselor la site-uri."
"An error occurred while clearing comparison list.","Eroare apărută la curățarea listei de comparație."
"An error occurred while deleting this review.","Eroare apărută la ștergerea acestei recenzii."
"An error occurred while removing products from websites.","Eroare apărută la eliminarea produselor din site-uri."
"An error occurred while saving the URL rewrite","Eroare apărută la salvarea rescrierii URL."
"An error occurred while saving the attribute set.","Eroare apărută la salvarea setului de atribute."
"An error occurred while saving the collection, aborting. Error message: %s","Eroare apărută la salvarea colecției, renunțare. Mesaj eroare: %s"
"An error occurred while saving the product. ","Eroare apărută la salvarea produsului."
"An error occurred while saving the search query.","Eroare apărută la salvarea interogării de căutare."
"An error occurred while saving this group.","Eroare apărută la salvarea acestui grup."
"An error occurred while saving this review.","Eroare apărută la salvarea acestei recenzii."
"An error occurred while trying to delete the category.","Eroare apărută la încercarea ștergerii categoriei."
"An error occurred while updating the product(s) attributes.","Eroare apărută la actualizarea atributelor produsului(elor)."
"An error occurred while updating the product(s) status.","Eroare apărută la actualizarea statusului produsului(elor)."
"An invalid group ID is specified, skipping the record.","ID grup specificat invalid, sărire peste înregistrare."
"An invalid option ID is specified for %s (%s), skipping the record.","ID opțiune specificată invalid pentru %s (%s), sărire peste înregistrare."
"An invalid store was specified.","Un magazin invalid a fost specificat."
"Anchor Custom Text","Text personalizat fix"
"Anchor Custom Title","Titlu personalizat fix"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicabil la produse și categorii de catalog numai. Orice conținut media va fi inserat în editor ca URL static. Nu se actualizează dacă se schimbă adresa de bază URL a configurației sistemului."
"Apply MAP (Default Value)","Aplicare PMP (Valoare Implicită)"
"Apply To","Aplicare La"
"Approved","Aprobat"
"Are you sure you want to delete this category?","Sunteți sigur că doriți să ștergeți această categorie?"
"Are you sure you would like to remove all products from your comparison?","Sunteți sigur că vreți să eliminați toate produsele din comparația dvs.?"
"Are you sure you would like to remove this item from the compare products?","Sunteți sigur că vreți să eliminați acest articol din lista de comparație?"
"Are you sure?","Eşti sigur(ă)?"
"As low as:","Minim:"
"Assign","Atribuire"
"Assign product link","Atribuire legătură produs"
"Assign product to category","Atribuire produs la categorie"
"Assigned Products","Produse Atribuite"
"Associated Products","Produse asociate"
"Attrib. Set Name","Nume Set Atribute"
"Attribute ""%s"" is invalid.","Atributul ""%s"" e invalid."
"Attribute ""%s"" is required.","Atributul ""%s"" e necesar."
"Attribute Information","Informații atribut"
"Attribute Model","Model Atribut"
"Attribute Name:","Nume Atribut:"
"Attribute Set","Set atribute"
"Attribute Sets","Atribuiți seturi"
"Attribute add","Adăugare atribut"
"Attribute remove","Eliminare atribut"
"Attribute with the same code already exists","Există deja un atribut cu acest cod"
"Attributes","Atribute"
"Attrribute names can be specified per store.","Numele atributelor pot fi specificate per magazin."
"Autogenerate","Auto-generare"
"Availability:","Disponibilitate:"
"Back","Inapoi"
"Backend Model","Model Backend"
"Backend Table","Tabel Backend"
"Backend Table Title","Titlu Tabel Backend"
"Backorders","Comenzi în așteptare"
"Based On","Bazat pe"
"Before Order Confirmation","Înainte de Confirmarea Comenzii"
"Best Value","Cea mai bună Valoare"
"Block after Info Column","Bloc după Coloana Info"
"Bottom Block Options Wrapper","Wrapper Opțiuni Bloc Jos"
"Bottom/Left","Jos/Stânga"
"Bottom/Right","Jos/Dreapta"
"Browse By","Caută După"
"Bundle Items","Articole la pachet"
