"Abandoned Carts","Coșuri Abandonate"
"Abandoned carts","Coșuri abandonate"
"Action","Acțiune"
"Add to Cart","Adăugați in coș"
"Add to Compare","Adaugă pentru comparare"
"Add to Wishlist","Adăugare Listă Dorințe"
"Any","Oricare"
"Applied Coupon","Cupon Aplicat"
"Applies to Any of the Specified Order Statuses","Se aplică la Oricare dintre Statusurile de Comandă Specificate"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Sunteți sigur că doriți să reîmprospătați statisticile generale? Poate apărea un impact de performanță pe parcursul acestei operații."
"Are you sure?","Eşti sigur(ă)?"
"Avg. Approved Rating","Medie Note Aprobate"
"Avg. Rating","Medie Note"
"Bestsellers","Cele mai vândute"
"Bought from wishlists","Cumpărat din Liste de Dorințe"
"Carts","Coșuri"
"Catalog Category (Without Subcategories)","Categorie Catalog (Fără Subcategorii)"
"Compared Products Grid Template","șablon Grilă produse Comparate"
"Compared Products List Template","șablon Listă produse Comparate"
"Coupons","Cupoane"
"Coupons Usage Report","Raport Utilizare Cupoane"
"Created At","Creat la"
"Current Month Starts","Luna Curentă Începe"
"Customer","Utilizator"
"Customer Name","Nume client"
"Customer Tags","Etichete Client"
"Customers","Clienți"
"Customers Report","Raport Clienți"
"Customers Reviews","Recenzii Clienți"
"Customers Tags","Etichete Clienți"
"Customers by Number of Orders","Clienți după Numărul de Comenzi"
"Customers by Orders Total","Clienți după Total Comenzi"
"Customers by number of orders","Top Clienți (după numărul de comenzi)"
"Customers by orders total","Top Clienți (după totalul comenzilor)"
"Customers that have wishlist: %s%","Clienți care au Listă de Dorințe: %s%"
"Dashboard","Panou"
"Day","Zi"
"Default Recently Compared Products Count","Număr Implicit Produse Comparate Recent"
"Default Recently Viewed Products Count","Număr Implicit Produse Comparate Recent"
"Description","Descriere"
"Detail","Detaliu"
"Downloads","Descărcări"
"Email","E-mail"
"Empty Rows","Rânduri Goale"
"Excel XML","XML Excel"
"Filter","Filtrare"
"First Name","Prenume"
"From","De la"
"Guest","Vizitator"
"Hits","Indiciu"
"IP Address","Adresă IP"
"Index model name must be defined","Numele modelului de indexare trebuie să fie definit"
"Invalid date specified.","Dată specificată invalidă."
"Invoiced","Facturat"
"Items in Cart","Articole în coș"
"Last Name","Nume de familie"
"Last Review","Ultima Recenzie"
"Link","Legătură"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista Produselor Comparate Recent și a celor Eliminate de la Lista de Comparație de către Vizitator"
"List of Products Recently Viewed by Visitor","Listă de produse vizualizate recent de cître vizitator"
"Low Stock","Stoc Limitat"
"Low stock","Stoc limitat"
"Match Period To","Potrivire Perioadă La"
"Month","Lună"
