" Copy"," Copie"
"Action","Acțiune"
"Add New Template","Adaugă șablon nou"
"Add to Queue","Adaugă la șir"
"Allow Guest Subscription","Permiteți abonare vizitator"
"An error occurred while saving your subscription.","Eroare la salvarea abonării dvs."
"Are you sure that you want to delete this template?","Sunteți sigur că vreți să ștergeți acest șablon?"
"Are you sure that you want to strip all tags?","Sunteți sigur că doriți să scoateți etichetele?"
"Back","Inapoi"
"Cancel","Anuleaza"
"Cancelled","Anulat"
"Cannot mark as received subscriber.","Nu se poate nota ca abonat recepționat."
"Confirmation Email Sender","Confirmare Email Expeditor"
"Confirmation Email Template","Confirmare Email șablon"
"Confirmation request has been sent.","Cererea de confirmare a fost trimisă."
"Convert to Plain Text","Transformați în text simplu"
"Create Newsletter Template","Creează șablon Buletin informativ"
"Customer","Utilizator"
"Customer First Name","Prenume client"
"Customer Last Name","Nume client"
"Customer Middle Name","Al Doilea Prenume Client"
"Customer My Account Newsletter Subscriptions","Abonamente Buletine Contul Meu Client"
"Date Added","Data Adăugării"
"Date Updated","Actualizat la data"
"Delete","șterge"
"Delete Selected Problems","ștergeți problemele selectate"
"Delete Template","șterge șablon"
"Do you really want to cancel the queue?","Sunteți sigur că doriți să anulați șirul?"
"Duplicate template code.","Duplicat cod șablon."
"Edit Newsletter","Editare Buletin informativ"
"Edit Newsletter Template","Editare șablon Buletin informativ"
"Edit Queue","Editare șir"
"Edit Template","Editare șablon"
"Email","E-mail"
"Enter your email address","Introduceți adresa dumneavoastră de email"
"Error Code","Cod de eroare"
"Error Text","Text eroare"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Urmăriți această legătură pentru a va dezabona <!-- Această etichetă e pentru legătura de dezabonare  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Vizitator"
"Invalid queue selected.","Coadă selectată selectată."
"Invalid subscription ID.","ID abonare invalid."
"Invalid subscription confirmation code.","Cod confirmare abonare invalid."
"Message","Mesaj"
"Need to Confirm","Confirmare necesară"
"New Newsletter Template","șablon Buletin informativ nou"
"New Template","șablon nou"
"Newsletter","Buletin informativ"
"Newsletter Message Preview","Previzualizare mesaj Buletin informativ"
"Newsletter Problem Reports","Rapoarte probleme Buletin informativ"
"Newsletter Queue","șir Buletine informative"
"Newsletter Section","Secțiune Buletin"
"Newsletter Sign-up:","Abonare Buletin:"
"Newsletter Styles","Stiluri Buletin informativ"
"Newsletter Subscribers","Abonați Buletin informativ"
"Newsletter Subscription","Abonare la newsletter"
"Newsletter Subscription Form Before","Formular Abonare Buletin Înainte"
"Newsletter Subscriptions","Abonamente la newsletter"
"Newsletter Templates","șabloane Buletin informativ"
