"City","المدينة"
"Close Window","أغلق النافذه"
"Custom Value","قيمة مخصصة"
"Delivered on:","تم التسليم في:"
"Delivered to:","تم التسليم إلى:"
"Displayed Error Message","رسالة الخطأ المعروضة"
"Error:","خطأ:"
"Local Time","التوقيت المحلي"
"Service Type:","نوع الخدمة:"
"Shipping Methods","طرق الشحن"
"Shipping Settings","إعدادات الشحن"
"Store Pickup","اختيار المتجر"
"Street Address","عنوان الشارع"
"Tracking Number:","رقم التتبع:"
"Tracking information is currently not available. Please ","بيانات التتبع غير موجودة حاليا. من فضلك "
"Tracking information is currently unavailable.","بيانات التتبع غير موجودة حاليا."
"Weight:","الوزن:"
"contact us","اتصل بنا"
