"Account Sharing Options","خيارات مشاركة الحساب"
"Add New Address","إضافة عنوان جديد"
"Add New Customer","إضافة عميل جديد"
"Add New Customer Group","إضافة مجموعة عملاء جديدة"
"Added From","مضاف من"
"Additional Address Entries","مدخلات عنوان إضافية"
"Address","العنوان"
"Address Information","بيانات العنوان"
"Addresses","العناوين"
"Approved","معتمد"
"Are you sure that you want to remove this item?","هل أنت متأكد أنك تريد إزالة هذه السلعة؟"
"Are you sure you want to cancel adding of this address?","هل أنت متأكد أنك تريد إلغاء إضافة هذا العنوان؟"
"Are you sure you want to delete this address?","هل أنت متأكد أنك تريد حذف هذا العنوان؟"
"Bought From","تم الشراء من"
"Change Account Password","تغيير كلمة مرور الحساب"
"Change Billing Address","تحرير"
"Change Password","تغيير كلمة المرور"
"Change Shipping Address","تغيير عنوان الشحن"
"City","المدينة"
"Company","الشركة"
"Confirm New Password","تأكيد كلمة المرور الجديدة"
"Confirm Password","تأكيد كلمة المرور"
"Contact Information","بيانات الاتصال"
"Continue Shopping","الاستمرار بالتسوق"
"Create New Account Options","خيارات إنشاء حساب جديد"
"Create New Customer Account","إنشاء حساب عميل جديد"
"Create Order","إنشاء طلب شراء"
"Create an Account","إنشاء حساب"
"Current Password","كلمة المرور الحالية"
"Customer Addresses","عناوين العميل"
"Customer Groups","مجموعات العملاء"
"Customer Information","بيانات العميل"
"Customer Login","تسجيل دخول العميل"
"Customer Since","عميل منذ"
"Customer View","عرض العملاء"
"Customers Only","العملاء فقط"
"Days in Wishlist","الأيام في قائمة الأمنيات"
"Default Addresses","العناوين الافتراضية"
"Default Billing Address","عنوان الدفع الافتراضي"
"Default Group","المجموعة الافتراضية"
"Default Shipping Address","عنوان الشحن الافتراضي"
"Delete Address","حذف العنوان"
"Delete Customer","حذف العميل"
"Delete Customer Group","حذف مجموعة عملاء"
"Deleted Stores","المتاجر المحذوفة"
"Edit Account Information","تحرير بيانات الحساب"
"Edit Address","تحرير العنوان"
"Edit Address Entry","تحرير مدخل العنوان"
"Edit Customer Group ""%s""","تحرير مجموعة العملاء ""%s"""
"Edit Customer Groups","تحرير مجموعات العملاء"
"Edit Customer's Address","تحرير عنوان العميل"
"Edit Group","تحرير مجموعة"
"Edit Newsletters","تحرير النشرات البريدية"
"Email Address","البريد الإلكتروني"
"Email Sender","مرسل الرسالة"
"Fax","فاكس"
"Forgot Your Password?","هل نسيت كلمة المرور؟"
"General Subscription","اشتراك عام"
"Group","مجموعة"
"Group Information","بيانات المجموعة"
"Group Name","اسم المجموعة"
"Hello, %s!","مرحبا، %s!"
"If you have an account with us, please log in.","إذا كنت تمتلك حسابا معنا، من فضلك قم بتسجيل الدخول."
"Invalid current password","كلمة المرور الحالية غير صحيحة"
"Invalid customer data","بيانات العميل غير صحيحة"
"Login Information","بيانات تسجيل الدخول"
"Manage Addresses","إدارة العناوين"
"Never","أبدا"
"New Address","عنوان جديد"
"New Address Entry","مدخل عنوان جديد"
"New Customer","عميل جديد"
"New Customer Address","عنوان عميل جديد"
"New Customer Group","مجموعة عميل جديدة"
"New Customer Groups","مجموعات عميل جديدة"
"New Group","مجموعة جديدة"
"New account","حساب جديد"
"Newsletter","النشرة البريدية"
"Newsletter Information","بيانات النشرة البريدية"
"Newsletter Received","تم تسلم النشرة البريدية"
"Newsletter Subscription","الاشتراك بالنشرة البريدية"
"Newsletters","النشرات البريدية"
"Offline","غير متصل"
"Online","متصل"
"Online Customers","عملاء متصلون"
"Password Management","إدارة كلمة المرور"
"Password Options","خيارات كلمة المرور"
"Per Website","لكل موقع"
"Please enter your email.","من فضلك قم بإدخال بريدك الإلكتروني."
"Please select region, state or province","من فضلك قم باختيار المنطقة، الولاية أو المقاطعة"
"Register","التسجيل"
"Registered Customers","عملاء مسجلون"
"Retrieve your password here","استعادة كلمة المرور هنا"
"Sales Statistics","إحصائيات المبيعات"
"Save Address","حفظ عنوان"
"Save Customer","حفظ عميل"
"Save Customer Group","حفظ مجموعة عملاء"
"Save Password","حفظ كلمة المرور"
"Sending","جار الإرسال"
"Sent","تم الإرسال"
"Shopping Cart","عربة التسوق"
"Sign Up for Newsletter","الاشتراك بالنشرة البريدية"
"State/Province","ولاية/مقاطعة"
"Street Address","عنوان الشارع"
"Subscribe to Newsletter","الاشتراك في القائمة البريدية"
"Subscribed to Newsletter?","هل تود الاشتراك بالنشرة البريدية؟"
"Telephone","هاتف"
"There are no items in customer's wishlist at the moment","لا يوجد سلع بقائمة الأمنيات الخاصة بالعميل في هذه اللحظة"
"There are no items in customer's shopping cart at the moment","لا يوجد سلع في عربة التسوق الخاصة بالعميل في هذه اللحظة"
"This customer has no saved addresses.","لا يوجد لهذا العميل عناوين محفوظة."
"To Cart","إلى عربة التسوق"
"Use as my default billing address","استخدم كعنوان الدفع الافتراضي"
"Use as my default shipping address","استخدم كعنوان الشحن الافتراضي"
"Visitor","زائر"
"Visitors Only","الزوار فقط"
"Wishlist","قائمة الأمنيات"
"You are currently not subscribed to any newsletter.","أنت حاليا غير مشترك في أية نشرة بريدية."
"You are currently subscribed to our newsletter.","أنت حاليا مشترك في نشرتنا البريدية."
