"1 star","نجمة واحدة"
"2 stars","نجمتان"
"3 stars","ثلاثة نجوم"
"4 stars","4 نجوم"
"5 stars","5 نجوم"
"Add New Review","إضافة تقييم جديد"
"Add Your Review","إضافة تقييمك"
"Administrator","المدير"
"All Reviews","كل التقييمات"
"Approved","معتمد"
"Average Customer Rating","متوسط تقييم العميل"
"Average Customer Rating:","متوسط تقييم العميل:"
"Back to My Reviews","العودة إلى تقييماتي"
"Back to Product Reviews","العودة لمراجعات المنتج"
"Be the first to review this product","كن اول من يقيم و يراجع هذا المنتج"
"Customer Reviews","مراجعات العميل"
"Delete Review","حذف مراجعة"
"Detailed Rating","التقييم المفصل"
"Edit Review '%s'","تحرير المراجعة '%s'"
"How do you rate this product?","كيف تقيم هذا المنتج؟"
"New Review","مراجعة جديدة"
"Please select a product","من فضلك قم باختيار منتج"
"Please select one of each of the ratings above","من فضلك قم باختيار إحدي التقييمات بالأعلى"
"Product Rating","تقييم المنتج"
"Product Rating:","تقييم المنتج:"
"Rating:","التقييم:"
"Review","مراجعة"
"Review Details","تفاصيل المراجعة"
"Save Review","حفظ المراجعة"
"Submit Review","إرسال مراجعة"
"Summary Rating","تقييم الملخص"
"Summary of Review","ملخص المراجعة"
"Summary of Your Review","ملخص مراجعتك"
"View All Reviews","عرض كل المراجعات"
"View Details","عرض التفاصيل"
"Write Your Own Review","كتابة مراجعتك"
"You have submitted no reviews.","لم تقم بإرسال أية مراجعات."
"Your Rating:","تقييمك:"
"Your Review (submitted on %s):","مراجعتك (أرسلت في %s):"
